dataset_id,title,category,scope,kind,edition,filename,bytes,md5_or_etag,source_url,local_path,note
air_pollution,Monthly Air Pollution,Environment,current,csv,,air_pollution.csv,9299,,https://storage.data.gov.my/environment/air_pollution.csv,data/air_pollution/air_pollution.csv,
air_pollution,Monthly Air Pollution,Environment,current,parquet,,air_pollution.parquet,4307,,https://storage.data.gov.my/environment/air_pollution.parquet,data/air_pollution/air_pollution.parquet,
almanak_astronomi,Astronomy Almanac ,Data Dictionaries,current,csv,,almanak_astronomi.csv,90102,,https://storage.data.gov.my/publicadmin/alamanak_astronomi.csv,data/almanak_astronomi/almanak_astronomi.csv,
almanak_astronomi,Astronomy Almanac ,Data Dictionaries,current,parquet,,almanak_astronomi.parquet,27703,,https://storage.data.gov.my/publicadmin/alamanak_astronomi.parquet,data/almanak_astronomi/almanak_astronomi.parquet,
arc_dosm,DOSM's Advance Release Calendar,Metadata,current,csv,,arc_dosm.csv,58375,,https://storage.dosm.gov.my/meta/arc.csv,data/arc_dosm/arc_dosm.csv,
arc_dosm,DOSM's Advance Release Calendar,Metadata,current,parquet,,arc_dosm.parquet,18149,,https://storage.dosm.gov.my/meta/arc.parquet,data/arc_dosm/arc_dosm.parquet,
arrivals,Monthly Arrivals by Nationality & Sex,Demography,current,csv,,arrivals.csv,309787,,https://storage.data.gov.my/demography/arrivals.csv,data/arrivals/arrivals.csv,
arrivals,Monthly Arrivals by Nationality & Sex,Demography,current,parquet,,arrivals.parquet,56800,,https://storage.data.gov.my/demography/arrivals.parquet,data/arrivals/arrivals.parquet,
arrivals_soe,"Monthly Arrivals by State of Entry, Nationality & Sex",Demography,current,csv,,arrivals_soe.csv,2791067,,https://storage.data.gov.my/demography/arrivals_soe.csv,data/arrivals_soe/arrivals_soe.csv,
arrivals_soe,"Monthly Arrivals by State of Entry, Nationality & Sex",Demography,current,parquet,,arrivals_soe.parquet,190816,,https://storage.data.gov.my/demography/arrivals_soe.parquet,data/arrivals_soe/arrivals_soe.parquet,
bec,Broad Economic Categories (BEC),Data Dictionaries,current,csv,,bec.csv,3919,,https://storage.dosm.gov.my/dictionaries/bec.csv,data/bec/bec.csv,
bec,Broad Economic Categories (BEC),Data Dictionaries,current,parquet,,bec.parquet,3879,,https://storage.dosm.gov.my/dictionaries/bec.parquet,data/bec/bec.parquet,
births,Daily Live Births,Demography,current,csv,,births.csv,927577,,https://storage.data.gov.my/demography/births.csv,data/births/births.csv,
births,Daily Live Births,Demography,current,parquet,,births.parquet,150615,,https://storage.data.gov.my/demography/births.parquet,data/births/births.parquet,
births_annual,Annual Live Births,Demography,current,csv,,births_annual.csv,589,,https://storage.dosm.gov.my/demography/birth.csv,data/births_annual/births_annual.csv,
births_annual,Annual Live Births,Demography,current,parquet,,births_annual.parquet,2501,,https://storage.dosm.gov.my/demography/birth.parquet,data/births_annual/births_annual.parquet,
births_annual_sex_ethnic,Annual Live Births by Sex & Ethnicity,Demography,current,csv,,births_annual_sex_ethnic.csv,21119,,https://storage.dosm.gov.my/demography/birth_sex_ethnic.csv,data/births_annual_sex_ethnic/births_annual_sex_ethnic.csv,
births_annual_sex_ethnic,Annual Live Births by Sex & Ethnicity,Demography,current,parquet,,births_annual_sex_ethnic.parquet,6582,,https://storage.dosm.gov.my/demography/birth_sex_ethnic.parquet,data/births_annual_sex_ethnic/births_annual_sex_ethnic.parquet,
births_annual_sex_ethnic_state,"Annual Live Births by State, Sex, & Ethnicity",Demography,current,csv,,births_annual_sex_ethnic_state.csv,356281,,https://storage.dosm.gov.my/demography/birth_sex_ethnic_state.csv,data/births_annual_sex_ethnic_state/births_annual_sex_ethnic_state.csv,
births_annual_sex_ethnic_state,"Annual Live Births by State, Sex, & Ethnicity",Demography,current,parquet,,births_annual_sex_ethnic_state.parquet,27265,,https://storage.dosm.gov.my/demography/birth_sex_ethnic_state.parquet,data/births_annual_sex_ethnic_state/births_annual_sex_ethnic_state.parquet,
births_annual_state,Annual Live Births by State,Demography,current,csv,,births_annual_state.csv,12308,,https://storage.dosm.gov.my/demography/birth_state.csv,data/births_annual_state/births_annual_state.csv,
births_annual_state,Annual Live Births by State,Demography,current,parquet,,births_annual_state.parquet,5092,,https://storage.dosm.gov.my/demography/birth_state.parquet,data/births_annual_state/births_annual_state.parquet,
births_district_sex,Annual Live Births by District & Sex,Demography,current,csv,,births_district_sex.csv,127302,,https://storage.dosm.gov.my/demography/birth_district_sex.csv,data/births_district_sex/births_district_sex.csv,
births_district_sex,Annual Live Births by District & Sex,Demography,current,parquet,,births_district_sex.parquet,28903,,https://storage.dosm.gov.my/demography/birth_district_sex.parquet,data/births_district_sex/births_district_sex.parquet,
blood_donations,Daily Blood Donations by Blood Group,Healthcare,current,csv,,blood_donations.csv,663939,,https://storage.data.gov.my/healthcare/blood_donations.csv,data/blood_donations/blood_donations.csv,
blood_donations,Daily Blood Donations by Blood Group,Healthcare,current,parquet,,blood_donations.parquet,92984,,https://storage.data.gov.my/healthcare/blood_donations.parquet,data/blood_donations/blood_donations.parquet,
blood_donations_state,Daily Blood Donations by Blood Group & State,Healthcare,current,csv,,blood_donations_state.csv,12609161,,https://storage.data.gov.my/healthcare/blood_donations_state.csv,data/blood_donations_state/blood_donations_state.csv,
blood_donations_state,Daily Blood Donations by Blood Group & State,Healthcare,current,parquet,,blood_donations_state.parquet,521415,,https://storage.data.gov.my/healthcare/blood_donations_state.parquet,data/blood_donations_state/blood_donations_state.parquet,
bop_balance,Balance of Key BOP Components,National Accounts,current,csv,,bop_balance.csv,9751,,https://storage.dosm.gov.my/bop/bop_balance.csv,data/bop_balance/bop_balance.csv,
bop_balance,Balance of Key BOP Components,National Accounts,current,parquet,,bop_balance.parquet,5550,,https://storage.dosm.gov.my/bop/bop_balance.parquet,data/bop_balance/bop_balance.parquet,
cellular_subscribers,Cellular Subscribers by Plan Type,Communications,current,csv,,cellular_subscribers.csv,1770,,https://storage.data.gov.my/communications/cellular_subscribers.csv,data/cellular_subscribers/cellular_subscribers.csv,
cellular_subscribers,Cellular Subscribers by Plan Type,Communications,current,parquet,,cellular_subscribers.parquet,3039,,https://storage.data.gov.my/communications/cellular_subscribers.parquet,data/cellular_subscribers/cellular_subscribers.parquet,
completion_school_state,School Completion Rates by State,Education,current,csv,,completion_school_state.csv,49121,,https://storage.data.gov.my/education/completion_school_state.csv,data/completion_school_state/completion_school_state.csv,
completion_school_state,School Completion Rates by State,Education,current,parquet,,completion_school_state.parquet,8015,,https://storage.data.gov.my/education/completion_school_state.parquet,data/completion_school_state/completion_school_state.parquet,
cosmetic_notifications,Notified Cosmetic Products,Healthcare,current,csv,,cosmetic_notifications.csv,23582418,,https://storage.data.gov.my/healthcare/cosmetic_notifications.csv,data/cosmetic_notifications/cosmetic_notifications.csv,
