timestamp,fenomena,penerangan
2022-01-03 02:33:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 02:33
2022-01-04 06:20:00,Hujan Meteor Quadratinids,Hujan Meteor Quadrantids boleh dilihat mulai 26 Disember hingga 16 Januari setiap tahun. Kemuncak Hujan Meteor Quadrantids dijangka berlaku pada awal pagi 4 Januari 2022 dengan bilangan meteor sekitar 60 hingga 200 meteor per jam. Kenampakan hujan meteor tersebut adalah agak baik kerana tiada gangguan cahaya Bulan pada waktu semasa kemuncak berlaku.
2022-01-10 02:11:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 02:11
2022-01-18 07:48:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 07:48
2022-01-25 21:40:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 21:40
2022-02-01 13:49:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 13:49
2022-02-08 21:51:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 21:51
2022-02-17 01:00:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 01:00
2022-02-17 07:58:00,Utarid Pada Elongasi Paling Barat,Utarid pada Elongasi Paling Barat iaitu 26.3 darjah, Utarid boleh kelihatan di langit timur sebelum Matahari terbit.
2022-02-24 06:34:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 06:34
2022-03-03 01:34:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 01:34.
2022-03-10 18:45:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 18:45
2022-03-18 15:17:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 15:17
2022-03-20 23:33:00,Ekuinoks Bulan Mac,Matahari berada di atas garisan Khatulistiwa dan akan terbit tepat di timur dan terbenam tepat di barat. Di Hemisfera Utara, ekuinoks pada bulan Mac dikenali sebagai ekuinoks musim bunga manakala di Hemisfera Selatan ia dikenali sebagai ekuinoks musim luruh.
2022-03-21 07:00:00,Zuhrah pada Elongasi Paling Barat,Zuhrah pada Elongasi Paling Barat iaitu 46.6 darjah, Zuhrah boleh kelihatan di langit timur sebelum Matahari terbit. Planet Zuhrah akan terbit pada jam 04:21 manakala Matahari akan terbit pada jam 07:16
2022-03-25 13:37:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 13:37
2022-04-01 14:24:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 14:24.
2022-04-09 14:47:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 14:47
2022-04-17 02:55:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 02:55
2022-04-23 00:00:00,Kemuncak Hujan Meteor Lyrids,Hujan Meteor Lyrids boleh dilihat mulai 18 hingga 25 April. Kemuncak Hujan Meteor Lyrids pada awal pagi 23 April 2022 dengan purata 18 meteor per jam. Fasa Bulan Suku Akhir akan mengganggu kenampakan hujan meteor tersebut.
2022-04-23 19:56:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 19:56
2022-04-29 19:11:00,Utarid Pada Elongasi Timur,Utarid pada Elongasi Paling Timur iaitu 20.6 darjah, Utarid boleh kelihatan di langit barat selepas Matahari terbenam. Planet Utarid akan terbenam pada jam 20:38 manakala Matahari akan terbenam pada jam 19:17
2022-05-01 04:28:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 04:28.
2022-05-01 04:41:00,Gerhana Matahari Separa,Gerhana Matahari Separa berlaku mulai pada jam 02:45 dan berakhir pada jam 06:37 waktu Malaysia. Fenomena tersebut tidak dapat dilihat di Malaysia tetapi boleh dilihat di kebanyakan bahagian tenggara Lautan Pasifik dan bahagian selatan Amerika Selatan. Liputan sebanyak 53% dapat dilihat dari Argentina.
2022-05-01 05:30:00,Konjungsi Zuhrah dan Musytari,Planet Zuhrah dan Musytari akan kelihatan berdekatan antara satu sama lain di langit dan hampir sejajar dari Bumi dengan jarak sudut 14 arka-minit pada ufuk timur.
2022-05-07 03:00:00,Kemuncak Hujan Meteor Eta Aquarids,Hujan Meteor Eta Aquarids boleh dilihat mulai 19 April hingga 28 Mei. Kemuncak Hujan Meteor Eta Aquarids berlaku pada awal pagi 7 Mei 2022 dengan purata 50 meteor per jam. Hujan Meteor Eta Aquarids merujuk kepada titik kemunculan hujan meteor di langit iaitu di kawasan buruj Aquarius, tetapi kemunculannya masih boleh berlaku dari pelbagai arah. Kenampakan hujan meteor tersebut adalah bagus kerana tiada gangguan Bulan semasa kemuncak berlaku.
2022-05-09 08:21:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 08:21.
2022-05-16 12:11:00,Gerhana Bulan Penuh,Gerhana Bulan Penuh berlaku mulai jam 09:32 dan berakhir pada jam 14:50 waktu Malaysia. Fenomena tersebut tidak dapat dilihat di Malaysia kerana berlaku pada waktu siang. Gerhana tersebut boleh dilihat di Amerika Utara, Greenland, Lautan Atlantik dan sebahagian Eropah Barat dan Afrika.
2022-05-16 12:14:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 12:14.
2022-05-18 04:00:00,Konjungsi Marikh dan Neptun,Planet Marikh dan Neptun akan kelihatan berdekatan antara satu sama lain di langit dan hampir sejajar dari Bumi dengan jarak sudut 34 arka-minit pada ufuk timur.
2022-05-23 02:43:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 02:43.
2022-05-27 10:20:00,Penghijaban Zuhrah oleh Bulan,Penghijaban Zuhrah oleh Bulan, iaitu Bulan kelihatan melintas di hadapan Zuhrah dan melindungi Zuhrah dari pandangan kita. Penghijaban bermula dengan kehilangan kenampakan Zuhrah di belakang Bulan sekitar 10:20 pagi dan ia akan kelihatan semula sekitar 12:10 tengah hari.
2022-05-29 03:30:00,Konjungsi Marikh dan Musytari,Planet Marikh dan Musytari akan kelihatan berdekatan antara satu sama lain di langit dan hampir sejajar dari Bumi dengan jarak sudut 39 arka-minit pada ufuk timur.
2022-05-30 02:43:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 19:30.
2022-06-07 22:48:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 22:48
2022-06-14 19:51:00,Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 19:51
2022-06-17 06:50:00,Utarid Pada Elongasi Paling Barat,Utarid berada pada Elongasi Paling Barat iaitu 23.2 darjah, Utarid boleh kelihatan di langit timur sebelum Matahari terbit. Planet Utarid akan terbit pada jam 05:32 manakala Matahari akan terbit pada jam 07:04
2022-06-21 11:10:00,Bulan Suku Akhir/Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 11:10
2022-06-21 17:13:00,Solstis Jun,Matahari akan berada pada kedudukan paling jauh ke utara dari khatulistiwa iaitu di atas Garisan Sartan (23.5º Utara) pada jam 17:13. Ia menandakan bermulanya musim panas di Hemisfera Utara dan bermulanya musim sejuk di Hemisfera Selatan. Waktu siang menjadi lebih panjang dan waktu malam menjadi lebih pendek di Hemisfera Utara sementara waktu siang menjadi lebih pendek dan waktu malam menjadi lebih panjang di Hemisfera Selatan.
2022-06-29 10:53:00,Bulan Baru,Bulan memasuki fasa Bulan Baru pada jam 10:53
2022-07-04 15:10:00,Bumi Pada Kedudukan Aphelion,Bumi berada pada jarak yang paling jauh dengan Matahari, iaitu sejauh 152,098,455km. Kedudukan ini dikenali sebagai aphelion.
2022-07-07 10:14:00,Bulan Suku Pertama,Bulan memasuki fasa Bulan Suku Pertama pada jam 10:14.
2022-07-13 17:09:00,Bulan Perigee,Bulan berada pada jarak yang paling dekat dengan Bumi, iaitu sejauh 357,263km. Kedudukan ini dikenali sebagai perigee.
2022-07-14 02:37:00, Bulan Penuh/Purnama,Bulan memasuki fasa Bulan Penuh pada jam 02:37. Bulan Penuh Perigee, iaitu bulan purnama yang berada paling dekat dekat dengan Bumi, kelihatan terbesar dan tercerah untuk tahun 2022 yang juga dikenali sebagai Supermoon.
2022-07-20 22:18:00,Bulan Suku Akhir / Ketiga,Bulan memasuki fasa Bulan Suku Akhir pada jam 22:18.
