date,state,blood_type,donations
2006-01-01,Johor,all,87
2006-01-02,Johor,all,15
2006-01-03,Johor,all,8
2006-01-04,Johor,all,33
2006-01-05,Johor,all,20
2006-01-06,Johor,all,4
2006-01-07,Johor,all,1
2006-01-08,Johor,all,86
2006-01-09,Johor,all,3
2006-01-10,Johor,all,2
2006-01-11,Johor,all,14
2006-01-12,Johor,all,38
2006-01-13,Johor,all,24
2006-01-14,Johor,all,2
2006-01-15,Johor,all,148
2006-01-16,Johor,all,75
2006-01-17,Johor,all,25
2006-01-18,Johor,all,26
2006-01-19,Johor,all,50
2006-01-20,Johor,all,62
2006-01-21,Johor,all,40
2006-01-22,Johor,all,2
2006-01-23,Johor,all,8
2006-01-24,Johor,all,3
2006-01-25,Johor,all,12
2006-01-26,Johor,all,12
2006-01-27,Johor,all,22
2006-01-28,Johor,all,0
2006-01-29,Johor,all,0
2006-01-30,Johor,all,2
2006-01-31,Johor,all,0
2006-02-01,Johor,all,0
2006-02-02,Johor,all,23
2006-02-03,Johor,all,8
2006-02-04,Johor,all,0
2006-02-05,Johor,all,98
2006-02-06,Johor,all,14
2006-02-07,Johor,all,48
2006-02-08,Johor,all,85
2006-02-09,Johor,all,16
2006-02-10,Johor,all,23
2006-02-11,Johor,all,10
2006-02-12,Johor,all,126
2006-02-13,Johor,all,16
2006-02-14,Johor,all,35
2006-02-15,Johor,all,32
2006-02-16,Johor,all,14
2006-02-17,Johor,all,13
2006-02-18,Johor,all,54
2006-02-19,Johor,all,4
2006-02-20,Johor,all,11
2006-02-21,Johor,all,70
2006-02-22,Johor,all,20
2006-02-23,Johor,all,4
2006-02-24,Johor,all,63
2006-02-25,Johor,all,0
2006-02-26,Johor,all,79
2006-02-27,Johor,all,25
2006-02-28,Johor,all,23
2006-03-01,Johor,all,16
2006-03-02,Johor,all,2
2006-03-03,Johor,all,31
2006-03-04,Johor,all,0
2006-03-05,Johor,all,36
2006-03-06,Johor,all,9
2006-03-07,Johor,all,48
2006-03-08,Johor,all,21
2006-03-09,Johor,all,20
2006-03-10,Johor,all,29
2006-03-11,Johor,all,1
2006-03-12,Johor,all,117
2006-03-13,Johor,all,8
2006-03-14,Johor,all,11
2006-03-15,Johor,all,10
2006-03-16,Johor,all,186
2006-03-17,Johor,all,50
2006-03-18,Johor,all,1
2006-03-19,Johor,all,0
2006-03-20,Johor,all,8
2006-03-21,Johor,all,13
2006-03-22,Johor,all,2
2006-03-23,Johor,all,2
2006-03-24,Johor,all,19
2006-03-25,Johor,all,19
2006-03-26,Johor,all,25
2006-03-27,Johor,all,3
2006-03-28,Johor,all,6
2006-03-29,Johor,all,33
2006-03-30,Johor,all,0
2006-03-31,Johor,all,6
2006-04-01,Johor,all,0
2006-04-02,Johor,all,37
2006-04-03,Johor,all,4
2006-04-04,Johor,all,20
2006-04-05,Johor,all,11
2006-04-06,Johor,all,103
2006-04-07,Johor,all,23
2006-04-08,Johor,all,0
2006-04-09,Johor,all,1
2006-04-10,Johor,all,11
2006-04-11,Johor,all,1
2006-04-12,Johor,all,4
2006-04-13,Johor,all,54
2006-04-14,Johor,all,39
2006-04-15,Johor,all,61
2006-04-16,Johor,all,119
2006-04-17,Johor,all,24
2006-04-18,Johor,all,11
2006-04-19,Johor,all,10
2006-04-20,Johor,all,7
2006-04-21,Johor,all,9
2006-04-22,Johor,all,1
2006-04-23,Johor,all,137
2006-04-24,Johor,all,43
2006-04-25,Johor,all,1
2006-04-26,Johor,all,87
2006-04-27,Johor,all,24
2006-04-28,Johor,all,53
2006-04-29,Johor,all,2
2006-04-30,Johor,all,54
2006-05-01,Johor,all,1
2006-05-02,Johor,all,45
2006-05-03,Johor,all,13
2006-05-04,Johor,all,64
2006-05-05,Johor,all,36
2006-05-06,Johor,all,1
2006-05-07,Johor,all,84
2006-05-08,Johor,all,65
2006-05-09,Johor,all,61
2006-05-10,Johor,all,18
2006-05-11,Johor,all,37
2006-05-12,Johor,all,0
2006-05-13,Johor,all,1
2006-05-14,Johor,all,20
2006-05-15,Johor,all,21
2006-05-16,Johor,all,40
2006-05-17,Johor,all,18
2006-05-18,Johor,all,12
2006-05-19,Johor,all,25
2006-05-20,Johor,all,0
2006-05-21,Johor,all,89
2006-05-22,Johor,all,35
2006-05-23,Johor,all,67
2006-05-24,Johor,all,51
2006-05-25,Johor,all,64
2006-05-26,Johor,all,66
2006-05-27,Johor,all,3
2006-05-28,Johor,all,149
2006-05-29,Johor,all,61
2006-05-30,Johor,all,67
2006-05-31,Johor,all,5
2006-06-01,Johor,all,4
2006-06-02,Johor,all,1
2006-06-03,Johor,all,0
2006-06-04,Johor,all,1
2006-06-05,Johor,all,5
2006-06-06,Johor,all,34
2006-06-07,Johor,all,49
2006-06-08,Johor,all,24
2006-06-09,Johor,all,16
2006-06-10,Johor,all,0
2006-06-11,Johor,all,90
2006-06-12,Johor,all,6
2006-06-13,Johor,all,13
2006-06-14,Johor,all,28
2006-06-15,Johor,all,32
2006-06-16,Johor,all,22
2006-06-17,Johor,all,61
2006-06-18,Johor,all,1
2006-06-19,Johor,all,38
2006-06-20,Johor,all,57
2006-06-21,Johor,all,13
2006-06-22,Johor,all,26
2006-06-23,Johor,all,16
2006-06-24,Johor,all,1
2006-06-25,Johor,all,0
2006-06-26,Johor,all,28
2006-06-27,Johor,all,27
2006-06-28,Johor,all,11
2006-06-29,Johor,all,16
2006-06-30,Johor,all,3
2006-07-01,Johor,all,1
2006-07-02,Johor,all,0
2006-07-03,Johor,all,36
2006-07-04,Johor,all,63
2006-07-05,Johor,all,51
2006-07-06,Johor,all,8
2006-07-07,Johor,all,28
2006-07-08,Johor,all,27
2006-07-09,Johor,all,16
2006-07-10,Johor,all,58
2006-07-11,Johor,all,52
2006-07-12,Johor,all,28
2006-07-13,Johor,all,4
2006-07-14,Johor,all,34
2006-07-15,Johor,all,19
2006-07-16,Johor,all,111
2006-07-17,Johor,all,61
2006-07-18,Johor,all,27
2006-07-19,Johor,all,16
2006-07-20,Johor,all,11
2006-07-21,Johor,all,5
2006-07-22,Johor,all,1
2006-07-23,Johor,all,126
2006-07-24,Johor,all,20
2006-07-25,Johor,all,7
2006-07-26,Johor,all,86
2006-07-27,Johor,all,30
2006-07-28,Johor,all,17
2006-07-29,Johor,all,0
2006-07-30,Johor,all,0
2006-07-31,Johor,all,9
2006-08-01,Johor,all,1
2006-08-02,Johor,all,5
2006-08-03,Johor,all,8
2006-08-04,Johor,all,23
2006-08-05,Johor,all,38
2006-08-06,Johor,all,2
2006-08-07,Johor,all,15
2006-08-08,Johor,all,22
2006-08-09,Johor,all,16
2006-08-10,Johor,all,21
2006-08-11,Johor,all,46
2006-08-12,Johor,all,1
2006-08-13,Johor,all,42
2006-08-14,Johor,all,56
2006-08-15,Johor,all,17
2006-08-16,Johor,all,2
2006-08-17,Johor,all,1
2006-08-18,Johor,all,1
2006-08-19,Johor,all,0
2006-08-20,Johor,all,0
2006-08-21,Johor,all,5
2006-08-22,Johor,all,16
2006-08-23,Johor,all,4
2006-08-24,Johor,all,6
2006-08-25,Johor,all,4
2006-08-26,Johor,all,1
2006-08-27,Johor,all,67
2006-08-28,Johor,all,25
2006-08-29,Johor,all,0
2006-08-30,Johor,all,12
2006-08-31,Johor,all,106
2006-09-01,Johor,all,4
2006-09-02,Johor,all,2
2006-09-03,Johor,all,156
2006-09-04,Johor,all,12
2006-09-05,Johor,all,18
2006-09-06,Johor,all,7
2006-09-07,Johor,all,4
2006-09-08,Johor,all,2
2006-09-09,Johor,all,46
2006-09-10,Johor,all,48
2006-09-11,Johor,all,21
2006-09-12,Johor,all,40
2006-09-13,Johor,all,5
2006-09-14,Johor,all,4
2006-09-15,Johor,all,5
2006-09-16,Johor,all,19
2006-09-17,Johor,all,36
2006-09-18,Johor,all,5
2006-09-19,Johor,all,4
2006-09-20,Johor,all,6
2006-09-21,Johor,all,7
2006-09-22,Johor,all,8
2006-09-23,Johor,all,41
2006-09-24,Johor,all,1
2006-09-25,Johor,all,2
2006-09-26,Johor,all,22
2006-09-27,Johor,all,8
2006-09-28,Johor,all,1
2006-09-29,Johor,all,3
2006-09-30,Johor,all,1
2006-10-01,Johor,all,0
2006-10-02,Johor,all,2
2006-10-03,Johor,all,13
2006-10-04,Johor,all,6
2006-10-05,Johor,all,4
2006-10-06,Johor,all,14
2006-10-07,Johor,all,1
2006-10-08,Johor,all,66
2006-10-09,Johor,all,6
2006-10-10,Johor,all,9
2006-10-11,Johor,all,2
2006-10-12,Johor,all,5
2006-10-13,Johor,all,2
2006-10-14,Johor,all,2
2006-10-15,Johor,all,108
2006-10-16,Johor,all,3
2006-10-17,Johor,all,1
2006-10-18,Johor,all,16
2006-10-19,Johor,all,11
2006-10-20,Johor,all,1
2006-10-21,Johor,all,1
2006-10-22,Johor,all,0
2006-10-23,Johor,all,1
2006-10-24,Johor,all,1
2006-10-25,Johor,all,0
2006-10-26,Johor,all,2
2006-10-27,Johor,all,4
2006-10-28,Johor,all,0
2006-10-29,Johor,all,2
2006-10-30,Johor,all,8
2006-10-31,Johor,all,13
2006-11-01,Johor,all,4
2006-11-02,Johor,all,2
2006-11-03,Johor,all,2
2006-11-04,Johor,all,2
2006-11-05,Johor,all,44
2006-11-06,Johor,all,5
2006-11-07,Johor,all,7
2006-11-08,Johor,all,12
2006-11-09,Johor,all,8
2006-11-10,Johor,all,14
2006-11-11,Johor,all,1
2006-11-12,Johor,all,78
2006-11-13,Johor,all,13
2006-11-14,Johor,all,9
