date,group,index
2010-01-01,001,98.8
2010-01-01,011,99.1
2010-01-01,012,99.3
2010-01-01,021,99.1
2010-01-01,023,98.2
2010-01-01,031,100.8
2010-01-01,032,102.9
2010-01-01,041,99.3
2010-01-01,043,100.0
2010-01-01,044,99.3
2010-01-01,045,99.7
2010-01-01,051,100.0
2010-01-01,052,100.9
2010-01-01,053,100.3
2010-01-01,054,99.9
2010-01-01,055,100.3
2010-01-01,056,99.7
2010-01-01,061,99.3
2010-01-01,062,99.5
2010-01-01,063,99.7
2010-01-01,064,
2010-01-01,071,100.0
2010-01-01,072,98.7
2010-01-01,073,98.8
2010-01-01,074,
2010-01-01,081,104.5
2010-01-01,083,99.9
2010-01-01,092,100.5
2010-01-01,093,99.5
2010-01-01,094,100.3
2010-01-01,095,100.0
2010-01-01,096,100.0
2010-01-01,097,99.7
2010-01-01,098,97.4
2010-01-01,101,99.3
2010-01-01,102,99.8
2010-01-01,103,99.8
2010-01-01,104,98.6
2010-01-01,105,99.6
2010-01-01,111,98.6
2010-01-01,112,99.8
2010-01-01,121,99.9
2010-01-01,122,100.0
2010-01-01,131,100.1
2010-01-01,132,98.9
2010-01-01,133,99.3
2010-01-01,139,99.6
2010-02-01,001,99.1
2010-02-01,011,99.0
2010-02-01,012,99.4
2010-02-01,021,99.1
2010-02-01,023,98.2
2010-02-01,031,99.8
2010-02-01,032,101.5
2010-02-01,041,99.6
2010-02-01,043,100.0
2010-02-01,044,99.6
2010-02-01,045,99.7
2010-02-01,051,100.0
2010-02-01,052,100.0
2010-02-01,053,100.3
2010-02-01,054,99.9
2010-02-01,055,100.1
2010-02-01,056,99.7
2010-02-01,061,99.4
2010-02-01,062,99.1
2010-02-01,063,99.7
2010-02-01,064,
2010-02-01,071,100.1
2010-02-01,072,98.7
2010-02-01,073,99.4
2010-02-01,074,
2010-02-01,081,103.8
2010-02-01,083,99.9
2010-02-01,092,99.7
2010-02-01,093,99.9
2010-02-01,094,100.2
2010-02-01,095,100.0
2010-02-01,096,100.0
2010-02-01,097,99.8
2010-02-01,098,98.7
2010-02-01,101,99.6
2010-02-01,102,100.0
2010-02-01,103,99.9
2010-02-01,104,98.6
2010-02-01,105,99.6
2010-02-01,111,98.8
2010-02-01,112,100.0
2010-02-01,121,99.9
