date,subclass,index
2010-01-01,00111,98.8
2010-01-01,01111,99.9
2010-01-01,01112,100.2
2010-01-01,01113,99.5
2010-01-01,01114,100.2
2010-01-01,01115,99.9
2010-01-01,01122,97.4
2010-01-01,01124,99.2
2010-01-01,01125,99.2
2010-01-01,01131,101.6
2010-01-01,01132,99.5
2010-01-01,01133,99.5
2010-01-01,01134,99.4
2010-01-01,01135,99.5
2010-01-01,01136,99.0
2010-01-01,01141,96.1
2010-01-01,01143,98.9
2010-01-01,01144,
2010-01-01,01145,
2010-01-01,01146,
2010-01-01,01148,100.9
2010-01-01,01151,100.0
2010-01-01,01152,98.2
2010-01-01,01153,101.4
2010-01-01,01161,99.2
2010-01-01,01162,99.2
2010-01-01,01163,97.2
2010-01-01,01165,99.2
2010-01-01,01168,99.1
2010-01-01,01169,97.6
2010-01-01,01171,97.4
2010-01-01,01172,97.4
2010-01-01,01173,97.4
2010-01-01,01174,97.4
2010-01-01,01175,93.2
2010-01-01,01179,98.8
2010-01-01,01181,94.3
2010-01-01,01182,
2010-01-01,01183,99.9
2010-01-01,01184,99.8
2010-01-01,01185,100.0
2010-01-01,01186,99.9
2010-01-01,01189,99.6
2010-01-01,01191,99.8
2010-01-01,01192,96.2
2010-01-01,01193,98.7
2010-01-01,01194,98.7
2010-01-01,01199,100.7
2010-01-01,01210,100.3
2010-01-01,01220,99.7
2010-01-01,01230,98.3
2010-01-01,01240,98.9
2010-01-01,01250,99.4
2010-01-01,01260,99.4
2010-01-01,01290,99.6
2010-01-01,02110,99.4
2010-01-01,02121,99.8
2010-01-01,02130,98.9
2010-01-01,02301,98.2
2010-01-01,03121,100.8
2010-01-01,03122,100.8
2010-01-01,03123,100.7
2010-01-01,03124,99.9
2010-01-01,03125,100.8
2010-01-01,03131,101.4
2010-01-01,03141,99.7
2010-01-01,03142,99.1
2010-01-01,03211,103.1
2010-01-01,03212,104.8
2010-01-01,03213,104.9
2010-01-01,03214,102.9
2010-01-01,04110,99.3
2010-01-01,04311,99.9
2010-01-01,04320,100.2
2010-01-01,04411,99.7
2010-01-01,04431,99.9
2010-01-01,04441,98.4
2010-01-01,04510,100.0
2010-01-01,04522,97.7
2010-01-01,05111,99.9
2010-01-01,05113,
2010-01-01,05114,100.9
2010-01-01,05211,101.2
2010-01-01,05212,100.6
2010-01-01,05213,100.4
2010-01-01,05311,100.2
2010-01-01,05312,100.5
2010-01-01,05313,100.2
2010-01-01,05314,
2010-01-01,05319,99.8
2010-01-01,05321,100.0
2010-01-01,05329,101.3
2010-01-01,05330,100.9
2010-01-01,05401,99.9
2010-01-01,05403,99.9
2010-01-01,05510,100.0
2010-01-01,05522,100.6
2010-01-01,05611,100.2
2010-01-01,05619,100.2
2010-01-01,05621,99.2
2010-01-01,06111,99.3
2010-01-01,06112,99.5
2010-01-01,06113,99.1
2010-01-01,06121,98.2
2010-01-01,06122,98.2
2010-01-01,06123,98.2
2010-01-01,06131,99.9
2010-01-01,06133,
2010-01-01,06229,98.1
2010-01-01,06231,99.5
2010-01-01,06310,99.7
2010-01-01,06320,99.0
2010-01-01,06410,
2010-01-01,07111,100.0
2010-01-01,07112,101.3
2010-01-01,07120,100.1
2010-01-01,07130,99.8
2010-01-01,07211,98.1
2010-01-01,07212,99.0
2010-01-01,07213,
2010-01-01,07221,98.7
2010-01-01,07222,98.5
2010-01-01,07224,98.9
2010-01-01,07230,99.3
2010-01-01,07241,99.7
2010-01-01,07242,100.0
2010-01-01,07243,99.9
2010-01-01,07311,100.0
2010-01-01,07321,99.8
2010-01-01,07323,99.6
2010-01-01,07329,97.9
2010-01-01,07331,94.7
2010-01-01,07332,93.1
2010-01-01,07340,99.7
2010-01-01,07492,
2010-01-01,08120,104.5
2010-01-01,08131,100.7
2010-01-01,08140,102.5
2010-01-01,08191,
2010-01-01,08320,99.9
2010-01-01,08330,100.0
2010-01-01,08340,
2010-01-01,08392,100.0
2010-01-01,09211,
2010-01-01,09212,100.3
2010-01-01,09221,100.5
2010-01-01,09311,98.3
2010-01-01,09312,98.3
2010-01-01,09321,99.8
2010-01-01,09322,99.7
2010-01-01,09450,99.5
2010-01-01,09461,99.8
2010-01-01,09462,99.4
2010-01-01,09463,100.1
2010-01-01,09510,100.0
2010-01-01,09610,100.3
2010-01-01,09620,99.8
2010-01-01,09711,99.0
2010-01-01,09721,100.0
2010-01-01,09740,99.2
2010-01-01,09800,97.4
2010-01-01,10101,99.3
2010-01-01,10102,99.3
2010-01-01,10200,99.8
2010-01-01,10300,99.8
2010-01-01,10400,98.6
2010-01-01,10502,99.6
2010-01-01,11111,98.6
2010-01-01,11201,99.8
2010-01-01,11202,
2010-01-01,12120,100.0
2010-01-01,12141,99.9
2010-01-01,12220,100.0
2010-01-01,13120,100.2
2010-01-01,13131,99.4
2010-01-01,13132,99.4
2010-01-01,13211,97.2
2010-01-01,13220,99.9
2010-01-01,13291,102.4
2010-01-01,13301,99.3
2010-01-01,13909,99.6
2010-02-01,00111,99.1
2010-02-01,01111,99.8
2010-02-01,01112,100.1
2010-02-01,01113,99.6
2010-02-01,01114,100.1
2010-02-01,01115,99.9
2010-02-01,01122,97.5
2010-02-01,01124,99.2
2010-02-01,01125,99.3
2010-02-01,01131,101.0
2010-02-01,01132,99.5
2010-02-01,01133,99.5
2010-02-01,01134,99.8
2010-02-01,01135,99.5
2010-02-01,01136,99.4
2010-02-01,01141,97.4
2010-02-01,01143,98.8
2010-02-01,01144,
2010-02-01,01145,
2010-02-01,01146,
2010-02-01,01148,96.5
2010-02-01,01151,100.0
2010-02-01,01152,97.7
2010-02-01,01153,100.8
2010-02-01,01161,99.8
2010-02-01,01162,99.8
2010-02-01,01163,99.7
2010-02-01,01165,99.8
2010-02-01,01168,97.1
2010-02-01,01169,97.1
2010-02-01,01171,97.3
2010-02-01,01172,97.3
2010-02-01,01173,97.3
2010-02-01,01174,97.3
2010-02-01,01175,93.3
2010-02-01,01179,99.2
2010-02-01,01181,94.4
2010-02-01,01182,
2010-02-01,01183,99.9
2010-02-01,01184,99.8
2010-02-01,01185,99.9
2010-02-01,01186,99.9
2010-02-01,01189,99.7
2010-02-01,01191,99.8
2010-02-01,01192,96.2
2010-02-01,01193,99.1
2010-02-01,01194,99.2
2010-02-01,01199,100.6
2010-02-01,01210,99.9
2010-02-01,01220,99.8
2010-02-01,01230,98.4
2010-02-01,01240,98.9
2010-02-01,01250,99.7
2010-02-01,01260,99.7
2010-02-01,01290,99.9
2010-02-01,02110,99.7
2010-02-01,02121,99.5
2010-02-01,02130,98.9
2010-02-01,02301,98.2
2010-02-01,03121,99.8
2010-02-01,03122,99.8
2010-02-01,03123,99.6
2010-02-01,03124,99.7
2010-02-01,03125,99.8
2010-02-01,03131,101.1
2010-02-01,03141,99.7
2010-02-01,03142,99.2
2010-02-01,03211,101.4
2010-02-01,03212,102.2
2010-02-01,03213,104.0
2010-02-01,03214,101.5
2010-02-01,04110,99.6
2010-02-01,04311,99.8
2010-02-01,04320,100.2
2010-02-01,04411,99.7
2010-02-01,04431,99.9
2010-02-01,04441,99.7
2010-02-01,04510,100.0
2010-02-01,04522,97.7
2010-02-01,05111,99.9
2010-02-01,05113,
2010-02-01,05114,100.9
2010-02-01,05211,100.1
2010-02-01,05212,100.0
2010-02-01,05213,99.7
2010-02-01,05311,100.2
2010-02-01,05312,100.2
2010-02-01,05313,100.1
2010-02-01,05314,
2010-02-01,05319,100.0
2010-02-01,05321,100.0
2010-02-01,05329,101.3
2010-02-01,05330,100.9
2010-02-01,05401,99.9
2010-02-01,05403,99.9
2010-02-01,05510,99.8
2010-02-01,05522,100.4
2010-02-01,05611,100.2
2010-02-01,05619,100.2
2010-02-01,05621,99.2
2010-02-01,06111,99.4
2010-02-01,06112,99.5
2010-02-01,06113,99.4
2010-02-01,06121,98.6
2010-02-01,06122,98.6
2010-02-01,06123,98.6
2010-02-01,06131,99.3
2010-02-01,06133,
2010-02-01,06229,98.1
2010-02-01,06231,99.2
2010-02-01,06310,99.7
2010-02-01,06320,99.7
2010-02-01,06410,
2010-02-01,07111,100.1
2010-02-01,07112,100.8
2010-02-01,07120,100.1
2010-02-01,07130,99.9
2010-02-01,07211,98.2
2010-02-01,07212,99.2
2010-02-01,07213,
2010-02-01,07221,98.7
2010-02-01,07222,98.5
2010-02-01,07224,98.9
2010-02-01,07230,99.5
2010-02-01,07241,99.7
2010-02-01,07242,100.0
2010-02-01,07243,100.0
2010-02-01,07311,100.0
