date,division,index
1960-01-01,overall,20.8
1961-01-01,overall,20.8
1962-01-01,overall,20.8
1963-01-01,overall,21.5
1964-01-01,overall,21.4
1965-01-01,overall,21.9
1966-01-01,overall,22.3
1967-01-01,overall,23.2
1968-01-01,overall,23.1
1969-01-01,overall,23.0
1970-01-01,overall,23.5
1971-01-01,overall,23.9
1972-01-01,overall,24.6
1973-01-01,overall,27.0
1974-01-01,overall,31.6
1975-01-01,overall,33.2
1976-01-01,overall,34.0
1977-01-01,overall,35.6
1978-01-01,overall,37.2
1979-01-01,overall,38.5
1980-01-01,overall,41.2
1981-01-01,overall,45.2
1982-01-01,overall,47.8
1983-01-01,overall,49.5
1984-01-01,overall,51.3
1985-01-01,overall,51.5
1986-01-01,overall,51.8
1987-01-01,overall,52.2
1988-01-01,overall,53.6
1989-01-01,overall,55.1
1990-01-01,overall,56.8
1991-01-01,overall,59.2
1992-01-01,overall,62.0
1993-01-01,overall,64.2
1994-01-01,overall,66.6
1995-01-01,overall,68.9
1996-01-01,overall,71.3
1997-01-01,overall,73.2
1998-01-01,overall,77.1
1999-01-01,overall,79.2
2000-01-01,overall,80.4
2001-01-01,overall,81.6
2002-01-01,overall,83.0
2003-01-01,overall,83.9
2004-01-01,overall,85.1
2005-01-01,overall,87.7
2006-01-01,overall,90.9
2007-01-01,overall,92.7
2008-01-01,overall,97.7
2009-01-01,overall,98.3
2010-01-01,overall,100.0
2011-01-01,overall,103.2
2012-01-01,overall,104.9
2013-01-01,overall,107.1
2014-01-01,overall,110.5
2015-01-01,overall,112.8
2016-01-01,overall,115.2
2017-01-01,overall,119.5
2018-01-01,overall,120.7
2019-01-01,overall,121.5
2020-01-01,overall,120.1
2021-01-01,overall,123.1
2022-01-01,overall,127.2
2023-01-01,overall,130.4
2024-01-01,overall,132.8
2025-01-01,overall,134.6
1980-01-01,01,33.7
1981-01-01,01,37.6
1982-01-01,01,40.4
1983-01-01,01,40.6
1984-01-01,01,42.2
1985-01-01,01,41.2
1986-01-01,01,41.3
1987-01-01,01,41.1
1988-01-01,01,42.7
1989-01-01,01,44.2
1990-01-01,01,46.1
1991-01-01,01,48.3
1992-01-01,01,51.5
1993-01-01,01,52.7
1994-01-01,01,55.4
1995-01-01,01,58.1
1996-01-01,01,61.5
1997-01-01,01,64.0
1998-01-01,01,69.7
1999-01-01,01,73.0
2000-01-01,01,74.4
2001-01-01,01,74.9
2002-01-01,01,75.4
2003-01-01,01,76.3
2004-01-01,01,78.0
2005-01-01,01,80.9
2006-01-01,01,83.6
2007-01-01,01,86.2
2008-01-01,01,93.8
2009-01-01,01,97.7
2010-01-01,01,100.0
2011-01-01,01,104.8
2012-01-01,01,107.6
2013-01-01,01,111.4
2014-01-01,01,115.2
2015-01-01,01,119.4
2016-01-01,01,123.9
2017-01-01,01,128.8
2018-01-01,01,130.9
2019-01-01,01,133.1
2020-01-01,01,134.8
2021-01-01,01,137.1
2022-01-01,01,145.0
2023-01-01,01,152.0
2024-01-01,01,155.0
2025-01-01,01,158.2
1980-01-01,02,18.1
1981-01-01,02,20.5
1982-01-01,02,21.8
1983-01-01,02,26.4
1984-01-01,02,27.4
1985-01-01,02,27.7
1986-01-01,02,28.1
1987-01-01,02,30.1
1988-01-01,02,30.6
1989-01-01,02,31.0
1990-01-01,02,32.0
1991-01-01,02,34.5
1992-01-01,02,37.5
1993-01-01,02,43.1
1994-01-01,02,45.2
1995-01-01,02,46.3
1996-01-01,02,47.3
1997-01-01,02,47.9
1998-01-01,02,50.0
1999-01-01,02,53.9
2000-01-01,02,55.5
2001-01-01,02,58.1
2002-01-01,02,60.5
2003-01-01,02,58.0
2004-01-01,02,64.3
2005-01-01,02,73.4
2006-01-01,02,78.5
2007-01-01,02,84.5
2008-01-01,02,90.7
2009-01-01,02,96.2
2010-01-01,02,100.0
2011-01-01,02,104.6
2012-01-01,02,105.0
2013-01-01,02,111.3
2014-01-01,02,124.2
2015-01-01,02,141.0
2016-01-01,02,165.2
2017-01-01,02,165.5
2018-01-01,02,165.3
2019-01-01,02,167.8
2020-01-01,02,168.3
2021-01-01,02,169.2
2022-01-01,02,170.1
2023-01-01,02,171.2
2024-01-01,02,172.4
2025-01-01,02,174.0
1980-01-01,03,87.0
1981-01-01,03,94.8
1982-01-01,03,98.5
1983-01-01,03,102.0
1984-01-01,03,103.7
1985-01-01,03,104.9
1986-01-01,03,105.4
1987-01-01,03,105.9
1988-01-01,03,108.1
1989-01-01,03,110.0
1990-01-01,03,111.8
1991-01-01,03,118.8
1992-01-01,03,122.3
1993-01-01,03,123.0
1994-01-01,03,122.0
1995-01-01,03,122.0
1996-01-01,03,121.2
1997-01-01,03,120.5
1998-01-01,03,121.1
1999-01-01,03,118.6
2000-01-01,03,116.6
2001-01-01,03,113.5
2002-01-01,03,111.0
2003-01-01,03,108.7
