date,division,inflation
1961-01-01,overall,0.0
1962-01-01,overall,0.0
1963-01-01,overall,3.4
1964-01-01,overall,-0.5
1965-01-01,overall,2.3
1966-01-01,overall,1.8
1967-01-01,overall,4.0
1968-01-01,overall,-0.4
1969-01-01,overall,-0.4
1970-01-01,overall,2.2
1971-01-01,overall,1.7
1972-01-01,overall,2.9
1973-01-01,overall,9.8
1974-01-01,overall,17.0
1975-01-01,overall,5.1
1976-01-01,overall,2.4
1977-01-01,overall,4.7
1978-01-01,overall,4.5
1979-01-01,overall,3.5
1980-01-01,overall,7.0
1981-01-01,overall,9.7
1982-01-01,overall,5.8
1983-01-01,overall,3.6
1984-01-01,overall,3.6
1985-01-01,overall,0.4
1986-01-01,overall,0.6
1987-01-01,overall,0.8
1988-01-01,overall,2.7
1989-01-01,overall,2.8
1990-01-01,overall,3.1
1991-01-01,overall,4.2
1992-01-01,overall,4.7
1993-01-01,overall,3.5
1994-01-01,overall,3.7
1995-01-01,overall,3.5
1996-01-01,overall,3.5
1997-01-01,overall,2.7
1998-01-01,overall,5.3
1999-01-01,overall,2.7
2000-01-01,overall,1.5
2001-01-01,overall,1.5
2002-01-01,overall,1.7
2003-01-01,overall,1.1
2004-01-01,overall,1.4
2005-01-01,overall,3.1
2006-01-01,overall,3.6
2007-01-01,overall,2.0
2008-01-01,overall,5.4
2009-01-01,overall,0.6
2010-01-01,overall,1.7
2011-01-01,overall,3.2
2012-01-01,overall,1.6
2013-01-01,overall,2.1
2014-01-01,overall,3.2
2015-01-01,overall,2.1
2016-01-01,overall,2.1
2017-01-01,overall,3.7
2018-01-01,overall,1.0
2019-01-01,overall,0.7
2020-01-01,overall,-1.2
2021-01-01,overall,2.5
2022-01-01,overall,3.3
2023-01-01,overall,2.5
2024-01-01,overall,1.8
2025-01-01,overall,1.4
1981-01-01,01,11.6
1982-01-01,01,7.4
1983-01-01,01,0.5
1984-01-01,01,3.9
1985-01-01,01,-2.4
1986-01-01,01,0.2
1987-01-01,01,-0.5
1988-01-01,01,3.9
1989-01-01,01,3.5
1990-01-01,01,4.3
1991-01-01,01,4.8
1992-01-01,01,6.6
1993-01-01,01,2.3
1994-01-01,01,5.1
1995-01-01,01,4.9
