date,abs,rate
2000-01-01,100707,4.3
2001-01-01,104531,4.3
2002-01-01,110367,4.5
2003-01-01,112744,4.5
2004-01-01,113192,4.4
2005-01-01,115436,4.4
2006-01-01,117778,4.4
2007-01-01,120670,4.5
2008-01-01,127098,4.6
2009-01-01,131328,4.7
2010-01-01,130978,4.6
2011-01-01,135463,4.7
2012-01-01,138692,4.7
2013-01-01,142202,4.7
2014-01-01,150318,4.9
2015-01-01,155786,5.0
2016-01-01,162201,5.1
2017-01-01,168168,5.3
2018-01-01,172031,5.3
2019-01-01,174254,5.4
2020-01-01,167181,5.2
2021-01-01,224931,6.9
2022-01-01,206780,6.3
2023-01-01,196965,5.9
2024-01-01,198992,5.8
