type,date,abs,rate
total,2000-01-01,4256,7.9
total,2001-01-01,4299,8.5
total,2002-01-01,4499,9.1
total,2003-01-01,4220,8.8
total,2004-01-01,4075,8.5
total,2005-01-01,4089,8.6
total,2006-01-01,3815,8.1
total,2007-01-01,3886,8.1
total,2008-01-01,4019,8.1
total,2009-01-01,4293,8.6
total,2010-01-01,4108,8.4
total,2011-01-01,4092,8.0
total,2012-01-01,4009,7.6
total,2013-01-01,3982,7.9
total,2014-01-01,4384,8.3
total,2015-01-01,4368,8.4
total,2016-01-01,4133,8.1
total,2017-01-01,4295,8.4
total,2018-01-01,4427,8.8
total,2019-01-01,3978,8.1
total,2020-01-01,3442,7.3
total,2021-01-01,3245,7.4
total,2022-01-01,3655,8.6
total,2023-01-01,3763,8.3
total,2024-01-01,3602,8.7
perinatal,2000-01-01,2235,4.1
perinatal,2001-01-01,3218,6.3
perinatal,2002-01-01,3361,6.8
perinatal,2003-01-01,3416,7.1
perinatal,2004-01-01,3355,6.9
perinatal,2005-01-01,3390,7.1
perinatal,2006-01-01,3415,7.2
perinatal,2007-01-01,3447,7.2
perinatal,2008-01-01,3567,7.2
perinatal,2009-01-01,3846,7.6
perinatal,2010-01-01,3791,7.7
perinatal,2011-01-01,3896,7.6
perinatal,2012-01-01,3847,7.3
perinatal,2013-01-01,3684,7.3
perinatal,2014-01-01,3934,7.4
perinatal,2015-01-01,4035,7.7
perinatal,2016-01-01,4246,8.3
perinatal,2017-01-01,4449,8.7
perinatal,2018-01-01,4514,8.9
perinatal,2019-01-01,4127,8.4
perinatal,2020-01-01,3810,8.0
perinatal,2021-01-01,3628,8.2
perinatal,2022-01-01,3468,8.2
perinatal,2023-01-01,3603,7.9
perinatal,2024-01-01,3293,7.9
neonatal,2000-01-01,1690,3.1
neonatal,2001-01-01,1845,3.7
neonatal,2002-01-01,1871,3.8
neonatal,2003-01-01,1804,3.7
neonatal,2004-01-01,1771,3.7
neonatal,2005-01-01,1836,3.9
neonatal,2006-01-01,1774,3.8
neonatal,2007-01-01,1837,3.8
neonatal,2008-01-01,1981,4.0
neonatal,2009-01-01,2182,4.3
neonatal,2010-01-01,2106,4.3
neonatal,2011-01-01,2133,4.2
neonatal,2012-01-01,2088,4.0
neonatal,2013-01-01,2025,4.0
neonatal,2014-01-01,2202,4.2
neonatal,2015-01-01,2264,4.3
neonatal,2016-01-01,2114,4.2
neonatal,2017-01-01,2253,4.4
neonatal,2018-01-01,2321,4.6
neonatal,2019-01-01,1995,4.1
neonatal,2020-01-01,1842,3.9
neonatal,2021-01-01,1818,4.1
neonatal,2022-01-01,1789,4.2
neonatal,2023-01-01,1941,4.3
neonatal,2024-01-01,1863,4.5
infant,2000-01-01,3235,6.0
infant,2001-01-01,3266,6.5
infant,2002-01-01,3393,6.9
infant,2003-01-01,3179,6.6
infant,2004-01-01,3126,6.5
infant,2005-01-01,3181,6.7
infant,2006-01-01,2974,6.3
infant,2007-01-01,3036,6.3
infant,2008-01-01,3152,6.4
infant,2009-01-01,3461,6.9
infant,2010-01-01,3295,6.7
infant,2011-01-01,3330,6.5
infant,2012-01-01,3277,6.2
infant,2013-01-01,3199,6.3
infant,2014-01-01,3543,6.7
infant,2015-01-01,3582,6.9
infant,2016-01-01,3390,6.7
infant,2017-01-01,3496,6.9
infant,2018-01-01,3622,7.2
infant,2019-01-01,3220,6.6
infant,2020-01-01,2801,5.9
infant,2021-01-01,2704,6.1
infant,2022-01-01,2871,6.8
infant,2023-01-01,3054,6.7
infant,2024-01-01,2974,7.2
toddler,2000-01-01,1021,0.5
toddler,2001-01-01,1033,0.5
toddler,2002-01-01,1106,0.5
toddler,2003-01-01,1041,0.5
toddler,2004-01-01,949,0.4
toddler,2005-01-01,908,0.4
toddler,2006-01-01,841,0.4
toddler,2007-01-01,850,0.4
toddler,2008-01-01,867,0.4
toddler,2009-01-01,832,0.4
toddler,2010-01-01,813,0.4
toddler,2011-01-01,762,0.4
toddler,2012-01-01,732,0.4
toddler,2013-01-01,783,0.4
toddler,2014-01-01,841,0.4
toddler,2015-01-01,786,0.4
toddler,2016-01-01,743,0.4
toddler,2017-01-01,799,0.4
toddler,2018-01-01,805,0.4
toddler,2019-01-01,758,0.4
toddler,2020-01-01,641,0.3
toddler,2021-01-01,541,0.3
toddler,2022-01-01,784,0.4
toddler,2023-01-01,709,0.4
toddler,2024-01-01,628,0.3
