type,date,sex,abs,rate
neonatal,2017-01-01,both,2253,4.42906710439663
neonatal,2017-01-01,female,987,4.010401852830035
neonatal,2017-01-01,male,1266,4.821479577263639
neonatal,2018-01-01,both,2321,4.6
neonatal,2018-01-01,female,1026,4.2
neonatal,2018-01-01,male,1295,5.0
neonatal,2019-01-01,both,1980,4.057734595466404
neonatal,2019-01-01,female,895,3.8009572466630144
neonatal,2019-01-01,male,1085,4.297199889104519
neonatal,2020-01-01,both,1827,3.885621922819256
neonatal,2020-01-01,female,793,3.4998984897033254
neonatal,2020-01-01,male,1034,4.244367182914164
neonatal,2021-01-01,both,1818,4.134223548246252
neonatal,2021-01-01,female,811,3.810230775013155
neonatal,2021-01-01,male,1007,4.438156688526902
neonatal,2022-01-01,both,1789,4.2
neonatal,2022-01-01,female,765,3.7
neonatal,2022-01-01,male,1024,4.7
neonatal,2024-01-01,both,1863,4.5
neonatal,2024-01-01,female,823,4.1
neonatal,2024-01-01,male,1040,4.9
infant,2017-01-01,both,3496,6.872622546369561
infant,2017-01-01,female,1557,6.326439397017594
infant,2017-01-01,male,1939,7.384556793297153
infant,2018-01-01,both,3622,7.2
infant,2018-01-01,female,1618,6.7
infant,2018-01-01,male,2004,7.7
infant,2019-01-01,both,3117,6.387857946499384
infant,2019-01-01,female,1406,6.776506000237633
infant,2019-01-01,male,1711,5.971112724925361
infant,2020-01-01,both,2696,5.7337912993545235
infant,2020-01-01,female,1194,5.269708444773984
infant,2020-01-01,male,1502,6.165415385625798
infant,2021-01-01,both,2704,6.1490321641682435
infant,2021-01-01,female,1241,5.830451777794483
infant,2021-01-01,male,1463,6.447888019180594
infant,2022-01-01,both,2871,6.8
infant,2022-01-01,female,1246,6.1
infant,2022-01-01,male,1625,7.4
infant,2024-01-01,both,2974,7.2
infant,2024-01-01,female,1329,6.6
infant,2024-01-01,male,1645,7.7
