state,type,date,abs,rate
Johor,total,2000-01-01,541,8.1
Johor,total,2001-01-01,593,9.7
Johor,total,2002-01-01,554,9.3
Johor,total,2003-01-01,528,9.1
Johor,total,2004-01-01,491,8.6
Johor,total,2005-01-01,508,9.0
Johor,total,2006-01-01,449,7.9
Johor,total,2007-01-01,429,7.4
Johor,total,2008-01-01,515,8.9
Johor,total,2009-01-01,464,8.0
Johor,total,2010-01-01,483,8.6
Johor,total,2011-01-01,456,7.8
Johor,total,2012-01-01,512,8.5
Johor,total,2013-01-01,442,7.7
Johor,total,2014-01-01,445,7.4
Johor,total,2015-01-01,517,8.5
Johor,total,2016-01-01,534,9.0
Johor,total,2017-01-01,503,8.2
Johor,total,2018-01-01,515,8.4
Johor,total,2019-01-01,473,7.8
Johor,total,2020-01-01,412,7.2
Johor,total,2021-01-01,402,8.0
Johor,total,2022-01-01,409,8.5
Johor,total,2023-01-01,412,7.3
Johor,total,2024-01-01,434,8.5
Johor,perinatal,2000-01-01,193,2.9
Johor,perinatal,2001-01-01,366,5.9
Johor,perinatal,2002-01-01,378,6.3
Johor,perinatal,2003-01-01,416,7.1
Johor,perinatal,2004-01-01,362,6.3
Johor,perinatal,2005-01-01,389,6.9
Johor,perinatal,2006-01-01,397,7.0
Johor,perinatal,2007-01-01,421,7.3
Johor,perinatal,2008-01-01,394,6.8
Johor,perinatal,2009-01-01,423,7.3
Johor,perinatal,2010-01-01,402,7.1
Johor,perinatal,2011-01-01,404,6.9
Johor,perinatal,2012-01-01,429,7.1
Johor,perinatal,2013-01-01,441,7.6
Johor,perinatal,2014-01-01,414,6.8
Johor,perinatal,2015-01-01,540,8.9
Johor,perinatal,2016-01-01,543,9.1
Johor,perinatal,2017-01-01,504,8.2
Johor,perinatal,2018-01-01,576,9.4
Johor,perinatal,2019-01-01,499,8.2
Johor,perinatal,2020-01-01,456,8.0
Johor,perinatal,2021-01-01,431,8.6
Johor,perinatal,2022-01-01,382,7.9
Johor,perinatal,2023-01-01,383,6.8
Johor,perinatal,2024-01-01,363,7.1
Johor,neonatal,2000-01-01,239,3.6
Johor,neonatal,2001-01-01,281,4.6
Johor,neonatal,2002-01-01,257,4.3
Johor,neonatal,2003-01-01,247,4.2
Johor,neonatal,2004-01-01,235,4.1
Johor,neonatal,2005-01-01,237,4.2
Johor,neonatal,2006-01-01,228,4.0
Johor,neonatal,2007-01-01,223,3.9
Johor,neonatal,2008-01-01,252,4.4
Johor,neonatal,2009-01-01,235,4.1
Johor,neonatal,2010-01-01,248,4.4
Johor,neonatal,2011-01-01,228,3.9
Johor,neonatal,2012-01-01,267,4.4
Johor,neonatal,2013-01-01,235,4.1
Johor,neonatal,2014-01-01,242,4.0
Johor,neonatal,2015-01-01,285,4.7
Johor,neonatal,2016-01-01,287,4.8
Johor,neonatal,2017-01-01,274,4.5
Johor,neonatal,2018-01-01,265,4.3
Johor,neonatal,2019-01-01,238,3.9
Johor,neonatal,2020-01-01,239,4.2
Johor,neonatal,2021-01-01,221,4.4
Johor,neonatal,2022-01-01,202,4.2
Johor,neonatal,2023-01-01,206,3.7
Johor,neonatal,2024-01-01,219,4.3
Johor,infant,2000-01-01,419,6.2
Johor,infant,2001-01-01,471,7.7
Johor,infant,2002-01-01,425,7.1
Johor,infant,2003-01-01,411,7.1
Johor,infant,2004-01-01,389,6.8
Johor,infant,2005-01-01,411,7.3
Johor,infant,2006-01-01,370,6.5
Johor,infant,2007-01-01,355,6.1
Johor,infant,2008-01-01,401,6.9
Johor,infant,2009-01-01,387,6.7
Johor,infant,2010-01-01,396,7.1
Johor,infant,2011-01-01,374,6.4
Johor,infant,2012-01-01,424,7.0
Johor,infant,2013-01-01,364,6.3
Johor,infant,2014-01-01,368,6.1
Johor,infant,2015-01-01,440,7.3
Johor,infant,2016-01-01,443,7.4
Johor,infant,2017-01-01,413,6.8
Johor,infant,2018-01-01,422,6.9
Johor,infant,2019-01-01,386,6.4
Johor,infant,2020-01-01,354,6.2
Johor,infant,2021-01-01,343,6.9
Johor,infant,2022-01-01,323,6.7
Johor,infant,2023-01-01,341,6.1
Johor,infant,2024-01-01,360,7.1
Johor,toddler,2000-01-01,122,0.5
Johor,toddler,2001-01-01,122,0.5
Johor,toddler,2002-01-01,129,0.5
Johor,toddler,2003-01-01,117,0.5
Johor,toddler,2004-01-01,102,0.4
Johor,toddler,2005-01-01,97,0.4
Johor,toddler,2006-01-01,79,0.3
Johor,toddler,2007-01-01,74,0.3
Johor,toddler,2008-01-01,114,0.5
Johor,toddler,2009-01-01,77,0.3
Johor,toddler,2010-01-01,87,0.4
Johor,toddler,2011-01-01,82,0.4
Johor,toddler,2012-01-01,88,0.4
Johor,toddler,2013-01-01,78,0.3
Johor,toddler,2014-01-01,77,0.3
Johor,toddler,2015-01-01,77,0.3
Johor,toddler,2016-01-01,91,0.4
Johor,toddler,2017-01-01,90,0.4
Johor,toddler,2018-01-01,93,0.4
Johor,toddler,2019-01-01,87,0.4
Johor,toddler,2020-01-01,58,0.2
Johor,toddler,2021-01-01,59,0.2
Johor,toddler,2022-01-01,86,0.4
Johor,toddler,2023-01-01,71,0.3
Johor,toddler,2024-01-01,74,0.4
Kedah,total,2000-01-01,321,7.8
Kedah,total,2001-01-01,427,11.2
Kedah,total,2002-01-01,366,10.0
Kedah,total,2003-01-01,356,10.1
Kedah,total,2004-01-01,335,9.6
Kedah,total,2005-01-01,334,9.8
Kedah,total,2006-01-01,293,8.7
Kedah,total,2007-01-01,329,9.7
Kedah,total,2008-01-01,353,10.0
Kedah,total,2009-01-01,340,9.4
Kedah,total,2010-01-01,324,9.2
Kedah,total,2011-01-01,282,7.8
Kedah,total,2012-01-01,311,8.5
Kedah,total,2013-01-01,292,8.3
Kedah,total,2014-01-01,287,7.9
Kedah,total,2015-01-01,288,7.8
Kedah,total,2016-01-01,308,8.6
Kedah,total,2017-01-01,268,7.3
Kedah,total,2018-01-01,286,8.0
Kedah,total,2019-01-01,279,8.1
Kedah,total,2020-01-01,218,6.4
Kedah,total,2021-01-01,231,7.0
Kedah,total,2022-01-01,244,7.9
Kedah,total,2023-01-01,249,7.4
Kedah,total,2024-01-01,269,8.8
Kedah,perinatal,2000-01-01,188,4.6
Kedah,perinatal,2001-01-01,373,9.7
Kedah,perinatal,2002-01-01,342,9.3
Kedah,perinatal,2003-01-01,362,10.2
Kedah,perinatal,2004-01-01,331,9.4
Kedah,perinatal,2005-01-01,355,10.3
Kedah,perinatal,2006-01-01,315,9.2
Kedah,perinatal,2007-01-01,324,9.5
Kedah,perinatal,2008-01-01,343,9.6
Kedah,perinatal,2009-01-01,353,9.7
Kedah,perinatal,2010-01-01,333,9.4
Kedah,perinatal,2011-01-01,321,8.9
Kedah,perinatal,2012-01-01,323,8.8
Kedah,perinatal,2013-01-01,295,8.4
Kedah,perinatal,2014-01-01,315,8.6
Kedah,perinatal,2015-01-01,296,8.0
Kedah,perinatal,2016-01-01,294,8.1
Kedah,perinatal,2017-01-01,301,8.2
Kedah,perinatal,2018-01-01,283,7.9
Kedah,perinatal,2019-01-01,293,8.4
Kedah,perinatal,2020-01-01,252,7.4
Kedah,perinatal,2021-01-01,256,7.7
Kedah,perinatal,2022-01-01,237,7.7
Kedah,perinatal,2023-01-01,243,7.2
Kedah,perinatal,2024-01-01,254,8.3
Kedah,neonatal,2000-01-01,123,3.0
Kedah,neonatal,2001-01-01,199,5.2
Kedah,neonatal,2002-01-01,151,4.1
Kedah,neonatal,2003-01-01,176,5.0
Kedah,neonatal,2004-01-01,163,4.6
Kedah,neonatal,2005-01-01,170,5.0
Kedah,neonatal,2006-01-01,151,4.5
Kedah,neonatal,2007-01-01,178,5.2
Kedah,neonatal,2008-01-01,197,5.6
Kedah,neonatal,2009-01-01,199,5.5
Kedah,neonatal,2010-01-01,191,5.4
Kedah,neonatal,2011-01-01,162,4.5
Kedah,neonatal,2012-01-01,179,4.9
Kedah,neonatal,2013-01-01,154,4.4
Kedah,neonatal,2014-01-01,164,4.5
Kedah,neonatal,2015-01-01,151,4.1
Kedah,neonatal,2016-01-01,171,4.8
Kedah,neonatal,2017-01-01,140,3.8
Kedah,neonatal,2018-01-01,151,4.2
Kedah,neonatal,2019-01-01,137,4.0
