state,type,date,sex,abs,rate
Johor,neonatal,2017-01-01,both,274,4.485552918064991
Johor,neonatal,2017-01-01,female,123,4.178414919998642
Johor,neonatal,2017-01-01,male,151,4.771233569261881
Johor,neonatal,2018-01-01,both,265,4.3
Johor,neonatal,2018-01-01,female,126,4.3
Johor,neonatal,2018-01-01,male,139,4.4
Johor,neonatal,2019-01-01,both,236,3.9269193650371057
Johor,neonatal,2019-01-01,female,106,3.641360357265544
Johor,neonatal,2019-01-01,male,130,4.195172324770879
Johor,neonatal,2020-01-01,both,238,4.1886659626891944
Johor,neonatal,2020-01-01,female,109,3.965655242668995
Johor,neonatal,2020-01-01,male,129,4.397627326651667
Johor,neonatal,2021-01-01,both,221,4.420884176835368
Johor,neonatal,2021-01-01,female,96,3.953545836422041
Johor,neonatal,2021-01-01,male,125,4.862299673253462
Johor,neonatal,2022-01-01,both,202,4.2
Johor,neonatal,2022-01-01,female,88,3.7
Johor,neonatal,2022-01-01,male,114,4.6
Johor,neonatal,2024-01-01,both,219,4.3
Johor,neonatal,2024-01-01,female,93,3.8
Johor,neonatal,2024-01-01,male,126,4.8
Johor,infant,2017-01-01,both,413,6.761070639273144
Johor,infant,2017-01-01,female,187,6.35254951251826
Johor,infant,2017-01-01,male,226,7.141051567239636
Johor,infant,2018-01-01,both,422,6.9
Johor,infant,2018-01-01,female,201,6.8
Johor,infant,2018-01-01,male,221,7.0
Johor,infant,2019-01-01,both,379,6.306366268428233
Johor,infant,2019-01-01,female,170,6.744546275977798
Johor,infant,2019-01-01,male,209,5.839917554105119
Johor,infant,2020-01-01,both,346,6.089405139035551
Johor,infant,2020-01-01,female,158,5.748380993960561
Johor,infant,2020-01-01,male,188,6.40894525124429
Johor,infant,2021-01-01,both,343,6.861372274454891
Johor,infant,2021-01-01,female,152,6.259780907668231
Johor,infant,2021-01-01,male,191,7.42959390073129
Johor,infant,2022-01-01,both,323,6.7
Johor,infant,2022-01-01,female,145,6.2
Johor,infant,2022-01-01,male,178,7.2
Johor,infant,2024-01-01,both,360,7.1
Johor,infant,2024-01-01,female,159,6.5
Johor,infant,2024-01-01,male,201,7.6
Kedah,neonatal,2017-01-01,both,140,3.8154416373695255
Kedah,neonatal,2017-01-01,female,70,3.9543554400632694
Kedah,neonatal,2017-01-01,male,70,3.6859565057132326
Kedah,neonatal,2018-01-01,both,151,4.2
Kedah,neonatal,2018-01-01,female,63,3.7
Kedah,neonatal,2018-01-01,male,88,4.8
Kedah,neonatal,2019-01-01,both,137,3.980937990352764
Kedah,neonatal,2019-01-01,female,57,3.4293965465375127
Kedah,neonatal,2019-01-01,male,80,4.496150171415725
Kedah,neonatal,2020-01-01,both,126,3.728913879846108
Kedah,neonatal,2020-01-01,female,53,3.2525314513654497
Kedah,neonatal,2020-01-01,male,73,4.172620748785367
Kedah,neonatal,2021-01-01,both,146,4.418886198547216
Kedah,neonatal,2021-01-01,female,68,4.2478760619690155
Kedah,neonatal,2021-01-01,male,78,4.579614842649131
Kedah,neonatal,2022-01-01,both,114,3.7
Kedah,neonatal,2022-01-01,female,60,4.0
Kedah,neonatal,2022-01-01,male,54,3.4
Kedah,neonatal,2024-01-01,both,151,4.9
Kedah,neonatal,2024-01-01,female,73,4.9
Kedah,neonatal,2024-01-01,male,78,5.0
Kedah,infant,2017-01-01,both,215,5.859428228817485
Kedah,infant,2017-01-01,female,109,6.15749632809852
Kedah,infant,2017-01-01,male,106,5.581591280080038
Kedah,infant,2018-01-01,both,229,6.4
Kedah,infant,2018-01-01,female,93,5.4
Kedah,infant,2018-01-01,male,136,7.4
Kedah,infant,2019-01-01,both,220,6.3927471377927585
Kedah,infant,2019-01-01,female,91,7.250042151407857
Kedah,infant,2019-01-01,male,129,5.475001504121293
Kedah,infant,2020-01-01,both,171,5.060668836934004
Kedah,infant,2020-01-01,female,71,4.357164774470697
Kedah,infant,2020-01-01,male,100,5.715918833952558
Kedah,infant,2021-01-01,both,203,6.1440677966101696
Kedah,infant,2021-01-01,female,93,5.809595202398801
Kedah,infant,2021-01-01,male,110,6.458431188351339
Kedah,infant,2022-01-01,both,193,6.3
Kedah,infant,2022-01-01,female,95,6.3
Kedah,infant,2022-01-01,male,98,6.2
Kedah,infant,2024-01-01,both,225,7.3
Kedah,infant,2024-01-01,female,107,7.2
Kedah,infant,2024-01-01,male,118,7.5
Kelantan,neonatal,2017-01-01,both,198,5.061090946270641
Kelantan,neonatal,2017-01-01,female,92,4.832440382393109
Kelantan,neonatal,2017-01-01,male,106,5.277833100975902
Kelantan,neonatal,2018-01-01,both,195,5.1
Kelantan,neonatal,2018-01-01,female,75,4.1
Kelantan,neonatal,2018-01-01,male,120,6.0
Kelantan,neonatal,2019-01-01,both,182,4.953998584571833
Kelantan,neonatal,2019-01-01,female,72,4.07147704139335
