date,abs,rate
1946-01-01,,668.1
1947-01-01,,700.1
1948-01-01,,583.0
1949-01-01,,533.7
1950-01-01,,533.9
1951-01-01,,569.8
1952-01-01,,520.0
1953-01-01,,471.6
1954-01-01,,475.9
1955-01-01,,418.0
1956-01-01,,396.2
1957-01-01,,282.2
1958-01-01,,277.3
1959-01-01,,209.6
1960-01-01,,242.3
1961-01-01,,200.3
1962-01-01,,230.0
1963-01-01,,206.4
1964-01-01,,187.4
1965-01-01,,186.4
1966-01-01,,169.6
1967-01-01,,162.4
1968-01-01,,162.3
1969-01-01,,154.7
1970-01-01,,140.8
1971-01-01,,112.2
1972-01-01,,99.0
1973-01-01,,97.4
1974-01-01,,90.1
1975-01-01,,77.3
1976-01-01,,72.7
1977-01-01,,70.7
1978-01-01,,75.5
1979-01-01,,59.6
1980-01-01,,56.4
1981-01-01,,53.0
1982-01-01,,45.4
1983-01-01,,35.5
1984-01-01,,36.1
1985-01-01,,33.3
1986-01-01,,25.4
1987-01-01,,24.0
1988-01-01,,24.2
1989-01-01,,19.6
1990-01-01,,18.6
1991-01-01,,19.2
1992-01-01,,19.5
1993-01-01,,19.6
1994-01-01,,19.2
1995-01-01,,19.3
1996-01-01,,15.6
1997-01-01,,16.8
1998-01-01,,29.1
1999-01-01,,36.2
2000-01-01,131.0,24.4
2001-01-01,151.0,29.9
2002-01-01,159.0,32.2
2003-01-01,137.0,28.5
2004-01-01,131.0,27.2
2005-01-01,130.0,27.4
2006-01-01,127.0,26.9
2007-01-01,138.0,28.8
2008-01-01,133.0,27.0
2009-01-01,134.0,26.7
2010-01-01,128.0,26.1
2011-01-01,134.0,26.2
2012-01-01,122.0,23.2
2013-01-01,108.0,21.4
2014-01-01,118.0,22.3
2015-01-01,124.0,23.8
2016-01-01,148.0,29.1
2017-01-01,127.0,25.0
2018-01-01,118.0,23.5
2019-01-01,103.0,21.0
2020-01-01,117.0,24.8
2021-01-01,300.0,68.2
2022-01-01,110.0,26.0
2023-01-01,117.0,25.7
2024-01-01,101.0,24.3
