date,sex,ethnicity,abs,rate
2000-01-01,both,bumi_malay,52018.0,4.4
2000-01-01,female,bumi_malay,22283.0,3.8
2000-01-01,male,bumi_malay,29735.0,5.0
2000-01-01,both,bumi_other,8164.0,3.2
2000-01-01,female,bumi_other,3281.0,2.6
2000-01-01,male,bumi_other,4883.0,3.8
2000-01-01,both,chinese,28281.0,4.9
2000-01-01,female,chinese,12176.0,4.3
2000-01-01,male,chinese,16105.0,5.5
2000-01-01,both,indian,8563.0,5.0
2000-01-01,female,indian,2957.0,3.5
2000-01-01,male,indian,5606.0,6.6
2000-01-01,both,other_citizen,1152.0,4.2
2000-01-01,female,other_citizen,531.0,3.9
2000-01-01,male,other_citizen,621.0,4.5
2000-01-01,both,other_noncitizen,2529.0,1.8
2000-01-01,female,other_noncitizen,1176.0,1.9
2000-01-01,male,other_noncitizen,1353.0,1.7
2000-01-01,both,overall,100707.0,4.3
2000-01-01,female,overall,42404.0,3.7
2000-01-01,male,overall,58303.0,4.9
2001-01-01,both,bumi_malay,54664.0,4.5
2001-01-01,female,bumi_malay,23485.0,3.9
2001-01-01,male,bumi_malay,31179.0,5.1
2001-01-01,both,bumi_other,8660.0,3.3
2001-01-01,female,bumi_other,3564.0,2.7
2001-01-01,male,bumi_other,5096.0,3.8
2001-01-01,both,chinese,28977.0,5.0
2001-01-01,female,chinese,12662.0,4.4
2001-01-01,male,chinese,16315.0,5.4
2001-01-01,both,indian,8621.0,5.0
2001-01-01,female,indian,3106.0,3.6
2001-01-01,male,indian,5515.0,6.4
2001-01-01,both,other_citizen,982.0,3.6
2001-01-01,female,other_citizen,405.0,3.0
2001-01-01,male,other_citizen,577.0,4.2
2001-01-01,both,other_noncitizen,2627.0,1.7
2001-01-01,female,other_noncitizen,1201.0,1.9
2001-01-01,male,other_noncitizen,1426.0,1.7
2001-01-01,both,overall,104531.0,4.3
2001-01-01,female,overall,44423.0,3.8
2001-01-01,male,overall,60108.0,4.9
2002-01-01,both,bumi_malay,58532.0,4.8
2002-01-01,female,bumi_malay,25181.0,4.1
2002-01-01,male,bumi_malay,33351.0,5.4
2002-01-01,both,bumi_other,8741.0,3.2
2002-01-01,female,bumi_other,3657.0,2.7
2002-01-01,male,bumi_other,5084.0,3.7
2002-01-01,both,chinese,30184.0,5.1
2002-01-01,female,chinese,13080.0,4.5
2002-01-01,male,chinese,17104.0,5.6
2002-01-01,both,indian,9211.0,5.3
2002-01-01,female,indian,3359.0,3.9
2002-01-01,male,indian,5852.0,6.7
2002-01-01,both,other_citizen,1081.0,3.9
2002-01-01,female,other_citizen,463.0,3.4
2002-01-01,male,other_citizen,618.0,4.4
2002-01-01,both,other_noncitizen,2618.0,1.6
2002-01-01,female,other_noncitizen,1243.0,1.8
2002-01-01,male,other_noncitizen,1375.0,1.5
2002-01-01,both,overall,110367.0,4.5
2002-01-01,female,overall,46983.0,3.9
2002-01-01,male,overall,63384.0,5.1
2003-01-01,both,bumi_malay,59666.0,4.8
2003-01-01,female,bumi_malay,25396.0,4.1
2003-01-01,male,bumi_malay,34270.0,5.4
2003-01-01,both,bumi_other,9273.0,3.3
2003-01-01,female,bumi_other,3893.0,2.8
2003-01-01,male,bumi_other,5380.0,3.8
2003-01-01,both,chinese,30705.0,5.1
2003-01-01,female,chinese,13397.0,4.6
2003-01-01,male,chinese,17308.0,5.6
2003-01-01,both,indian,9293.0,5.2
2003-01-01,female,indian,3314.0,3.8
2003-01-01,male,indian,5979.0,6.7
2003-01-01,both,other_citizen,1103.0,4.0
2003-01-01,female,other_citizen,457.0,3.3
2003-01-01,male,other_citizen,646.0,4.6
2003-01-01,both,other_noncitizen,2704.0,1.6
2003-01-01,female,other_noncitizen,1300.0,1.8
2003-01-01,male,other_noncitizen,1404.0,1.4
2003-01-01,both,overall,112744.0,4.5
2003-01-01,female,overall,47757.0,3.9
2003-01-01,male,overall,64987.0,5.1
2004-01-01,both,bumi_malay,59509.0,4.7
2004-01-01,female,bumi_malay,25493.0,4.0
2004-01-01,male,bumi_malay,34016.0,5.3
2004-01-01,both,bumi_other,9553.0,3.4
2004-01-01,female,bumi_other,3930.0,2.8
2004-01-01,male,bumi_other,5623.0,3.9
2004-01-01,both,chinese,31036.0,5.1
