series,date,domain,registrations
cumulative,2011-03-01,overall,7
cumulative,2011-04-01,overall,7
cumulative,2011-05-01,overall,8
cumulative,2011-06-01,overall,8
cumulative,2011-07-01,overall,7
cumulative,2011-08-01,overall,7
cumulative,2011-09-01,overall,8
cumulative,2011-10-01,overall,8
cumulative,2011-11-01,overall,8
cumulative,2011-12-01,overall,8
cumulative,2012-01-01,overall,9
cumulative,2012-02-01,overall,8
cumulative,2012-03-01,overall,9
cumulative,2012-04-01,overall,8
cumulative,2012-05-01,overall,9
cumulative,2012-06-01,overall,22
cumulative,2012-07-01,overall,26
cumulative,2012-08-01,overall,25
cumulative,2012-09-01,overall,27
cumulative,2012-10-01,overall,23
cumulative,2012-11-01,overall,24
cumulative,2012-12-01,overall,24
cumulative,2013-01-01,overall,23
cumulative,2013-02-01,overall,23
cumulative,2013-03-01,overall,21
cumulative,2013-04-01,overall,19
cumulative,2013-05-01,overall,22
cumulative,2013-06-01,overall,106
cumulative,2013-07-01,overall,105
cumulative,2013-08-01,overall,103
cumulative,2013-09-01,overall,92
cumulative,2013-10-01,overall,97
cumulative,2013-11-01,overall,108
cumulative,2013-12-01,overall,102
cumulative,2014-01-01,overall,102
cumulative,2014-02-01,overall,100
cumulative,2014-03-01,overall,99
cumulative,2014-04-01,overall,104
cumulative,2014-05-01,overall,100
cumulative,2014-06-01,overall,105
cumulative,2014-07-01,overall,100
cumulative,2014-08-01,overall,102
cumulative,2014-09-01,overall,100
cumulative,2014-10-01,overall,101
cumulative,2014-11-01,overall,104
cumulative,2014-12-01,overall,97
cumulative,2015-01-01,overall,106
cumulative,2015-02-01,overall,104
cumulative,2015-03-01,overall,104
cumulative,2015-04-01,overall,104
cumulative,2015-05-01,overall,105
cumulative,2015-06-01,overall,104
cumulative,2015-07-01,overall,104
cumulative,2015-08-01,overall,104
cumulative,2015-09-01,overall,107
cumulative,2015-10-01,overall,93
cumulative,2015-11-01,overall,31
cumulative,2015-12-01,overall,5
cumulative,2016-01-01,overall,9
cumulative,2016-02-01,overall,2
cumulative,2016-03-01,overall,5
cumulative,2016-04-01,overall,6
cumulative,2016-05-01,overall,5
cumulative,2016-06-01,overall,5
cumulative,2016-07-01,overall,5
cumulative,2016-08-01,overall,5
cumulative,2016-09-01,overall,4
cumulative,2016-10-01,overall,7
cumulative,2016-11-01,overall,4
cumulative,2016-12-01,overall,7
cumulative,2017-01-01,overall,15
cumulative,2017-02-01,overall,5
cumulative,2017-03-01,overall,4
cumulative,2017-04-01,overall,7
cumulative,2017-05-01,overall,11
cumulative,2017-06-01,overall,7
cumulative,2017-07-01,overall,5
cumulative,2017-08-01,overall,5
cumulative,2017-09-01,overall,982
cumulative,2017-10-01,overall,6
cumulative,2017-11-01,overall,3
cumulative,2017-12-01,overall,3
cumulative,2018-01-01,overall,1
cumulative,2018-02-01,overall,1
