series,date,domain,registrations
cumulative,2011-03-01,overall,3
cumulative,2011-04-01,overall,10
cumulative,2011-05-01,overall,10
cumulative,2011-06-01,overall,24
cumulative,2011-07-01,overall,29
cumulative,2011-08-01,overall,38
cumulative,2011-09-01,overall,815
cumulative,2011-10-01,overall,852
cumulative,2011-11-01,overall,1273
cumulative,2011-12-01,overall,1392
cumulative,2012-01-01,overall,1398
cumulative,2012-02-01,overall,1399
cumulative,2012-03-01,overall,1402
cumulative,2012-04-01,overall,1408
cumulative,2012-05-01,overall,1408
cumulative,2012-06-01,overall,1408
cumulative,2012-07-01,overall,1408
cumulative,2012-08-01,overall,1665
cumulative,2012-09-01,overall,1668
cumulative,2012-10-01,overall,1996
cumulative,2012-11-01,overall,1997
cumulative,2012-12-01,overall,1998
cumulative,2013-01-01,overall,2001
cumulative,2013-02-01,overall,2005
cumulative,2013-03-01,overall,2007
cumulative,2013-04-01,overall,2011
cumulative,2013-05-01,overall,2011
cumulative,2013-06-01,overall,2011
cumulative,2013-07-01,overall,2017
cumulative,2013-08-01,overall,2019
cumulative,2013-09-01,overall,2025
cumulative,2013-10-01,overall,2029
cumulative,2013-11-01,overall,2029
cumulative,2013-12-01,overall,2029
cumulative,2014-01-01,overall,2029
cumulative,2014-02-01,overall,2081
cumulative,2014-03-01,overall,2084
cumulative,2014-04-01,overall,2084
cumulative,2014-05-01,overall,2086
cumulative,2014-06-01,overall,2095
cumulative,2014-07-01,overall,2095
cumulative,2014-08-01,overall,2095
cumulative,2014-09-01,overall,2100
cumulative,2014-10-01,overall,2101
cumulative,2014-11-01,overall,2101
cumulative,2014-12-01,overall,2102
cumulative,2015-01-01,overall,2102
cumulative,2015-02-01,overall,2102
cumulative,2015-03-01,overall,2102
cumulative,2015-04-01,overall,2102
cumulative,2015-05-01,overall,2102
cumulative,2015-06-01,overall,2102
cumulative,2015-07-01,overall,2102
cumulative,2015-08-01,overall,2102
cumulative,2015-09-01,overall,2100
cumulative,2015-10-01,overall,2099
cumulative,2015-11-01,overall,2099
cumulative,2015-12-01,overall,2099
cumulative,2016-01-01,overall,2099
cumulative,2016-02-01,overall,2099
cumulative,2016-03-01,overall,2099
cumulative,2016-04-01,overall,2099
cumulative,2016-05-01,overall,2099
cumulative,2016-06-01,overall,2099
cumulative,2016-07-01,overall,2099
cumulative,2016-08-01,overall,2099
cumulative,2016-09-01,overall,2099
cumulative,2016-10-01,overall,2099
cumulative,2016-11-01,overall,2099
cumulative,2016-12-01,overall,2099
cumulative,2017-01-01,overall,2099
cumulative,2017-02-01,overall,2099
cumulative,2017-03-01,overall,2116
cumulative,2017-04-01,overall,2117
cumulative,2017-05-01,overall,2115
cumulative,2017-06-01,overall,2116
cumulative,2017-07-01,overall,2117
cumulative,2017-08-01,overall,2113
cumulative,2017-09-01,overall,2113
cumulative,2017-10-01,overall,2113
cumulative,2017-11-01,overall,2107
cumulative,2017-12-01,overall,2108
cumulative,2018-01-01,overall,2108
cumulative,2018-02-01,overall,2110
cumulative,2018-03-01,overall,2110
cumulative,2018-04-01,overall,2108
cumulative,2018-05-01,overall,2096
cumulative,2018-06-01,overall,2096
cumulative,2018-07-01,overall,2096
cumulative,2018-08-01,overall,2096
cumulative,2018-09-01,overall,2098
cumulative,2018-10-01,overall,2098
cumulative,2018-11-01,overall,2098
cumulative,2018-12-01,overall,2098
cumulative,2019-01-01,overall,2100
cumulative,2019-02-01,overall,2100
cumulative,2019-03-01,overall,2102
cumulative,2019-04-01,overall,2102
cumulative,2019-05-01,overall,2102
cumulative,2019-06-01,overall,2102
cumulative,2019-07-01,overall,2102
cumulative,2019-08-01,overall,2103
cumulative,2019-09-01,overall,2103
cumulative,2019-10-01,overall,2103
cumulative,2019-11-01,overall,2103
cumulative,2019-12-01,overall,2103
cumulative,2020-01-01,overall,2103
cumulative,2020-02-01,overall,2103
cumulative,2020-03-01,overall,2103
cumulative,2020-04-01,overall,2103
cumulative,2020-05-01,overall,2103
cumulative,2020-06-01,overall,2106
cumulative,2020-07-01,overall,2106
cumulative,2020-08-01,overall,2106
cumulative,2020-09-01,overall,2107
cumulative,2020-10-01,overall,2107
cumulative,2020-11-01,overall,2107
cumulative,2020-12-01,overall,2107
cumulative,2021-01-01,overall,2107
cumulative,2021-02-01,overall,2107
cumulative,2021-03-01,overall,2107
cumulative,2021-04-01,overall,2107
cumulative,2021-05-01,overall,2107
cumulative,2021-06-01,overall,2107
cumulative,2021-07-01,overall,2107
cumulative,2021-08-01,overall,2107
cumulative,2021-09-01,overall,2107
cumulative,2021-10-01,overall,2108
cumulative,2021-11-01,overall,2106
cumulative,2021-12-01,overall,2106
cumulative,2022-01-01,overall,2098
cumulative,2022-02-01,overall,2098
cumulative,2022-03-01,overall,2098
cumulative,2022-04-01,overall,2105
cumulative,2022-05-01,overall,2105
cumulative,2022-06-01,overall,2105
cumulative,2022-07-01,overall,2106
cumulative,2022-08-01,overall,2106
cumulative,2022-09-01,overall,2106
cumulative,2022-10-01,overall,2107
cumulative,2022-11-01,overall,2107
cumulative,2022-12-01,overall,2108
cumulative,2023-01-01,overall,2108
cumulative,2023-02-01,overall,2108
cumulative,2023-03-01,overall,2110
cumulative,2023-04-01,overall,2110
cumulative,2023-05-01,overall,2115
cumulative,2023-06-01,overall,2116
cumulative,2023-07-01,overall,2128
cumulative,2023-08-01,overall,2128
cumulative,2023-09-01,overall,2129
cumulative,2023-10-01,overall,2129
cumulative,2023-11-01,overall,2129
cumulative,2023-12-01,overall,2129
cumulative,2024-01-01,overall,2128
cumulative,2024-02-01,overall,2128
cumulative,2024-03-01,overall,2127
cumulative,2024-04-01,overall,2127
cumulative,2024-05-01,overall,2127
cumulative,2024-06-01,overall,2127
cumulative,2024-07-01,overall,2126
cumulative,2024-08-01,overall,2121
cumulative,2024-09-01,overall,2121
cumulative,2024-10-01,overall,2112
cumulative,2024-11-01,overall,2112
cumulative,2024-12-01,overall,2111
cumulative,2025-01-01,overall,2111
new_net,2011-04-01,overall,7
new_net,2011-05-01,overall,0
new_net,2011-06-01,overall,14
new_net,2011-07-01,overall,5
new_net,2011-08-01,overall,9
new_net,2011-09-01,overall,777
new_net,2011-10-01,overall,37
new_net,2011-11-01,overall,421
new_net,2011-12-01,overall,119
new_net,2012-01-01,overall,6
new_net,2012-02-01,overall,1
new_net,2012-03-01,overall,3
new_net,2012-04-01,overall,6
new_net,2012-05-01,overall,0
new_net,2012-06-01,overall,0
new_net,2012-07-01,overall,0
new_net,2012-08-01,overall,257
new_net,2012-09-01,overall,3
new_net,2012-10-01,overall,328
new_net,2012-11-01,overall,1
new_net,2012-12-01,overall,1
new_net,2013-01-01,overall,3
new_net,2013-02-01,overall,4
new_net,2013-03-01,overall,2
new_net,2013-04-01,overall,4
new_net,2013-05-01,overall,0
new_net,2013-06-01,overall,0
new_net,2013-07-01,overall,6
new_net,2013-08-01,overall,2
new_net,2013-09-01,overall,6
new_net,2013-10-01,overall,4
new_net,2013-11-01,overall,0
new_net,2013-12-01,overall,0
new_net,2014-01-01,overall,0
new_net,2014-02-01,overall,52
