date,state,age_group,addicts
2015-01-01,Malaysia,total,26668
2016-01-01,Malaysia,total,30844
2017-01-01,Malaysia,total,25922
2018-01-01,Malaysia,total,25267
2019-01-01,Malaysia,total,26080
2020-01-01,Malaysia,total,20643
2021-01-01,Malaysia,total,18205
2022-01-01,Malaysia,total,23517
2023-01-01,Malaysia,total,24186
2019-01-01,Johor,total,2371
2020-01-01,Johor,total,2564
2021-01-01,Johor,total,2081
2022-01-01,Johor,total,2674
2023-01-01,Johor,total,2847
2019-01-01,Kedah,total,3582
2020-01-01,Kedah,total,2372
2021-01-01,Kedah,total,2196
2022-01-01,Kedah,total,2724
2023-01-01,Kedah,total,2678
2019-01-01,Kelantan,total,2998
2020-01-01,Kelantan,total,2271
2021-01-01,Kelantan,total,2167
2022-01-01,Kelantan,total,2339
2023-01-01,Kelantan,total,2589
2019-01-01,Melaka,total,819
2020-01-01,Melaka,total,829
2021-01-01,Melaka,total,539
2022-01-01,Melaka,total,555
2023-01-01,Melaka,total,467
2019-01-01,Negeri Sembilan,total,1244
2020-01-01,Negeri Sembilan,total,812
2021-01-01,Negeri Sembilan,total,709
2022-01-01,Negeri Sembilan,total,969
2023-01-01,Negeri Sembilan,total,866
2019-01-01,Pahang,total,1672
2020-01-01,Pahang,total,1395
2021-01-01,Pahang,total,977
2022-01-01,Pahang,total,1392
2023-01-01,Pahang,total,1947
2019-01-01,Perak,total,2046
2020-01-01,Perak,total,1821
2021-01-01,Perak,total,1637
2022-01-01,Perak,total,2376
2023-01-01,Perak,total,2222
2019-01-01,Perlis,total,316
2020-01-01,Perlis,total,281
2021-01-01,Perlis,total,213
2022-01-01,Perlis,total,429
2023-01-01,Perlis,total,459
2019-01-01,Pulau Pinang,total,2893
2020-01-01,Pulau Pinang,total,1727
2021-01-01,Pulau Pinang,total,1358
2022-01-01,Pulau Pinang,total,2247
2023-01-01,Pulau Pinang,total,2089
2019-01-01,Sabah,total,1574
2020-01-01,Sabah,total,834
2021-01-01,Sabah,total,644
2022-01-01,Sabah,total,703
2023-01-01,Sabah,total,623
2019-01-01,Sarawak,total,852
2020-01-01,Sarawak,total,634
2021-01-01,Sarawak,total,712
2022-01-01,Sarawak,total,1215
2023-01-01,Sarawak,total,1485
2019-01-01,Selangor,total,2385
2020-01-01,Selangor,total,1712
2021-01-01,Selangor,total,1963
2022-01-01,Selangor,total,2553
