date,state,total,opiate,methamphetamine (crystalline),methamphetamine (pills),cannabis,amphetamine-type stimulants (ATS),psychotropic pill,others,Unnamed: 10
1/1/2015,Malaysia,27479.0,16616.0,8133.0,,1389.0,1309.0,7.0,25.0,
1/1/2016,Malaysia,31764.0,16985.0,10107.0,,1236.0,3395.0,18.0,23.0,
1/1/2017,Malaysia,26791.0,10154.0,10419.0,4366.0,1066.0,764.0,9.0,13.0,
1/1/2018,Malaysia,26449.0,7746.0,11531.0,4853.0,1122.0,1152.0,26.0,19.0,
1/1/2019,Malaysia,27811.0,7938.0,13768.0,2386.0,755.0,2872.0,14.0,78.0,
1/1/2020,Malaysia,22525.0,4457.0,13317.0,1831.0,474.0,2384.0,14.0,48.0,
1/1/2021,Malaysia,19821.0,2756.0,,,540.0,16415.0,15.0,95.0,
1/1/2022,Malaysia,26248.0,4544.0,,,626.0,21004.0,18.0,56.0,
1/1/2023,Malaysia,26256.0,5635.0,,,895.0,19523.0,78.0,125.0,
1/1/2019,Johor,2926.0,642.0,1622.0,,75.0,575.0,2.0,10.0,
1/1/2020,Johor,3182.0,267.0,2165.0,,60.0,672.0,,18.0,
1/1/2021,Johor,2450.0,88.0,,,70.0,2264.0,1.0,27.0,
1/1/2022,Johor,3313.0,181.0,,,91.0,3037.0,,4.0,
1/1/2023,Johor,3191.0,422.0,,,146.0,2580.0,10.0,33.0,
1/1/2019,Kedah,3665.0,2558.0,892.0,,43.0,170.0,,2.0,
1/1/2020,Kedah,2606.0,1146.0,1183.0,,35.0,236.0,2.0,4.0,
1/1/2021,Kedah,2392.0,857.0,,,34.0,1487.0,1.0,13.0,
1/1/2022,Kedah,3260.0,931.0,,,22.0,2305.0,,2.0,
1/1/2023,Kedah,2975.0,989.0,,,21.0,1958.0,2.0,5.0,
1/1/2019,Kelantan,3220.0,158.0,1349.0,,10.0,1685.0,4.0,14.0,
1/1/2020,Kelantan,2417.0,157.0,816.0,,7.0,1431.0,6.0,,
1/1/2021,Kelantan,2296.0,56.0,,,3.0,2226.0,5.0,6.0,
1/1/2022,Kelantan,2516.0,37.0,,,10.0,2452.0,5.0,12.0,
1/1/2023,Kelantan,2780.0,77.0,,,16.0,2674.0,10.0,3.0,
1/1/2019,Melaka,853.0,380.0,409.0,,20.0,44.0,,,
1/1/2020,Melaka,897.0,197.0,612.0,,21.0,67.0,,,
1/1/2021,Melaka,573.0,105.0,,,22.0,446.0,,,
1/1/2022,Melaka,577.0,149.0,,,32.0,394.0,,2.0,
1/1/2023,Melaka,468.0,153.0,,,16.0,299.0,,,
1/1/2019,Negeri Sembilan,1287.0,277.0,824.0,,72.0,112.0,2.0,,
1/1/2020,Negeri Sembilan,845.0,167.0,602.0,,25.0,51.0,,,
1/1/2021,Negeri Sembilan,729.0,123.0,,,33.0,572.0,1.0,,
1/1/2022,Negeri Sembilan,1033.0,234.0,,,38.0,761.0,,,
1/1/2023,Negeri Sembilan,916.0,214.0,,,68.0,627.0,6.0,1.0,
1/1/2019,Pahang,1722.0,373.0,813.0,,24.0,509.0,3.0,,
1/1/2020,Pahang,1425.0,293.0,847.0,,19.0,263.0,,3.0,
1/1/2021,Pahang,1032.0,120.0,,,16.0,888.0,2.0,6.0,
1/1/2022,Pahang,1424.0,291.0,,,41.0,1089.0,3.0,,
1/1/2023,Pahang,1979.0,508.0,,,74.0,1377.0,14.0,6.0,
1/1/2019,Perak,2141.0,1032.0,848.0,,82.0,158.0,1.0,20.0,
1/1/2020,Perak,1895.0,768.0,955.0,,61.0,106.0,1.0,4.0,
1/1/2021,Perak,1738.0,611.0,,,92.0,1031.0,,4.0,
1/1/2022,Perak,2505.0,1284.0,,,90.0,1129.0,,2.0,
1/1/2023,Perak,2275.0,1356.0,,,80.0,830.0,4.0,5.0,
1/1/2019,Perlis,324.0,110.0,188.0,,2.0,24.0,,,
1/1/2020,Perlis,304.0,19.0,257.0,,1.0,27.0,,,
1/1/2021,Perlis,230.0,17.0,,,,212.0,,1.0,
1/1/2022,Perlis,506.0,50.0,,,,456.0,,,
1/1/2023,Perlis,503.0,55.0,,,10.0,436.0,,2.0,
1/1/2019,Pulau Pinang,2932.0,1215.0,1405.0,,102.0,159.0,1.0,50.0,
1/1/2020,Pulau Pinang,1785.0,660.0,962.0,,66.0,92.0,1.0,4.0,
1/1/2021,Pulau Pinang,1413.0,293.0,,,70.0,1040.0,2.0,8.0,
1/1/2022,Pulau Pinang,2345.0,790.0,,,56.0,1490.0,,9.0,
1/1/2023,Pulau Pinang,2182.0,844.0,,,112.0,1196.0,8.0,22.0,
1/1/2019,Sabah,1767.0,72.0,1360.0,,10.0,322.0,1.0,2.0,
1/1/2020,Sabah,986.0,,761.0,,5.0,216.0,2.0,2.0,
1/1/2021,Sabah,790.0,,,,4.0,783.0,,3.0,
1/1/2022,Sabah,780.0,1.0,,,1.0,776.0,1.0,1.0,
1/1/2023,Sabah,736.0,1.0,,,4.0,724.0,,7.0,
1/1/2019,Sarawak,1031.0,53.0,616.0,,34.0,324.0,,4.0,
1/1/2020,Sarawak,755.0,2.0,526.0,,11.0,213.0,,3.0,
1/1/2021,Sarawak,792.0,1.0,,,10.0,775.0,,6.0,
1/1/2022,Sarawak,1364.0,1.0,,,14.0,1346.0,,3.0,
1/1/2023,Sarawak,1608.0,18.0,,,21.0,1540.0,9.0,20.0,
1/1/2019,Selangor,2449.0,635.0,1378.0,,193.0,242.0,,1.0,
1/1/2020,Selangor,1844.0,355.0,1215.0,,110.0,162.0,,2.0,
