date,state,education,addicts
2020-01-01,Malaysia,total,20643
2021-01-01,Malaysia,total,18205
2023-01-01,Malaysia,total,24921
2020-01-01,Malaysia,total,20643
2019-01-01,Malaysia,total,26080
2018-01-01,Malaysia,total,25267
2017-01-01,Malaysia,total,25922
2016-01-01,Malaysia,total,30844
2021-01-01,Johor,total,2081
2022-01-01,Johor,total,2674
2023-01-01,Johor,total,2847
2019-01-01,Johor,total,2371
2020-01-01,Johor,total,2564
2019-01-01,Kedah,total,3582
2020-01-01,Kedah,total,2372
2021-01-01,Kedah,total,2196
2022-01-01,Kedah,total,2724
2023-01-01,Kedah,total,2678
2021-01-01,Kelantan,total,2167
2022-01-01,Kelantan,total,2339
2023-01-01,Kelantan,total,2589
2019-01-01,Kelantan,total,2998
2020-01-01,Kelantan,total,2271
2021-01-01,Melaka,total,539
2022-01-01,Melaka,total,555
2023-01-01,Melaka,total,467
2019-01-01,Melaka,total,819
2020-01-01,Melaka,total,829
2021-01-01,Negeri Sembilan,total,709
2022-01-01,Negeri Sembilan,total,969
2023-01-01,Negeri Sembilan,total,866
2019-01-01,Negeri Sembilan,total,1244
2020-01-01,Negeri Sembilan,total,812
2021-01-01,Pahang,total,977
2022-01-01,Pahang,total,1392
2023-01-01,Pahang,total,1947
2019-01-01,Pahang,total,1672
2020-01-01,Pahang,total,1395
2021-01-01,Perak,total,1637
2022-01-01,Perak,total,2376
2023-01-01,Perak,total,2222
2019-01-01,Perak,total,2046
2020-01-01,Perak,total,1821
2021-01-01,Perlis,total,213
2022-01-01,Perlis,total,429
2023-01-01,Perlis,total,459
2019-01-01,Perlis,total,316
2020-01-01,Perlis,total,281
2021-01-01,Pulau Pinang,total,1358
2022-01-01,Pulau Pinang,total,2247
2023-01-01,Pulau Pinang,total,2089
2019-01-01,Pulau Pinang,total,2893
2020-01-01,Pulau Pinang,total,1727
2021-01-01,Sabah,total,644
2022-01-01,Sabah,total,703
2023-01-01,Sabah,total,623
2019-01-01,Sabah,total,1574
2020-01-01,Sabah,total,834
2021-01-01,Sarawak,total,712
2022-01-01,Sarawak,total,1215
2023-01-01,Sarawak,total,1485
2019-01-01,Sarawak,total,852
2020-01-01,Sarawak,total,634
2021-01-01,Selangor,total,1963
2022-01-01,Selangor,total,2553
2023-01-01,Selangor,total,2498
2019-01-01,Selangor,total,2385
2020-01-01,Selangor,total,1712
2021-01-01,Terengganu,total,2033
2022-01-01,Terengganu,total,2237
2023-01-01,Terengganu,total,2256
2019-01-01,Terengganu,total,2123
2020-01-01,Terengganu,total,2240
2021-01-01,W.P. Kuala Lumpur,total,857
2022-01-01,W.P. Kuala Lumpur,total,980
2023-01-01,W.P. Kuala Lumpur,total,1074
2019-01-01,W.P. Kuala Lumpur,total,1023
2020-01-01,W.P. Kuala Lumpur,total,1024
2021-01-01,W.P. Labuan,total,48
2022-01-01,W.P. Labuan,total,78
2023-01-01,W.P. Labuan,total,52
2019-01-01,W.P. Labuan,total,139
2020-01-01,W.P. Labuan,total,90
2021-01-01,W.P. Putrajaya,total,71
2022-01-01,W.P. Putrajaya,total,46
2023-01-01,W.P. Putrajaya,total,34
2019-01-01,W.P. Putrajaya,total,43
2020-01-01,W.P. Putrajaya,total,37
2020-01-01,Malaysia,none,2314
