arrest_types,date,sex,ethnicity,drug_arrests
overall,2019-01-01,both,overall,175038
overall,2019-01-01,male,overall,164698
overall,2019-01-01,female,overall,10340
supply,2019-01-01,both,overall,26803
supply,2019-01-01,male,overall,24650
supply,2019-01-01,female,overall,2153
posses,2019-01-01,both,overall,66378
posses,2019-01-01,male,overall,62665
posses,2019-01-01,female,overall,3713
urine_positive,2019-01-01,both,overall,81857
urine_positive,2019-01-01,male,overall,77383
urine_positive,2019-01-01,female,overall,4474
overall,2020-01-01,both,overall,146045
overall,2020-01-01,male,overall,137052
overall,2020-01-01,female,overall,8993
supply,2020-01-01,both,overall,23536
supply,2020-01-01,male,overall,21569
supply,2020-01-01,female,overall,1967
posses,2020-01-01,both,overall,56271
posses,2020-01-01,male,overall,53013
posses,2020-01-01,female,overall,3258
urine_positive,2020-01-01,both,overall,66238
urine_positive,2020-01-01,male,overall,62470
urine_positive,2020-01-01,female,overall,3768
overall,2021-01-01,both,overall,129604
overall,2021-01-01,male,overall,122355
overall,2021-01-01,female,overall,7249
supply,2021-01-01,both,overall,25277
supply,2021-01-01,male,overall,23428
supply,2021-01-01,female,overall,1849
posses,2021-01-01,both,overall,51637
posses,2021-01-01,male,overall,48898
posses,2021-01-01,female,overall,2739
urine_positive,2021-01-01,both,overall,52690
urine_positive,2021-01-01,male,overall,50029
urine_positive,2021-01-01,female,overall,2661
overall,2022-01-01,both,overall,163697
overall,2022-01-01,male,overall,155797
overall,2022-01-01,female,overall,7900
supply,2022-01-01,both,overall,27283
supply,2022-01-01,male,overall,25473
supply,2022-01-01,female,overall,1810
posses,2022-01-01,both,overall,67273
posses,2022-01-01,male,overall,64287
posses,2022-01-01,female,overall,2986
urine_positive,2022-01-01,both,overall,69141
urine_positive,2022-01-01,male,overall,66037
urine_positive,2022-01-01,female,overall,3104
overall,2023-01-01,both,overall,179799
overall,2023-01-01,male,overall,170534
overall,2023-01-01,female,overall,9265
supply,2023-01-01,both,overall,26814
supply,2023-01-01,male,overall,25056
