date,conventional,shariah
1952-01-01,2.5,
1953-01-01,2.5,
1954-01-01,2.5,
1955-01-01,2.5,
1956-01-01,2.5,
1957-01-01,2.5,
1958-01-01,2.5,
1959-01-01,2.5,
1960-01-01,4.0,
1961-01-01,4.0,
1962-01-01,4.0,
1963-01-01,5.0,
1964-01-01,5.25,
1965-01-01,5.5,
1966-01-01,5.5,
1967-01-01,5.5,
1968-01-01,5.75,
1969-01-01,5.75,
1970-01-01,5.75,
1971-01-01,5.8,
1972-01-01,5.85,
1973-01-01,5.85,
1974-01-01,6.6,
1975-01-01,6.6,
1976-01-01,7.0,
1977-01-01,7.0,
1978-01-01,7.0,
1979-01-01,7.25,
1980-01-01,8.0,
1981-01-01,8.0,
1982-01-01,8.0,
1983-01-01,8.5,
1984-01-01,8.5,
1985-01-01,8.5,
1986-01-01,8.5,
1987-01-01,8.5,
1988-01-01,8.0,
1989-01-01,8.0,
1990-01-01,8.0,
1991-01-01,8.0,
1992-01-01,8.0,
1993-01-01,8.0,
1994-01-01,8.0,
1995-01-01,7.5,
1996-01-01,7.7,
1997-01-01,6.7,
1998-01-01,6.7,
1999-01-01,6.84,
2000-01-01,6.0,
2001-01-01,5.0,
2002-01-01,4.25,
2003-01-01,4.5,
2004-01-01,4.75,
2005-01-01,5.0,
2006-01-01,5.15,
2007-01-01,5.8,
2008-01-01,4.5,
2009-01-01,5.65,
2010-01-01,5.8,
2011-01-01,6.0,
2012-01-01,6.15,
2013-01-01,6.35,
2014-01-01,6.75,
2015-01-01,6.4,
2016-01-01,5.7,
2017-01-01,6.9,6.4
2018-01-01,6.15,5.9
2019-01-01,5.45,5.0
2020-01-01,5.2,4.9
2021-01-01,6.1,5.65
2022-01-01,5.35,4.75
2023-01-01,5.5,5.4
2024-01-01,6.3,6.3
2025-01-01,6.15,6.15
