date,rate_type,USD,EUR,JPY,GBP,SGD,AUD,CAD,CNY,CHF,THB,IDR,VND,KHR,MMK,PHP,BND,KRW,HKD,TWD,INR,PKR,NPR,SAR,AED,EGP,NZD,XDR
2003-05-02,buying,3.8,4.2662,0.032016,6.1162,2.1473,,,,2.8233,,,,,,,,,0.487234,,,,,,,,,
2003-05-02,middle,3.8,4.2662,0.032023,6.1162,2.1478,,,,2.8241,,,,,,,,,0.487234,,,,,,,,,
2003-05-02,selling,3.8,4.268,0.03203,6.1162,2.1482,,,,2.8241,,,,,,,,,0.487234,,,,,,,,,
2003-05-05,buying,3.8,4.2626,0.031943,6.0938,2.1505,,,,2.8241,,,,,,,,,0.487234,,,,,,,,,
2003-05-05,middle,3.8,4.2626,0.031945,6.0938,2.151,,,,2.8241,,,,,,,,,0.487234,,,,,,,,,
2003-05-05,selling,3.8,4.2644,0.031946,6.0976,2.151,,,,2.8249,,,,,,,,,0.487234,,,,,,,,,
2003-05-06,buying,3.8,4.2863,0.032046,6.105,2.1668,,,,2.8297,,,,,,,,,0.487234,,,,,,,,,
2003-05-06,middle,3.8,4.2863,0.032053,6.105,2.1668,,,,2.8297,,,,,,,,,0.487234,,,,,,,,,
2003-05-06,selling,3.8,4.2882,0.032059,6.105,2.1673,,,,2.8305,,,,,,,,,0.487234,,,,,,,,,
2003-05-07,buying,3.8,4.3365,0.032294,6.1312,2.1858,,,,2.8645,,,,,,,,,0.487234,,,,,,,,,
2003-05-07,middle,3.8,4.3365,0.032301,6.1312,2.1863,,,,2.8653,,,,,,,,,0.487234,,,,,,,,,
2003-05-07,selling,3.8,4.3384,0.032307,6.1312,2.1867,,,,2.8662,,,,,,,,,0.487234,,,,,,,,,
2003-05-08,buying,3.8,4.3141,0.032584,6.0643,2.1867,,,,2.8703,,,,,,,,,0.487234,,,,,,,,,
2003-05-08,middle,3.8,4.3141,0.032591,6.068,2.1872,,,,2.8711,,,,,,,,,0.487234,,,,,,,,,
2003-05-08,selling,3.8,4.3159,0.032598,6.068,2.1877,,,,2.8719,,,,,,,,,0.487258,,,,,,,,,
2003-05-09,buying,3.8,4.3764,0.032409,6.0976,2.181,,,,2.8994,,,,,,,,,0.487211,,,,,,,,,
2003-05-09,middle,3.8,4.3783,0.032416,6.0976,2.1815,,,,2.9002,,,,,,,,,0.487234,,,,,,,,,
2003-05-09,selling,3.8,4.3783,0.032423,6.0976,2.182,,,,2.9002,,,,,,,,,0.487282,,,,,,,,,
2003-05-12,buying,3.8,4.3917,0.032479,6.0938,2.1896,,,,2.907,,,,,,,,,0.487234,,,,,,,,,
2003-05-12,middle,3.8,4.3917,0.032486,6.0976,2.1901,,,,2.9078,,,,,,,,,0.487234,,,,,,,,,
2003-05-12,selling,3.8,4.3937,0.032493,6.0976,2.1906,,,,2.9078,,,,,,,,,0.487234,,,,,,,,,
2003-05-13,buying,3.8,4.3611,0.032351,6.105,2.1891,,,,2.8827,,,,,,,,,0.487258,,,,,,,,,
2003-05-13,middle,3.8,4.363,0.032358,6.1087,2.1896,,,,2.8835,,,,,,,,,0.487258,,,,,,,,,
2003-05-13,selling,3.8,4.363,0.032365,6.1087,2.1906,,,,2.8843,,,,,,,,,0.487258,,,,,,,,,
2003-05-16,buying,3.8,4.329,0.032626,6.1614,2.2109,,,,2.8736,,,,,,,,,0.487211,,,,,,,,,
2003-05-16,middle,3.8,4.3309,0.032633,6.1614,2.2109,,,,2.8736,,,,,,,,,0.487234,,,,,,,,,
2003-05-16,selling,3.8,4.3309,0.03264,6.1614,2.2114,,,,2.8744,,,,,,,,,0.487282,,,,,,,,,
2003-05-19,buying,3.8,4.4405,0.032866,6.192,2.2095,,,,2.9317,,,,,,,,,0.487211,,,,,,,,,
2003-05-19,middle,3.8,4.4405,0.032873,6.192,2.2099,,,,2.9326,,,,,,,,,0.487234,,,,,,,,,
2003-05-19,selling,3.8,4.4425,0.03288,6.192,2.2104,,,,2.9343,,,,,,,,,0.487234,,,,,,,,,
2003-05-20,buying,3.8,4.4228,0.032454,6.1996,2.2002,,,,2.9265,,,,,,,,,0.487234,,,,,,,,,
2003-05-20,middle,3.8,4.4248,0.032461,6.1996,2.2012,,,,2.9274,,,,,,,,,0.487258,,,,,,,,,
2003-05-20,selling,3.8,4.4248,0.032468,6.2035,2.2017,,,,2.9291,,,,,,,,,0.487258,,,,,,,,,
2003-05-21,buying,3.8,4.4524,0.032571,6.2344,2.2041,,,,2.9455,,,,,,,,,0.487234,,,,,,,,,
2003-05-21,middle,3.8,4.4543,0.032577,6.2344,2.2046,,,,2.9464,,,,,,,,,0.487234,,,,,,,,,
2003-05-21,selling,3.8,4.4543,0.032584,6.2383,2.2056,,,,2.9472,,,,,,,,,0.487234,,,,,,,,,
2003-05-22,buying,3.8,4.4228,0.032335,6.215,2.1988,,,,2.9265,,,,,,,,,0.487234,,,,,,,,,
2003-05-22,middle,3.8,4.4248,0.032342,6.215,2.1988,,,,2.9274,,,,,,,,,0.487234,,,,,,,,,
2003-05-22,selling,3.8,4.4248,0.032349,6.215,2.1993,,,,2.9274,,,,,,,,,0.487258,,,,,,,,,
2003-05-23,buying,3.8,4.4346,0.032373,6.1996,2.208,,,,2.9265,,,,,,,,,0.487234,,,,,,,,,
2003-05-23,middle,3.8,4.4346,0.03238,6.2035,2.2085,,,,2.9274,,,,,,,,,0.487258,,,,,,,,,
2003-05-23,selling,3.8,4.4366,0.032387,6.2035,2.2085,,,,2.9274,,,,,,,,,0.487258,,,,,,,,,
2003-05-26,buying,3.8,4.4883,0.032506,6.2267,2.2114,,,,2.942,,,,,,,,,0.487234,,,,,,,,,
2003-05-26,middle,3.8,4.4883,0.032513,6.2267,2.2119,,,,2.9429,,,,,,,,,0.487258,,,,,,,,,
2003-05-26,selling,3.8,4.4903,0.03252,6.2267,2.2129,,,,2.9438,,,,,,,,,0.487258,,,,,,,,,
2003-05-27,buying,3.8,4.5188,0.032576,6.2383,2.2104,,,,2.9603,,,,,,,,,0.487234,,,,,,,,,
2003-05-27,middle,3.8,4.5208,0.032583,6.2383,2.2114,,,,2.9603,,,,,,,,,0.487258,,,,,,,,,
2003-05-27,selling,3.8,4.5208,0.03259,6.2383,2.2119,,,,2.9612,,,,,,,,,0.487282,,,,,,,,,
2003-05-28,buying,3.8,4.4903,0.032407,6.2267,2.1997,,,,2.9499,,,,,,,,,0.487258,,,,,,,,,
2003-05-28,middle,3.8,4.4903,0.032414,6.2267,2.2002,,,,2.9507,,,,,,,,,0.487258,,,,,,,,,
2003-05-28,selling,3.8,4.4924,0.03242,6.2267,2.2012,,,,2.9516,,,,,,,,,0.487282,,,,,,,,,
2003-05-29,buying,3.8,4.4703,0.032057,6.2228,2.1901,,,,2.9317,,,,,,,,,0.487258,,,,,,,,,
2003-05-29,middle,3.8,4.4703,0.032063,6.2228,2.1911,,,,2.9326,,,,,,,,,0.487282,,,,,,,,,
2003-05-29,selling,3.8,4.4723,0.03207,6.2228,2.1915,,,,2.9326,,,,,,,,,0.487282,,,,,,,,,
2003-05-30,buying,3.8,4.5167,0.032122,6.2814,2.1988,,,,2.9568,,,,,,,,,0.487258,,,,,,,,,
2003-05-30,middle,3.8,4.5188,0.032129,6.2814,2.1993,,,,2.9577,,,,,,,,,0.487282,,,,,,,,,
2003-05-30,selling,3.8,4.5188,0.032135,6.2814,2.1997,,,,2.9577,,,,,,,,,0.487282,,,,,,,,,
2003-06-02,buying,3.8,4.4504,0.031855,6.1881,2.1915,,,,2.9104,,,,,,,,,0.487234,,,,,,,,,
2003-06-02,middle,3.8,4.4504,0.031866,6.1881,2.1925,,,,2.9121,,,,,,,,,0.487282,,,,,,,,,
2003-06-02,selling,3.8,4.4504,0.031876,6.192,2.193,,,,2.9129,,,,,,,,,0.487306,,,,,,,,,
2003-06-03,buying,3.8,4.4623,0.032068,6.2189,2.1993,,,,2.9189,,,,,,,,,0.487234,,,,,,,,,
2003-06-03,middle,3.8,4.4643,0.032074,6.2189,2.1997,,,,2.9189,,,,,,,,,0.487258,,,,,,,,,
2003-06-03,selling,3.8,4.4643,0.032081,6.2189,2.2002,,,,2.9197,,,,,,,,,0.487258,,,,,,,,,
2003-06-04,buying,3.8,4.4543,0.031842,6.192,2.2002,,,,2.896,,,,,,,,,0.487258,,,,,,,,,
2003-06-04,middle,3.8,4.4543,0.031848,6.192,2.2007,,,,2.896,,,,,,,,,0.487258,,,,,,,,,
2003-06-04,selling,3.8,4.4563,0.031855,6.192,2.2012,,,,2.8969,,,,,,,,,0.487282,,,,,,,,,
2003-06-05,buying,3.8,4.4209,0.032046,6.192,2.2022,,,,2.8827,,,,,,,,,0.487258,,,,,,,,,
2003-06-05,middle,3.8,4.4228,0.032053,6.192,2.2031,,,,2.8835,,,,,,,,,0.487258,,,,,,,,,
