date,rate_type,USD,EUR,JPY,GBP,SGD,AUD,CAD
2003-05-02,buying,3.77,,0.03136,6.0132,2.1213,,
2003-05-02,selling,3.83,,0.03203,6.1087,2.1589,,
2003-05-05,buying,3.77,,0.03158,6.0459,2.1317,,
2003-05-05,selling,3.83,,0.03225,6.1425,2.1645,,
2003-05-06,buying,3.77,,0.03173,6.0569,2.1478,,
2003-05-06,selling,3.83,,0.03238,6.1538,2.1782,,
2003-05-08,buying,3.77,,0.03226,6.0386,2.1664,,
2003-05-08,selling,3.83,,0.03238,6.1125,2.1906,,
2003-05-09,buying,3.77,,0.03209,6.0496,2.1594,,
2003-05-09,selling,3.83,,0.03238,6.1425,2.1906,,
2003-05-12,buying,3.77,,0.03213,6.0496,2.1706,,
2003-05-12,selling,3.83,,0.03238,6.1425,2.1906,,
2003-05-13,buying,3.77,,0.03208,6.0569,2.1692,,
2003-05-13,selling,3.83,,0.03238,6.1538,2.1906,,
2003-05-16,buying,3.77,,0.03227,6.1162,2.1891,,
2003-05-16,selling,3.83,,0.03238,6.1576,2.1906,,
2003-05-19,buying,3.77,,0.0325,6.1425,2.1887,,
2003-05-19,selling,3.83,,0.03319,6.2344,2.2124,,
2003-05-20,buying,3.77,,0.0321,6.1538,2.1796,,
2003-05-20,selling,3.83,,0.03279,6.2461,2.2124,,
2003-05-21,buying,3.77,,0.03221,6.1881,2.1834,,
2003-05-21,selling,3.83,,0.0329,6.2854,2.2124,,
2003-05-22,buying,3.77,,0.03201,6.169,2.1791,,
2003-05-22,selling,3.83,,0.03267,6.2617,2.2124,,
2003-05-23,buying,3.77,,0.03205,6.1538,2.1877,,
2003-05-23,selling,3.83,,0.03271,6.25,2.2124,,
2003-05-26,buying,3.77,,0.03215,6.1767,2.1915,,
2003-05-26,selling,3.83,,0.03283,6.2657,2.2124,,
2003-05-27,buying,3.77,,0.03221,6.192,2.1906,,
2003-05-27,selling,3.83,,0.03284,6.2814,2.2124,,
2003-05-28,buying,3.77,,0.03205,6.1805,2.1805,,
2003-05-28,selling,3.83,,0.03271,6.2735,2.2124,,
2003-05-29,buying,3.77,,0.03169,6.1728,2.1706,,
2003-05-29,selling,3.83,,0.03236,6.2696,2.208,,
2003-05-30,buying,3.77,,0.03179,6.2344,2.1777,,
2003-05-30,selling,3.83,,0.03243,6.3291,2.2124,,
2003-06-02,buying,3.77,,0.03154,6.1425,2.172,,
2003-06-02,selling,3.83,,0.03216,6.2267,2.208,,
2003-06-03,buying,3.77,,0.0317,6.1728,2.181,,
2003-06-03,selling,3.83,,0.03237,6.25,2.2124,,
2003-06-04,buying,3.77,,0.0315,6.1463,2.1796,,
