date,category,allocation
2015-01-01,total,40848327200
2015-01-01,de,1636895200
2015-01-01,oe,39211432000
2015-01-01,oe_10000,29622683600
2015-01-01,oe_20000,4909727200
2015-01-01,oe_30000,542993200
2015-01-01,oe_40000,4136027100
2015-01-01,oe_50000,900
2016-01-01,total,41359702800
2016-01-01,de,2043831800
2016-01-01,oe,39315871000
2016-01-01,oe_10000,31499701400
2016-01-01,oe_20000,4439256000
2016-01-01,oe_30000,127662900
2016-01-01,oe_40000,3249250700
2016-01-01,oe_50000,0
2017-01-01,total,43988468100
2017-01-01,de,1096528100
2017-01-01,oe,42891940000
2017-01-01,oe_10000,35906553000
2017-01-01,oe_20000,3593451300
2017-01-01,oe_30000,137862900
2017-01-01,oe_40000,3254072800
2017-01-01,oe_50000,0
2018-01-01,total,45962406300
2018-01-01,de,1448534400
2018-01-01,oe,44513871900
2018-01-01,oe_10000,36616817700
2018-01-01,oe_20000,3943883400
2018-01-01,oe_30000,157083900
2018-01-01,oe_40000,3796086900
2018-01-01,oe_50000,0
2019-01-01,total,60238608800
2019-01-01,de,5110140500
2019-01-01,oe,55128468300
2019-01-01,oe_10000,39033120400
2019-01-01,oe_20000,3714775700
2019-01-01,oe_30000,103230000
2019-01-01,oe_40000,12275711300
2019-01-01,oe_50000,1630900
2020-01-01,total,64122868300
2020-01-01,de,4858056800
2020-01-01,oe,59264811500
2020-01-01,oe_10000,39301499200
2020-01-01,oe_20000,6163576600
2020-01-01,oe_30000,126000200
2020-01-01,oe_40000,13670609600
2020-01-01,oe_50000,3125900
2021-01-01,total,50358492600
2021-01-01,de,3087552900
2021-01-01,oe,47270939700
2021-01-01,oe_10000,38935705000
2021-01-01,oe_20000,4010442400
2021-01-01,oe_30000,110000000
2021-01-01,oe_40000,4214766300
2021-01-01,oe_50000,26000
2022-01-01,total,52625062300
2022-01-01,de,5034128600
2022-01-01,oe,47590933700
2022-01-01,oe_10000,40347107400
2022-01-01,oe_20000,3398584800
2022-01-01,oe_30000,0
2022-01-01,oe_40000,3845215500
2022-01-01,oe_50000,26000
2023-01-01,total,55190794700
2023-01-01,de,5690794700
2023-01-01,oe,49500000000
2023-01-01,oe_10000,41751612100
2023-01-01,oe_20000,3310133300
2023-01-01,oe_30000,0
2023-01-01,oe_40000,4438214600
2023-01-01,oe_50000,40000
2024-01-01,total,58726459600
2024-01-01,de,5935634700
2024-01-01,oe,52790824900
2024-01-01,oe_10000,43511354400
2024-01-01,oe_20000,3860226700
2024-01-01,oe_30000,0
2024-01-01,oe_40000,5419203800
2024-01-01,oe_50000,40000
