date,category,allocation
2015-01-01,total,23311912500
2015-01-01,de,1597702500
2015-01-01,oe,21714210000
2015-01-01,oe_10000,11761622400
2015-01-01,oe_20000,9489699100
2015-01-01,oe_30000,59766400
2015-01-01,oe_40000,403037100
2015-01-01,oe_50000,85000
2016-01-01,total,23031066400
2016-01-01,de,1600264400
2016-01-01,oe,21430802000
2016-01-01,oe_10000,13439325900
2016-01-01,oe_20000,7618084100
2016-01-01,oe_30000,1877400
2016-01-01,oe_40000,371429600
2016-01-01,oe_50000,85000
2017-01-01,total,24800986200
2017-01-01,de,1338188800
2017-01-01,oe,23462797400
2017-01-01,oe_10000,14794434700
2017-01-01,oe_20000,8577660400
2017-01-01,oe_30000,100
2017-01-01,oe_40000,90618100
2017-01-01,oe_50000,84100
2018-01-01,total,26581938800
2018-01-01,de,1845055100
2018-01-01,oe,24736883700
2018-01-01,oe_10000,15068204600
2018-01-01,oe_20000,9271174900
2018-01-01,oe_30000,100
2018-01-01,oe_40000,397420000
2018-01-01,oe_50000,84100
2019-01-01,total,28678743500
2019-01-01,de,2180426200
2019-01-01,oe,26498317300
2019-01-01,oe_10000,15970724700
2019-01-01,oe_20000,10026455900
2019-01-01,oe_30000,61400000
2019-01-01,oe_40000,439652600
2019-01-01,oe_50000,84100
2020-01-01,total,30602080900
2020-01-01,de,2660550000
2020-01-01,oe,27941530900
2020-01-01,oe_10000,16483972900
2020-01-01,oe_20000,10869421300
2020-01-01,oe_30000,76400000
2020-01-01,oe_40000,511652600
2020-01-01,oe_50000,84100
2021-01-01,total,31941504300
2021-01-01,de,4717819000
2021-01-01,oe,27223685300
2021-01-01,oe_10000,17084675100
2021-01-01,oe_20000,9583374400
2021-01-01,oe_30000,74097200
2021-01-01,oe_40000,481488600
2021-01-01,oe_50000,50000
2022-01-01,total,32409629800
2022-01-01,de,4379629800
2022-01-01,oe,28030000000
2022-01-01,oe_10000,17411744800
2022-01-01,oe_20000,10040744600
2022-01-01,oe_30000,110622000
2022-01-01,oe_40000,466488600
2022-01-01,oe_50000,400000
2023-01-01,total,36327355900
2023-01-01,de,4827355900
2023-01-01,oe,31500000000
2023-01-01,oe_10000,19725512300
2023-01-01,oe_20000,11193269700
2023-01-01,oe_30000,112972400
2023-01-01,oe_40000,468161600
2023-01-01,oe_50000,84000
2024-01-01,total,41217816500
2024-01-01,de,6067634700
2024-01-01,oe,35150181800
2024-01-01,oe_10000,21753736300
2024-01-01,oe_20000,12565757600
2024-01-01,oe_30000,121750000
2024-01-01,oe_40000,708853900
2024-01-01,oe_50000,84000
