date,category,function,value
1996-01-01,total,total,1452
1996-04-01,total,total,1978
1996-07-01,total,total,4579
1996-10-01,total,total,6619
1997-01-01,total,total,1674
1997-04-01,total,total,3519
1997-07-01,total,total,3272
1997-10-01,total,total,7285
1998-01-01,total,total,1317
1998-04-01,total,total,2655
1998-07-01,total,total,3735
1998-10-01,total,total,10396
1999-01-01,total,total,933
1999-04-01,total,total,5515
1999-07-01,total,total,7617
1999-10-01,total,total,8549
2000-01-01,total,total,2542
2000-04-01,total,total,5668
2000-07-01,total,total,6637
2000-10-01,total,total,13094
2001-01-01,total,total,5342
2001-04-01,total,total,5661
2001-07-01,total,total,7330
2001-10-01,total,total,16902
2002-01-01,total,total,3892
2002-04-01,total,total,8064
2002-07-01,total,total,8859
2002-10-01,total,total,15162
2003-01-01,total,total,7840
2003-04-01,total,total,9086
2003-07-01,total,total,8103
2003-10-01,total,total,14323
2004-01-01,total,total,4862
2004-04-01,total,total,7279
2004-07-01,total,total,6241
2004-10-01,total,total,10481
2005-01-01,total,total,2778
2005-04-01,total,total,5947
2005-07-01,total,total,4356
2005-10-01,total,total,17454
2006-01-01,total,total,2139
2006-04-01,total,total,5222
2006-07-01,total,total,9065
2006-10-01,total,total,19381
2007-01-01,total,total,5314
2007-04-01,total,total,6244
2007-07-01,total,total,10785
2007-10-01,total,total,18221
2008-01-01,total,total,5300
2008-04-01,total,total,8977
2008-07-01,total,total,12528
2008-10-01,total,total,16042
2009-01-01,total,total,8239
2009-04-01,total,total,12108
2009-07-01,total,total,11598
2009-10-01,total,total,17571
2010-01-01,total,total,7303
2010-04-01,total,total,12123
2010-07-01,total,total,12529
2010-10-01,total,total,20838
2011-01-01,total,total,6429
2011-04-01,total,total,8334
2011-07-01,total,total,12564
2011-10-01,total,total,19089
2012-01-01,total,total,8508
2012-04-01,total,total,10337
2012-07-01,total,total,10931
2012-10-01,total,total,17156
2013-01-01,total,total,9512
2013-04-01,total,total,6878
2013-07-01,total,total,9177
2013-10-01,total,total,16642
2014-01-01,total,total,7117
2014-04-01,total,total,7201
2014-07-01,total,total,8229
2014-10-01,total,total,16957
2015-01-01,total,total,8000
2015-04-01,total,total,7330
2015-07-01,total,total,8835
2015-10-01,total,total,16602
2016-01-01,total,total,9455
2016-04-01,total,total,10623
2016-07-01,total,total,7491
2016-10-01,total,total,14426
2017-01-01,total,total,9450
2017-04-01,total,total,10770
2017-07-01,total,total,9421
2017-10-01,total,total,15243
2018-01-01,total,total,10918
2018-04-01,total,total,9172
2018-07-01,total,total,7634
2018-10-01,total,total,28377
2019-01-01,total,total,11524
2019-04-01,total,total,12239
2019-07-01,total,total,10291
2019-10-01,total,total,20119
2020-01-01,total,total,11543
2020-04-01,total,total,7059
2020-07-01,total,total,12280
2020-10-01,total,total,20478
2021-01-01,total,total,15569
2021-04-01,total,total,12804
2021-07-01,total,total,22221
2021-10-01,total,total,13662
2022-01-01,total,total,16781
2022-04-01,total,total,13707
2022-07-01,total,total,15839
2022-10-01,total,total,25247
2023-01-01,total,total,26642
2023-04-01,total,total,18111
2023-07-01,total,total,19836
2023-10-01,total,total,31503
2024-01-01,total,total,18875
1996-01-01,defence,total,297
1996-04-01,defence,total,254
1996-07-01,defence,total,727
1996-10-01,defence,total,1160
1997-01-01,defence,total,209
1997-04-01,defence,total,771
1997-07-01,defence,total,435
1997-10-01,defence,total,899
1998-01-01,defence,total,268
1998-04-01,defence,total,211
1998-07-01,defence,total,406
1998-10-01,defence,total,495
1999-01-01,defence,total,158
1999-04-01,defence,total,531
1999-07-01,defence,total,1627
1999-10-01,defence,total,806
2000-01-01,defence,total,41
2000-04-01,defence,total,401
2000-07-01,defence,total,269
2000-10-01,defence,total,1621
2001-01-01,defence,total,90
2001-04-01,defence,total,384
2001-07-01,defence,total,571
2001-10-01,defence,total,2243
2002-01-01,defence,total,289
2002-04-01,defence,total,609
2002-07-01,defence,total,1586
2002-10-01,defence,total,1850
2003-01-01,defence,total,919
2003-04-01,defence,total,1274
2003-07-01,defence,total,1470
2003-10-01,defence,total,2365
2004-01-01,defence,total,775
2004-04-01,defence,total,1533
2004-07-01,defence,total,792
2004-10-01,defence,total,1034
2005-01-01,defence,total,212
2005-04-01,defence,total,1046
2005-07-01,defence,total,380
2005-10-01,defence,total,3164
2006-01-01,defence,total,359
2006-04-01,defence,total,496
2006-07-01,defence,total,1067
2006-10-01,defence,total,2882
2007-01-01,defence,total,564
2007-04-01,defence,total,903
2007-07-01,defence,total,1733
2007-10-01,defence,total,2502
2008-01-01,defence,total,756
2008-04-01,defence,total,1270
2008-07-01,defence,total,1409
