date,object,value
1999-01-01,total,9198
1999-04-01,total,10058
1999-07-01,total,12158
1999-10-01,total,15285
2000-01-01,total,7805
2000-04-01,total,12760
2000-07-01,total,14662
2000-10-01,total,21320
2001-01-01,total,11303
2001-04-01,total,13368
2001-07-01,total,14326
2001-10-01,total,24760
2002-01-01,total,14713
2002-04-01,total,15630
2002-07-01,total,15817
2002-10-01,total,22539
2003-01-01,total,12752
2003-04-01,total,22228
2003-07-01,total,17808
2003-10-01,total,22436
2004-01-01,total,16152
2004-04-01,total,19705
2004-07-01,total,19934
2004-10-01,total,35507
2005-01-01,total,15909
2005-04-01,total,23397
2005-07-01,total,22987
2005-10-01,total,35451
2006-01-01,total,17328
2006-04-01,total,21603
2006-07-01,total,28773
2006-10-01,total,39989
2007-01-01,total,21692
2007-04-01,total,24784
2007-07-01,total,33693
2007-10-01,total,42915
2008-01-01,total,30425
2008-04-01,total,32863
2008-07-01,total,41356
2008-10-01,total,48855
2009-01-01,total,34352
2009-04-01,total,39363
2009-07-01,total,37130
2009-10-01,total,46222
2010-01-01,total,31900
2010-04-01,total,37063
2010-07-01,total,38572
2010-10-01,total,44097
2011-01-01,total,38653
2011-04-01,total,40590
2011-07-01,total,48832
2011-10-01,total,54520
2012-01-01,total,45599
2012-04-01,total,48234
2012-07-01,total,50062
2012-10-01,total,61641
2013-01-01,total,49892
2013-04-01,total,49183
2013-07-01,total,53403
2013-10-01,total,58792
2014-01-01,total,55198
2014-04-01,total,51725
2014-07-01,total,52932
2014-10-01,total,59734
2015-01-01,total,55421
2015-04-01,total,51830
2015-07-01,total,52285
2015-10-01,total,57461
2016-01-01,total,57377
2016-04-01,total,52077
2016-07-01,total,50714
2016-10-01,total,50005
2017-01-01,total,57558
2017-04-01,total,53535
2017-07-01,total,48254
2017-10-01,total,58347
2018-01-01,total,54906
2018-04-01,total,62903
2018-07-01,total,55051
2018-10-01,total,58100
2019-01-01,total,59454
2019-04-01,total,65316
2019-07-01,total,68801
2019-10-01,total,69772
2020-01-01,total,62071
2020-04-01,total,51938
2020-07-01,total,56850
2020-10-01,total,53742
2021-01-01,total,62200
2021-04-01,total,55167
2021-07-01,total,50667
2021-10-01,total,63481
2022-01-01,total,64583
2022-04-01,total,65229
2022-07-01,total,69176
2022-10-01,total,93706
2023-01-01,total,66611
2023-04-01,total,77210
2023-07-01,total,69720
2023-10-01,total,97725
2024-01-01,total,77661
1999-01-01,emoluments,3223
1999-04-01,emoluments,3326
1999-07-01,emoluments,3653
1999-10-01,emoluments,4234
2000-01-01,emoluments,3502
2000-04-01,emoluments,3893
2000-07-01,emoluments,4209
2000-10-01,emoluments,4753
2001-01-01,emoluments,3886
2001-04-01,emoluments,4021
2001-07-01,emoluments,4219
2001-10-01,emoluments,5317
2002-01-01,emoluments,4416
2002-04-01,emoluments,4610
2002-07-01,emoluments,4765
2002-10-01,emoluments,6451
2003-01-01,emoluments,4722
2003-04-01,emoluments,5671
2003-07-01,emoluments,5175
2003-10-01,emoluments,6153
2004-01-01,emoluments,5183
2004-04-01,emoluments,5519
2004-07-01,emoluments,5643
2004-10-01,emoluments,7434
2005-01-01,emoluments,5466
2005-04-01,emoluments,5785
2005-07-01,emoluments,6267
2005-10-01,emoluments,8070
2006-01-01,emoluments,5901
2006-04-01,emoluments,6634
2006-07-01,emoluments,6713
2006-10-01,emoluments,9273
2007-01-01,emoluments,6876
2007-04-01,emoluments,7433
2007-07-01,emoluments,9278
2007-10-01,emoluments,9000
2008-01-01,emoluments,9060
2008-04-01,emoluments,9597
2008-07-01,emoluments,11041
2008-10-01,emoluments,11313
2009-01-01,emoluments,9826
2009-04-01,emoluments,10129
2009-07-01,emoluments,12096
2009-10-01,emoluments,10728
2010-01-01,emoluments,10672
2010-04-01,emoluments,11236
2010-07-01,emoluments,11804
2010-10-01,emoluments,12951
2011-01-01,emoluments,11328
2011-04-01,emoluments,11776
2011-07-01,emoluments,13300
2011-10-01,emoluments,13744
2012-01-01,emoluments,11798
