date,category,variable,value
1996-01-01,total,total,12947
1996-04-01,total,total,13486
1996-07-01,total,total,13452
1996-10-01,total,total,18395
1997-01-01,total,total,14291
1997-04-01,total,total,16023
1997-07-01,total,total,16519
1997-10-01,total,total,18903
1998-01-01,total,total,13812
1998-04-01,total,total,14050
1998-07-01,total,total,14434
1998-10-01,total,total,14414
1999-01-01,total,total,11318
1999-04-01,total,total,15498
1999-07-01,total,total,13997
1999-10-01,total,total,17861
2000-01-01,total,total,11219
2000-04-01,total,total,16682
2000-07-01,total,total,15421
2000-10-01,total,total,18542
2001-01-01,total,total,14634
2001-04-01,total,total,20738
2001-07-01,total,total,18477
2001-10-01,total,total,25718
2002-01-01,total,total,17143
2002-04-01,total,total,19605
2002-07-01,total,total,19426
2002-10-01,total,total,27341
2003-01-01,total,total,13720
2003-04-01,total,total,21202
2003-07-01,total,total,23292
2003-10-01,total,total,34395
2004-01-01,total,total,17735
2004-04-01,total,total,21826
2004-07-01,total,total,24576
2004-10-01,total,total,35260
2005-01-01,total,total,21147
2005-04-01,total,total,26599
2005-07-01,total,total,26375
2005-10-01,total,total,32183
2006-01-01,total,total,24214
2006-04-01,total,total,33043
2006-07-01,total,total,31872
2006-10-01,total,total,34417
2007-01-01,total,total,24227
2007-04-01,total,total,34197
2007-07-01,total,total,33263
2007-10-01,total,total,48197
2008-01-01,total,total,27955
2008-04-01,total,total,39864
2008-07-01,total,total,45674
2008-10-01,total,total,46300
2009-01-01,total,total,35857
2009-04-01,total,total,39380
2009-07-01,total,total,40813
2009-10-01,total,total,42589
2010-01-01,total,total,28734
2010-04-01,total,total,41973
2010-07-01,total,total,43128
2010-10-01,total,total,45818
2011-01-01,total,total,39759
2011-04-01,total,total,49649
2011-07-01,total,total,48347
2011-10-01,total,total,47664
2012-01-01,total,total,47889
2012-04-01,total,total,50747
2012-07-01,total,total,52101
2012-10-01,total,total,57176
2013-01-01,total,total,43751
2013-04-01,total,total,51588
