date,category,variable,value
1970-01-01,budget,balance,-475
1971-01-01,budget,balance,-1050
1972-01-01,budget,balance,-1371
1973-01-01,budget,balance,-1049
1974-01-01,budget,balance,-1381
1975-01-01,budget,balance,-1901
1976-01-01,budget,balance,-1705
1977-01-01,budget,balance,-2476
1978-01-01,budget,balance,-2249
1979-01-01,budget,balance,-1535
1980-01-01,budget,balance,-3704
1981-01-01,budget,balance,-9015
1982-01-01,budget,balance,-10421
1983-01-01,budget,balance,-6933
1984-01-01,budget,balance,-4775
1985-01-01,budget,balance,-4407
1986-01-01,budget,balance,-7506
1987-01-01,budget,balance,-6153
1988-01-01,budget,balance,-3290
1989-01-01,budget,balance,-3410
1990-01-01,budget,balance,-3437
1991-01-01,budget,balance,-2640
1992-01-01,budget,balance,-1243
1993-01-01,budget,balance,354
1994-01-01,budget,balance,4408
1995-01-01,budget,balance,1861
1996-01-01,budget,balance,1815
1997-01-01,budget,balance,6626
1998-01-01,budget,balance,-5002
1999-01-01,budget,balance,-9486
2000-01-01,budget,balance,-19715
2001-01-01,budget,balance,-18422
2002-01-01,budget,balance,-20253
2003-01-01,budget,balance,-20928
2004-01-01,budget,balance,-19419
2005-01-01,budget,balance,-18724
2006-01-01,budget,balance,-19109
2007-01-01,budget,balance,-20659
2008-01-01,budget,balance,-35594
2009-01-01,budget,balance,-47424
2010-01-01,budget,balance,-43275
2011-01-01,budget,balance,-42509
2012-01-01,budget,balance,-41951
2013-01-01,budget,balance,-38584
2014-01-01,budget,balance,-37414
2015-01-01,budget,balance,-37194
2016-01-01,budget,balance,-38400
2017-01-01,budget,balance,-40321
2018-01-01,budget,balance,-53385
2019-01-01,budget,balance,-51498
2020-01-01,budget,balance,-87644
2021-01-01,budget,balance,-98757
2022-01-01,budget,balance,-99482
2023-01-01,budget,balance,-91391
1970-01-01,budget,revenue,2400
1971-01-01,budget,revenue,2418
1972-01-01,budget,revenue,2920
1973-01-01,budget,revenue,3399
1974-01-01,budget,revenue,4791
1975-01-01,budget,revenue,5117
1976-01-01,budget,revenue,6157
1977-01-01,budget,revenue,7760
1978-01-01,budget,revenue,8841
1979-01-01,budget,revenue,10505
1980-01-01,budget,revenue,13926
1981-01-01,budget,revenue,15806
1982-01-01,budget,revenue,16690
1983-01-01,budget,revenue,18608
1984-01-01,budget,revenue,20805
1985-01-01,budget,revenue,21115
1986-01-01,budget,revenue,19518
1987-01-01,budget,revenue,18143
1988-01-01,budget,revenue,21967
1989-01-01,budget,revenue,25273
1990-01-01,budget,revenue,29521
1991-01-01,budget,revenue,34053
1992-01-01,budget,revenue,39250
1993-01-01,budget,revenue,41691
1994-01-01,budget,revenue,49446
1995-01-01,budget,revenue,50954
1996-01-01,budget,revenue,58280
1997-01-01,budget,revenue,65736
1998-01-01,budget,revenue,56710
1999-01-01,budget,revenue,58675
2000-01-01,budget,revenue,61864
2001-01-01,budget,revenue,79567
2002-01-01,budget,revenue,83515
2003-01-01,budget,revenue,92608
2004-01-01,budget,revenue,99397
2005-01-01,budget,revenue,106304
2006-01-01,budget,revenue,123546
2007-01-01,budget,revenue,139885
2008-01-01,budget,revenue,159793
2009-01-01,budget,revenue,158639
2010-01-01,budget,revenue,159653
2011-01-01,budget,revenue,185419
2012-01-01,budget,revenue,207913
2013-01-01,budget,revenue,213370
2014-01-01,budget,revenue,220626
2015-01-01,budget,revenue,219089
2016-01-01,budget,revenue,212421
2017-01-01,budget,revenue,220406
2018-01-01,budget,revenue,232883
2019-01-01,budget,revenue,264415
2020-01-01,budget,revenue,225076
2021-01-01,budget,revenue,233752
2022-01-01,budget,revenue,294357
2023-01-01,budget,revenue,314960
1970-01-01,budget,spending_oe,2163
1971-01-01,budget,spending_oe,2398
1972-01-01,budget,spending_oe,3068
1973-01-01,budget,spending_oe,3342
1974-01-01,budget,spending_oe,4318
1975-01-01,budget,spending_oe,4900
1976-01-01,budget,spending_oe,5528
1977-01-01,budget,spending_oe,7098
1978-01-01,budget,spending_oe,7391
1979-01-01,budget,spending_oe,7890
1980-01-01,budget,spending_oe,10292
1981-01-01,budget,spending_oe,13686
1982-01-01,budget,spending_oe,15922
1983-01-01,budget,spending_oe,16124
1984-01-01,budget,spending_oe,17506
1985-01-01,budget,spending_oe,18766
1986-01-01,budget,spending_oe,20075
1987-01-01,budget,spending_oe,20185
1988-01-01,budget,spending_oe,21212
1989-01-01,budget,spending_oe,22982
1990-01-01,budget,spending_oe,25026
1991-01-01,budget,spending_oe,28296
1992-01-01,budget,spending_oe,32075
1993-01-01,budget,spending_oe,32217
1994-01-01,budget,spending_oe,35064
1995-01-01,budget,spending_oe,36573
1996-01-01,budget,spending_oe,43865
1997-01-01,budget,spending_oe,44665
1998-01-01,budget,spending_oe,44584
1999-01-01,budget,spending_oe,46699
2000-01-01,budget,spending_oe,56547
2001-01-01,budget,spending_oe,63757
2002-01-01,budget,spending_oe,68699
2003-01-01,budget,spending_oe,75224
2004-01-01,budget,spending_oe,91298
2005-01-01,budget,spending_oe,97744
2006-01-01,budget,spending_oe,107694
2007-01-01,budget,spending_oe,123084
2008-01-01,budget,spending_oe,153499
2009-01-01,budget,spending_oe,157067
2010-01-01,budget,spending_oe,151633
2011-01-01,budget,spending_oe,182594
2012-01-01,budget,spending_oe,205537
2013-01-01,budget,spending_oe,211270
2014-01-01,budget,spending_oe,219589
2015-01-01,budget,spending_oe,216998
2016-01-01,budget,spending_oe,210173
2017-01-01,budget,spending_oe,217695
2018-01-01,budget,spending_oe,230960
2019-01-01,budget,spending_oe,263343
2020-01-01,budget,spending_oe,224600
2021-01-01,budget,spending_oe,231516
2022-01-01,budget,spending_oe,292693
2023-01-01,budget,spending_oe,311267
1970-01-01,budget,spending_de_gross,725
1971-01-01,budget,spending_de_gross,1085
1972-01-01,budget,spending_de_gross,1242
1973-01-01,budget,spending_de_gross,1128
1974-01-01,budget,spending_de_gross,1878
1975-01-01,budget,spending_de_gross,2151
1976-01-01,budget,spending_de_gross,2378
1977-01-01,budget,spending_de_gross,3217
1978-01-01,budget,spending_de_gross,3782
1979-01-01,budget,spending_de_gross,4281
1980-01-01,budget,spending_de_gross,7470
1981-01-01,budget,spending_de_gross,11358
1982-01-01,budget,spending_de_gross,11485
1983-01-01,budget,spending_de_gross,9670
1984-01-01,budget,spending_de_gross,8407
1985-01-01,budget,spending_de_gross,7142
1986-01-01,budget,spending_de_gross,7559
1987-01-01,budget,spending_de_gross,4741
1988-01-01,budget,spending_de_gross,5231
1989-01-01,budget,spending_de_gross,7696
1990-01-01,budget,spending_de_gross,10689
1991-01-01,budget,spending_de_gross,9565
1992-01-01,budget,spending_de_gross,9688
1993-01-01,budget,spending_de_gross,10124
