date,category,function,value
1970-01-01,total,total,725
1971-01-01,total,total,1085
1972-01-01,total,total,1242
1973-01-01,total,total,1128
1974-01-01,total,total,1878
1975-01-01,total,total,2151
1976-01-01,total,total,2378
1977-01-01,total,total,3217
1978-01-01,total,total,3782
1979-01-01,total,total,4281
1980-01-01,total,total,7470
1981-01-01,total,total,11358
1982-01-01,total,total,11485
1983-01-01,total,total,9670
1984-01-01,total,total,8407
1985-01-01,total,total,7142
1986-01-01,total,total,7559
1987-01-01,total,total,4741
1988-01-01,total,total,5231
1989-01-01,total,total,7696
1990-01-01,total,total,10689
1991-01-01,total,total,9565
1992-01-01,total,total,9688
1993-01-01,total,total,10124
1994-01-01,total,total,11277
1995-01-01,total,total,14051
1996-01-01,total,total,14628
1997-01-01,total,total,15750
1998-01-01,total,total,18103
1999-01-01,total,total,22614
2000-01-01,total,total,27941
2001-01-01,total,total,35235
2002-01-01,total,total,35977
2003-01-01,total,total,39353
2004-01-01,total,total,28864
2005-01-01,total,total,30534
2006-01-01,total,total,35807
2007-01-01,total,total,40564
2008-01-01,total,total,42847
2009-01-01,total,total,49515
2010-01-01,total,total,52794
2011-01-01,total,total,46416
2012-01-01,total,total,46932
2013-01-01,total,total,42210
2014-01-01,total,total,39503
2015-01-01,total,total,40768
2016-01-01,total,total,41995
2017-01-01,total,total,44884
2018-01-01,total,total,56095
2019-01-01,total,total,54173
2020-01-01,total,total,51360
2021-01-01,total,total,64257
2022-01-01,total,total,71574
2023-01-01,total,total,96091
1970-01-01,defence,total,172
1971-01-01,defence,total,217
1972-01-01,defence,total,211
1973-01-01,defence,total,110
1974-01-01,defence,total,242
1975-01-01,defence,total,229
1976-01-01,defence,total,435
1977-01-01,defence,total,470
1978-01-01,defence,total,491
1979-01-01,defence,total,713
1980-01-01,defence,total,1222
1981-01-01,defence,total,1839
1982-01-01,defence,total,2065
1983-01-01,defence,total,1722
1984-01-01,defence,total,1005
1985-01-01,defence,total,627
1986-01-01,defence,total,384
1987-01-01,defence,total,333
1988-01-01,defence,total,360
1989-01-01,defence,total,842
1990-01-01,defence,total,1061
1991-01-01,defence,total,2211
1992-01-01,defence,total,2173
1993-01-01,defence,total,2258
1994-01-01,defence,total,2360
1995-01-01,defence,total,2888
1996-01-01,defence,total,2438
1997-01-01,defence,total,2314
1998-01-01,defence,total,1380
1999-01-01,defence,total,3122
2000-01-01,defence,total,2332
2001-01-01,defence,total,3287
2002-01-01,defence,total,4333
2003-01-01,defence,total,6029
2004-01-01,defence,total,4133
2005-01-01,defence,total,4803
2006-01-01,defence,total,4803
2007-01-01,defence,total,5702
2008-01-01,defence,total,5779
2009-01-01,defence,total,3956
2010-01-01,defence,total,3970
2011-01-01,defence,total,4569
2012-01-01,defence,total,4409
2013-01-01,defence,total,4649
2014-01-01,defence,total,4332
2015-01-01,defence,total,4754
2016-01-01,defence,total,4832
2017-01-01,defence,total,5334
2018-01-01,defence,total,4929
2019-01-01,defence,total,5614
2020-01-01,defence,total,5785
2021-01-01,defence,total,7498
2022-01-01,defence,total,8210
2023-01-01,defence,total,11381
1970-01-01,economy,total,451
1971-01-01,economy,total,705
1972-01-01,economy,total,838
1973-01-01,economy,total,788
1974-01-01,economy,total,1313
1975-01-01,economy,total,1496
1976-01-01,economy,total,1550
1977-01-01,economy,total,2129
1978-01-01,economy,total,2603
1979-01-01,economy,total,2590
1980-01-01,economy,total,4856
1981-01-01,economy,total,6908
1982-01-01,economy,total,5908
1983-01-01,economy,total,5803
1984-01-01,economy,total,5061
1985-01-01,economy,total,4251
1986-01-01,economy,total,4509
1987-01-01,economy,total,3164
1988-01-01,economy,total,3564
1989-01-01,economy,total,4630
1990-01-01,economy,total,6701
1991-01-01,economy,total,4684
1992-01-01,economy,total,4504
1993-01-01,economy,total,5265
1994-01-01,economy,total,5289
1995-01-01,economy,total,6440
1996-01-01,economy,total,7693
1997-01-01,economy,total,7501
1998-01-01,economy,total,9243
1999-01-01,economy,total,8969
2000-01-01,economy,total,11639
2001-01-01,economy,total,12725
2002-01-01,economy,total,12433
2003-01-01,economy,total,13793
2004-01-01,economy,total,11851
2005-01-01,economy,total,14957
2006-01-01,economy,total,17404
2007-01-01,economy,total,20116
2008-01-01,economy,total,21353
2009-01-01,economy,total,26440
2010-01-01,economy,total,26121
2011-01-01,economy,total,28156
2012-01-01,economy,total,28936
2013-01-01,economy,total,24646
2014-01-01,economy,total,23338
2015-01-01,economy,total,23286
2016-01-01,economy,total,25113
2017-01-01,economy,total,24186
2018-01-01,economy,total,36103
2019-01-01,economy,total,31300
2020-01-01,economy,total,28712
2021-01-01,economy,total,31284
2022-01-01,economy,total,39115
2023-01-01,economy,total,57238
1970-01-01,economy,agriculture,198
1971-01-01,economy,agriculture,228
1972-01-01,economy,agriculture,300
1973-01-01,economy,agriculture,326
1974-01-01,economy,agriculture,436
1975-01-01,economy,agriculture,506
1976-01-01,economy,agriculture,514
1977-01-01,economy,agriculture,591
1978-01-01,economy,agriculture,715
1979-01-01,economy,agriculture,906
1980-01-01,economy,agriculture,1147
1981-01-01,economy,agriculture,1481
1982-01-01,economy,agriculture,1487
1983-01-01,economy,agriculture,1156
1984-01-01,economy,agriculture,1122
1985-01-01,economy,agriculture,1190
1986-01-01,economy,agriculture,1147
1987-01-01,economy,agriculture,919
1988-01-01,economy,agriculture,991
1989-01-01,economy,agriculture,1140
1990-01-01,economy,agriculture,1298
1991-01-01,economy,agriculture,1126
1992-01-01,economy,agriculture,1098
1993-01-01,economy,agriculture,1276
1994-01-01,economy,agriculture,1342
1995-01-01,economy,agriculture,1360
1996-01-01,economy,agriculture,1182
1997-01-01,economy,agriculture,1105
1998-01-01,economy,agriculture,960
1999-01-01,economy,agriculture,1088
2000-01-01,economy,agriculture,1183
2001-01-01,economy,agriculture,1394
2002-01-01,economy,agriculture,1364
2003-01-01,economy,agriculture,1620
2004-01-01,economy,agriculture,2881
2005-01-01,economy,agriculture,2482
2006-01-01,economy,agriculture,3999
2007-01-01,economy,agriculture,3842
2008-01-01,economy,agriculture,4184
2009-01-01,economy,agriculture,5508
2010-01-01,economy,agriculture,2920
2011-01-01,economy,agriculture,1128
2012-01-01,economy,agriculture,1906
2013-01-01,economy,agriculture,2692
2014-01-01,economy,agriculture,2875
2015-01-01,economy,agriculture,3105
2016-01-01,economy,agriculture,2902
2017-01-01,economy,agriculture,2219
2018-01-01,economy,agriculture,2133
2019-01-01,economy,agriculture,2314
2020-01-01,economy,agriculture,2003
2021-01-01,economy,agriculture,2463
2022-01-01,economy,agriculture,2548
2023-01-01,economy,agriculture,3020
1970-01-01,economy,trade,93
1971-01-01,economy,trade,251
1972-01-01,economy,trade,171
1973-01-01,economy,trade,174
1974-01-01,economy,trade,455
1975-01-01,economy,trade,315
1976-01-01,economy,trade,294
1977-01-01,economy,trade,409
1978-01-01,economy,trade,665
1979-01-01,economy,trade,361
1980-01-01,economy,trade,1567
1981-01-01,economy,trade,3170
1982-01-01,economy,trade,1138
1983-01-01,economy,trade,1299
1984-01-01,economy,trade,689
1985-01-01,economy,trade,531
1986-01-01,economy,trade,504
1987-01-01,economy,trade,629
1988-01-01,economy,trade,838
1989-01-01,economy,trade,956
1990-01-01,economy,trade,2726
1991-01-01,economy,trade,969
1992-01-01,economy,trade,648
1993-01-01,economy,trade,660
1994-01-01,economy,trade,961
1995-01-01,economy,trade,1218
1996-01-01,economy,trade,1212
1997-01-01,economy,trade,1285
1998-01-01,economy,trade,3227
1999-01-01,economy,trade,2798
2000-01-01,economy,trade,3667
2001-01-01,economy,trade,4830
2002-01-01,economy,trade,3474
2003-01-01,economy,trade,3456
2004-01-01,economy,trade,1201
2005-01-01,economy,trade,3221
2006-01-01,economy,trade,3389
2007-01-01,economy,trade,4904
2008-01-01,economy,trade,4581
2009-01-01,economy,trade,4916
2010-01-01,economy,trade,6987
2011-01-01,economy,trade,8364
2012-01-01,economy,trade,5043
2013-01-01,economy,trade,6244
2014-01-01,economy,trade,4688
2015-01-01,economy,trade,5638
2016-01-01,economy,trade,4841
2017-01-01,economy,trade,3800
2018-01-01,economy,trade,2512
2019-01-01,economy,trade,3054
2020-01-01,economy,trade,2576
2021-01-01,economy,trade,1756
2022-01-01,economy,trade,2308
2023-01-01,economy,trade,3011
1970-01-01,economy,transport,80
1971-01-01,economy,transport,148
1972-01-01,economy,transport,234
1973-01-01,economy,transport,191
1974-01-01,economy,transport,314
1975-01-01,economy,transport,486
1976-01-01,economy,transport,561
1977-01-01,economy,transport,652
1978-01-01,economy,transport,637
1979-01-01,economy,transport,670
1980-01-01,economy,transport,1031
1981-01-01,economy,transport,1272
1982-01-01,economy,transport,1970
1983-01-01,economy,transport,1650
1984-01-01,economy,transport,1193
1985-01-01,economy,transport,1126
1986-01-01,economy,transport,1397
1987-01-01,economy,transport,955
1988-01-01,economy,transport,1065
1989-01-01,economy,transport,1506
1990-01-01,economy,transport,1845
1991-01-01,economy,transport,1897
1992-01-01,economy,transport,1896
1993-01-01,economy,transport,2678
1994-01-01,economy,transport,2158
1995-01-01,economy,transport,3151
1996-01-01,economy,transport,4530
1997-01-01,economy,transport,3578
1998-01-01,economy,transport,3062
1999-01-01,economy,transport,2893
2000-01-01,economy,transport,4863
2001-01-01,economy,transport,5042
2002-01-01,economy,transport,5401
2003-01-01,economy,transport,7354
2004-01-01,economy,transport,6630
2005-01-01,economy,transport,7660
2006-01-01,economy,transport,7751
2007-01-01,economy,transport,8500
2008-01-01,economy,transport,9212
2009-01-01,economy,transport,9450
2010-01-01,economy,transport,8665
2011-01-01,economy,transport,10140
2012-01-01,economy,transport,10065
2013-01-01,economy,transport,8152
2014-01-01,economy,transport,7271
2015-01-01,economy,transport,6693
2016-01-01,economy,transport,7827
2017-01-01,economy,transport,10429
2018-01-01,economy,transport,17004
2019-01-01,economy,transport,13750
2020-01-01,economy,transport,12779
2021-01-01,economy,transport,12988
2022-01-01,economy,transport,16560
2023-01-01,economy,transport,17761
1970-01-01,economy,utilities,20
1971-01-01,economy,utilities,41
1972-01-01,economy,utilities,51
1973-01-01,economy,utilities,51
1974-01-01,economy,utilities,55
1975-01-01,economy,utilities,118
1976-01-01,economy,utilities,133
1977-01-01,economy,utilities,250
1978-01-01,economy,utilities,339
1979-01-01,economy,utilities,406
1980-01-01,economy,utilities,665
1981-01-01,economy,utilities,748
1982-01-01,economy,utilities,856
1983-01-01,economy,utilities,1027
1984-01-01,economy,utilities,1132
1985-01-01,economy,utilities,789
1986-01-01,economy,utilities,683
1987-01-01,economy,utilities,650
1988-01-01,economy,utilities,656
1989-01-01,economy,utilities,993
1990-01-01,economy,utilities,798
1991-01-01,economy,utilities,681
1992-01-01,economy,utilities,834
1993-01-01,economy,utilities,610
1994-01-01,economy,utilities,790
1995-01-01,economy,utilities,654
1996-01-01,economy,utilities,733
1997-01-01,economy,utilities,1496
1998-01-01,economy,utilities,1968
1999-01-01,economy,utilities,1850
