date,object,value
1979-01-01,total,7890
1980-01-01,total,10292
1981-01-01,total,13686
1982-01-01,total,15922
1983-01-01,total,16124
1984-01-01,total,17506
1985-01-01,total,18766
1986-01-01,total,20075
1987-01-01,total,20185
1988-01-01,total,21212
1989-01-01,total,22982
1990-01-01,total,25026
1991-01-01,total,28296
1992-01-01,total,32075
1993-01-01,total,32217
1994-01-01,total,35064
1995-01-01,total,36573
1996-01-01,total,43865
1997-01-01,total,44665
1998-01-01,total,44585
1999-01-01,total,46699
2000-01-01,total,56547
2001-01-01,total,63757
2002-01-01,total,68699
2003-01-01,total,75224
2004-01-01,total,91298
2005-01-01,total,97744
2006-01-01,total,107694
2007-01-01,total,123084
2008-01-01,total,153499
2009-01-01,total,157067
2010-01-01,total,151633
2011-01-01,total,182594
2012-01-01,total,205537
2013-01-01,total,211270
2014-01-01,total,219589
2015-01-01,total,216998
2016-01-01,total,210173
2017-01-01,total,217695
2018-01-01,total,230960
2019-01-01,total,263343
2020-01-01,total,224600
2021-01-01,total,231516
2022-01-01,total,292693
2023-01-01,total,311267
1979-01-01,emoluments,2370
1980-01-01,emoluments,2854
1981-01-01,emoluments,3600
1982-01-01,emoluments,3928
1983-01-01,emoluments,5666
1984-01-01,emoluments,5848
1985-01-01,emoluments,6002
1986-01-01,emoluments,6454
1987-01-01,emoluments,6504
1988-01-01,emoluments,6872
1989-01-01,emoluments,7381
1990-01-01,emoluments,7966
1991-01-01,emoluments,8640
1992-01-01,emoluments,10383
1993-01-01,emoluments,10322
1994-01-01,emoluments,11016
1995-01-01,emoluments,11434
1996-01-01,emoluments,14324
1997-01-01,emoluments,13195
1998-01-01,emoluments,13984
1999-01-01,emoluments,14436
2000-01-01,emoluments,16357
2001-01-01,emoluments,17443
2002-01-01,emoluments,20242
2003-01-01,emoluments,21721
2004-01-01,emoluments,23779
2005-01-01,emoluments,25587
2006-01-01,emoluments,28522
2007-01-01,emoluments,32587
2008-01-01,emoluments,41011
2009-01-01,emoluments,42778
2010-01-01,emoluments,46663
2011-01-01,emoluments,50148
2012-01-01,emoluments,60016
2013-01-01,emoluments,61002
2014-01-01,emoluments,66947
2015-01-01,emoluments,70050
2016-01-01,emoluments,73108
2017-01-01,emoluments,77036
2018-01-01,emoluments,79989
2019-01-01,emoluments,80534
2020-01-01,emoluments,82996
2021-01-01,emoluments,85854
2022-01-01,emoluments,87789
2023-01-01,emoluments,91860
1979-01-01,retirement_charges,338
1980-01-01,retirement_charges,516
1981-01-01,retirement_charges,585
1982-01-01,retirement_charges,587
1983-01-01,retirement_charges,629
1984-01-01,retirement_charges,681
1985-01-01,retirement_charges,775
1986-01-01,retirement_charges,817
1987-01-01,retirement_charges,938
1988-01-01,retirement_charges,961
1989-01-01,retirement_charges,1073
1990-01-01,retirement_charges,1154
1991-01-01,retirement_charges,1815
1992-01-01,retirement_charges,2183
1993-01-01,retirement_charges,2320
1994-01-01,retirement_charges,2737
1995-01-01,retirement_charges,2755
1996-01-01,retirement_charges,3509
1997-01-01,retirement_charges,3638
1998-01-01,retirement_charges,3658
1999-01-01,retirement_charges,3792
2000-01-01,retirement_charges,4187
2001-01-01,retirement_charges,4711
2002-01-01,retirement_charges,5134
2003-01-01,retirement_charges,5870
2004-01-01,retirement_charges,6060
2005-01-01,retirement_charges,6809
2006-01-01,retirement_charges,7008
2007-01-01,retirement_charges,8251
2008-01-01,retirement_charges,10022
2009-01-01,retirement_charges,10146
2010-01-01,retirement_charges,11515
2011-01-01,retirement_charges,13565
2012-01-01,retirement_charges,14079
2013-01-01,retirement_charges,14842
2014-01-01,retirement_charges,18218
2015-01-01,retirement_charges,18872
2016-01-01,retirement_charges,21029
2017-01-01,retirement_charges,22800
2018-01-01,retirement_charges,25177
2019-01-01,retirement_charges,25894
2020-01-01,retirement_charges,27533
2021-01-01,retirement_charges,29095
2022-01-01,retirement_charges,31397
2023-01-01,retirement_charges,34080
1979-01-01,debt_service,1271
1980-01-01,debt_service,1547
1981-01-01,debt_service,2046
1982-01-01,debt_service,2724
1983-01-01,debt_service,3453
1984-01-01,debt_service,4430
1985-01-01,debt_service,5042
1986-01-01,debt_service,5239
1987-01-01,debt_service,5763
1988-01-01,debt_service,6178
1989-01-01,debt_service,6743
1990-01-01,debt_service,6830
1991-01-01,debt_service,7048
1992-01-01,debt_service,7304
1993-01-01,debt_service,7166
1994-01-01,debt_service,6815
1995-01-01,debt_service,6521
1996-01-01,debt_service,6795
1997-01-01,debt_service,6426
1998-01-01,debt_service,6928
1999-01-01,debt_service,7941
2000-01-01,debt_service,9055
2001-01-01,debt_service,9634
2002-01-01,debt_service,9669
2003-01-01,debt_service,10546
2004-01-01,debt_service,10920
2005-01-01,debt_service,11604
2006-01-01,debt_service,12495
2007-01-01,debt_service,12911
2008-01-01,debt_service,12797
2009-01-01,debt_service,14222
2010-01-01,debt_service,15621
2011-01-01,debt_service,17716
2012-01-01,debt_service,19537
2013-01-01,debt_service,20776
2014-01-01,debt_service,22588
2015-01-01,debt_service,24283
2016-01-01,debt_service,26480
2017-01-01,debt_service,27863
2018-01-01,debt_service,30547
2019-01-01,debt_service,32933
2020-01-01,debt_service,34495
2021-01-01,debt_service,38069
2022-01-01,debt_service,41269
2023-01-01,debt_service,46331
1979-01-01,debt_service_dom,0
1980-01-01,debt_service_dom,1144
1981-01-01,debt_service_dom,1408
1982-01-01,debt_service_dom,1810
1983-01-01,debt_service_dom,2259
1984-01-01,debt_service_dom,2719
1985-01-01,debt_service_dom,2961
1986-01-01,debt_service_dom,3297
1987-01-01,debt_service_dom,3727
1988-01-01,debt_service_dom,4200
1989-01-01,debt_service_dom,4751
1990-01-01,debt_service_dom,4890
1991-01-01,debt_service_dom,5277
1992-01-01,debt_service_dom,5732
1993-01-01,debt_service_dom,5827
1994-01-01,debt_service_dom,5679
1995-01-01,debt_service_dom,5635
1996-01-01,debt_service_dom,6045
1997-01-01,debt_service_dom,5789
1998-01-01,debt_service_dom,5897
1999-01-01,debt_service_dom,7057
2000-01-01,debt_service_dom,7868
2001-01-01,debt_service_dom,8484
2002-01-01,debt_service_dom,7977
2003-01-01,debt_service_dom,8663
2004-01-01,debt_service_dom,9161
2005-01-01,debt_service_dom,9875
2006-01-01,debt_service_dom,10990
2007-01-01,debt_service_dom,11485
2008-01-01,debt_service_dom,11642
2009-01-01,debt_service_dom,13312
2010-01-01,debt_service_dom,14963
2011-01-01,debt_service_dom,17032
2012-01-01,debt_service_dom,19035
2013-01-01,debt_service_dom,20291
2014-01-01,debt_service_dom,22089
2015-01-01,debt_service_dom,23714
2016-01-01,debt_service_dom,25732
2017-01-01,debt_service_dom,27159
2018-01-01,debt_service_dom,29891
2019-01-01,debt_service_dom,32239
2020-01-01,debt_service_dom,33770
2021-01-01,debt_service_dom,37295
2022-01-01,debt_service_dom,40553
2023-01-01,debt_service_dom,45612
1979-01-01,debt_service_ext,0
1980-01-01,debt_service_ext,403
1981-01-01,debt_service_ext,638
1982-01-01,debt_service_ext,914
1983-01-01,debt_service_ext,1194
1984-01-01,debt_service_ext,1711
1985-01-01,debt_service_ext,2081
1986-01-01,debt_service_ext,1942
