date,category,variable,value
1970-01-01,total,total,2400
1971-01-01,total,total,2418
1972-01-01,total,total,2920
1973-01-01,total,total,3399
1974-01-01,total,total,4791
1975-01-01,total,total,5117
1976-01-01,total,total,6157
1977-01-01,total,total,7760
1978-01-01,total,total,8841
1979-01-01,total,total,10505
1980-01-01,total,total,13926
1981-01-01,total,total,15806
1982-01-01,total,total,16690
1983-01-01,total,total,18608
1984-01-01,total,total,20805
1985-01-01,total,total,21115
1986-01-01,total,total,19518
1987-01-01,total,total,18143
1988-01-01,total,total,21967
1989-01-01,total,total,25273
1990-01-01,total,total,29521
1991-01-01,total,total,34053
1992-01-01,total,total,39250
1993-01-01,total,total,41691
1994-01-01,total,total,49446
1995-01-01,total,total,50954
1996-01-01,total,total,58280
1997-01-01,total,total,65736
1998-01-01,total,total,56710
1999-01-01,total,total,58675
2000-01-01,total,total,61864
2001-01-01,total,total,79567
2002-01-01,total,total,83515
2003-01-01,total,total,92608
2004-01-01,total,total,99397
2005-01-01,total,total,106304
2006-01-01,total,total,123546
2007-01-01,total,total,139885
2008-01-01,total,total,159793
2009-01-01,total,total,158639
2010-01-01,total,total,159653
2011-01-01,total,total,185419
2012-01-01,total,total,207913
2013-01-01,total,total,213370
2014-01-01,total,total,220626
2015-01-01,total,total,219089
2016-01-01,total,total,212421
2017-01-01,total,total,220406
2018-01-01,total,total,232883
2019-01-01,total,total,264415
2020-01-01,total,total,225076
2021-01-01,total,total,233752
2022-01-01,total,total,294357
2023-01-01,total,total,314959
1970-01-01,tax_direct,total,685
1971-01-01,tax_direct,total,725
1972-01-01,tax_direct,total,803
1973-01-01,tax_direct,total,907
1974-01-01,tax_direct,total,1383
1975-01-01,tax_direct,total,1990
1976-01-01,tax_direct,total,2139
1977-01-01,tax_direct,total,2900
1978-01-01,tax_direct,total,3300
1979-01-01,tax_direct,total,3835
1980-01-01,tax_direct,total,5495
1981-01-01,tax_direct,total,6112
1982-01-01,tax_direct,total,6398
1983-01-01,tax_direct,total,7712
1984-01-01,tax_direct,total,8445
1985-01-01,tax_direct,total,9259
1986-01-01,tax_direct,total,8653
1987-01-01,tax_direct,total,6468
1988-01-01,tax_direct,total,7508
1989-01-01,tax_direct,total,7793
1990-01-01,tax_direct,total,10402
1991-01-01,tax_direct,total,13251
1992-01-01,tax_direct,total,15403
1993-01-01,tax_direct,total,17070
1994-01-01,tax_direct,total,20160
1995-01-01,tax_direct,total,22699
1996-01-01,tax_direct,total,25851
1997-01-01,tax_direct,total,30432
1998-01-01,tax_direct,total,30015
1999-01-01,tax_direct,total,27246
2000-01-01,tax_direct,total,29156
2001-01-01,tax_direct,total,42097
2002-01-01,tax_direct,total,44351
2003-01-01,tax_direct,total,43016
2004-01-01,tax_direct,total,48703
2005-01-01,tax_direct,total,53543
2006-01-01,tax_direct,total,61572
2007-01-01,tax_direct,total,69396
2008-01-01,tax_direct,total,82138
2009-01-01,tax_direct,total,78375
2010-01-01,tax_direct,total,79009
2011-01-01,tax_direct,total,102242
2012-01-01,tax_direct,total,116937
2013-01-01,tax_direct,total,120523
2014-01-01,tax_direct,total,126742
2015-01-01,tax_direct,total,111770
2016-01-01,tax_direct,total,109608
2017-01-01,tax_direct,total,116024
2018-01-01,tax_direct,total,130035
2019-01-01,tax_direct,total,134723
2020-01-01,tax_direct,total,112511
2021-01-01,tax_direct,total,130116
2022-01-01,tax_direct,total,153476
2023-01-01,tax_direct,total,171336
1970-01-01,tax_direct,cita,489
1971-01-01,tax_direct,cita,517
1972-01-01,tax_direct,cita,559
1973-01-01,tax_direct,cita,585
1974-01-01,tax_direct,cita,800
1975-01-01,tax_direct,cita,1164
1976-01-01,tax_direct,cita,1163
1977-01-01,tax_direct,cita,1336
1978-01-01,tax_direct,cita,1624
1979-01-01,tax_direct,cita,1804
1980-01-01,tax_direct,cita,2530
1981-01-01,tax_direct,cita,2754
1982-01-01,tax_direct,cita,2619
1983-01-01,tax_direct,cita,3451
1984-01-01,tax_direct,cita,3432
1985-01-01,tax_direct,cita,3920
1986-01-01,tax_direct,cita,3446
1987-01-01,tax_direct,cita,2783
1988-01-01,tax_direct,cita,3146
1989-01-01,tax_direct,cita,3402
1990-01-01,tax_direct,cita,4497
1991-01-01,tax_direct,cita,5352
1992-01-01,tax_direct,cita,7524
1993-01-01,tax_direct,cita,8551
1994-01-01,tax_direct,cita,10562
1995-01-01,tax_direct,cita,11707
1996-01-01,tax_direct,cita,14166
1997-01-01,tax_direct,cita,16688
1998-01-01,tax_direct,cita,17294
1999-01-01,tax_direct,cita,15742
2000-01-01,tax_direct,cita,13905
2001-01-01,tax_direct,cita,20770
2002-01-01,tax_direct,cita,24642
2003-01-01,tax_direct,cita,23990
2004-01-01,tax_direct,cita,24388
2005-01-01,tax_direct,cita,26381
2006-01-01,tax_direct,cita,26477
2007-01-01,tax_direct,cita,32149
2008-01-01,tax_direct,cita,37741
2009-01-01,tax_direct,cita,30199
2010-01-01,tax_direct,cita,36266
2011-01-01,tax_direct,cita,46888
2012-01-01,tax_direct,cita,51288
2013-01-01,tax_direct,cita,58175
2014-01-01,tax_direct,cita,65240
2015-01-01,tax_direct,cita,63679
2016-01-01,tax_direct,cita,63625
2017-01-01,tax_direct,cita,64465
2018-01-01,tax_direct,cita,66474
2019-01-01,tax_direct,cita,63751
2020-01-01,tax_direct,cita,50065
2021-01-01,tax_direct,cita,79829
2022-01-01,tax_direct,cita,82133
2023-01-01,tax_direct,cita,93851
1970-01-01,tax_direct,pita,0
1971-01-01,tax_direct,pita,4
1972-01-01,tax_direct,pita,0
1973-01-01,tax_direct,pita,27
1974-01-01,tax_direct,pita,144
1975-01-01,tax_direct,pita,322
1976-01-01,tax_direct,pita,322
1977-01-01,tax_direct,pita,776
1978-01-01,tax_direct,pita,771
1979-01-01,tax_direct,pita,829
1980-01-01,tax_direct,pita,1736
1981-01-01,tax_direct,pita,1978
