series,date,type,value
abs,2015-01-01,e0,1176941.187
abs,2015-01-01,e1,635099.434
abs,2015-01-01,e2,154021.124
abs,2015-01-01,e3,304423.412
abs,2015-01-01,e4,-5194.786
abs,2015-01-01,e5,817370.247
abs,2015-01-01,e6,728778.243
abs,2016-01-01,e0,1249697.694
abs,2016-01-01,e1,684680.74
abs,2016-01-01,e2,157023.238
abs,2016-01-01,e3,318895.206
abs,2016-01-01,e4,5970.108
abs,2016-01-01,e5,834491.202
abs,2016-01-01,e6,751362.8
abs,2017-01-01,e0,1372309.832
abs,2017-01-01,e1,760146.473
abs,2017-01-01,e2,167320.137
abs,2017-01-01,e3,343941.537
abs,2017-01-01,e4,6647.169
abs,2017-01-01,e5,960778.026
abs,2017-01-01,e6,866523.51
abs,2018-01-01,e0,1447759.635
abs,2018-01-01,e1,831387.79
abs,2018-01-01,e2,173288.812
abs,2018-01-01,e3,350364.558
abs,2018-01-01,e4,-4387.358
abs,2018-01-01,e5,992511.204
abs,2018-01-01,e6,895405.371
abs,2019-01-01,e0,1512737.754
abs,2019-01-01,e1,904188.887
abs,2019-01-01,e2,176280.846
abs,2019-01-01,e3,346973.429
abs,2019-01-01,e4,-28568.749
abs,2019-01-01,e5,987481.424
abs,2019-01-01,e6,873618.082
abs,2020-01-01,e0,1418490.911
abs,2020-01-01,e1,865450.084
abs,2020-01-01,e2,183868.673
abs,2020-01-01,e3,296663.42
abs,2020-01-01,e4,-17816.361
abs,2020-01-01,e5,873477.424
abs,2020-01-01,e6,783152.329
abs,2021-01-01,e0,1548700.791
abs,2021-01-01,e1,898359.419
abs,2021-01-01,e2,195707.48
abs,2021-01-01,e3,298702.838
abs,2021-01-01,e4,43958.183
abs,2021-01-01,e5,1093894.69
abs,2021-01-01,e6,981921.82
abs,2022-01-01,e0,1794893.14
abs,2022-01-01,e1,1034028.062
abs,2022-01-01,e2,208445.748
abs,2022-01-01,e3,326816.745
abs,2022-01-01,e4,96531.995
abs,2022-01-01,e5,1378617.888
abs,2022-01-01,e6,1249547.298
abs,2023-01-01,e0,1825325.444
abs,2023-01-01,e1,1103046.827
abs,2023-01-01,e2,220260.24
abs,2023-01-01,e3,350653.413
abs,2023-01-01,e4,64460.596
abs,2023-01-01,e5,1252716.831
abs,2023-01-01,e6,1165812.463
abs,2024-01-01,e0,1933209.415
abs,2024-01-01,e1,1172374.004
abs,2024-01-01,e2,232934.081
abs,2024-01-01,e3,397162.52
abs,2024-01-01,e4,30842.016
abs,2024-01-01,e5,1381455.213
abs,2024-01-01,e6,1281558.419
abs,2025-01-01,e0,2025379.14
abs,2025-01-01,e1,1248107.818
abs,2025-01-01,e2,249138.315
abs,2025-01-01,e3,431750.735
abs,2025-01-01,e4,-14322.41
abs,2025-01-01,e5,1462780.617
abs,2025-01-01,e6,1352075.934
growth_yoy,2016-01-01,e0,6.2
growth_yoy,2016-01-01,e1,7.8
growth_yoy,2016-01-01,e2,1.9
growth_yoy,2016-01-01,e3,4.8
growth_yoy,2016-01-01,e5,2.1
growth_yoy,2016-01-01,e6,3.1
growth_yoy,2017-01-01,e0,9.8
growth_yoy,2017-01-01,e1,11.0
growth_yoy,2017-01-01,e2,6.6
growth_yoy,2017-01-01,e3,7.9
growth_yoy,2017-01-01,e5,15.1
growth_yoy,2017-01-01,e6,15.3
growth_yoy,2018-01-01,e0,5.5
growth_yoy,2018-01-01,e1,9.4
growth_yoy,2018-01-01,e2,3.6
growth_yoy,2018-01-01,e3,1.9
growth_yoy,2018-01-01,e5,3.3
growth_yoy,2018-01-01,e6,3.3
growth_yoy,2019-01-01,e0,4.5
growth_yoy,2019-01-01,e1,8.8
growth_yoy,2019-01-01,e2,1.7
growth_yoy,2019-01-01,e3,-1.0
growth_yoy,2019-01-01,e5,-0.5
growth_yoy,2019-01-01,e6,-2.4
growth_yoy,2020-01-01,e0,-6.2
growth_yoy,2020-01-01,e1,-4.3
growth_yoy,2020-01-01,e2,4.3
growth_yoy,2020-01-01,e3,-14.5
growth_yoy,2020-01-01,e5,-11.5
growth_yoy,2020-01-01,e6,-10.4
growth_yoy,2021-01-01,e0,9.2
growth_yoy,2021-01-01,e1,3.8
growth_yoy,2021-01-01,e2,6.4
growth_yoy,2021-01-01,e3,0.7
growth_yoy,2021-01-01,e5,25.2
growth_yoy,2021-01-01,e6,25.4
growth_yoy,2022-01-01,e0,15.9
growth_yoy,2022-01-01,e1,15.1
growth_yoy,2022-01-01,e2,6.5
growth_yoy,2022-01-01,e3,9.4
growth_yoy,2022-01-01,e5,26.0
growth_yoy,2022-01-01,e6,27.3
growth_yoy,2023-01-01,e0,1.7
growth_yoy,2023-01-01,e1,6.7
growth_yoy,2023-01-01,e2,5.7
growth_yoy,2023-01-01,e3,7.3
growth_yoy,2023-01-01,e5,-9.1
growth_yoy,2023-01-01,e6,-6.7
growth_yoy,2024-01-01,e0,5.9
growth_yoy,2024-01-01,e1,6.3
growth_yoy,2024-01-01,e2,5.8
growth_yoy,2024-01-01,e3,13.3
growth_yoy,2024-01-01,e5,10.3
growth_yoy,2024-01-01,e6,9.9
growth_yoy,2025-01-01,e0,4.8
growth_yoy,2025-01-01,e1,6.5
growth_yoy,2025-01-01,e2,7.0
growth_yoy,2025-01-01,e3,8.7
growth_yoy,2025-01-01,e5,5.9
growth_yoy,2025-01-01,e6,5.5
