series,date,type,value
abs,2015-01-01,e0,1176941.187
abs,2015-01-01,e1,635099.434
abs,2015-01-01,e1.1.01,138567.625
abs,2015-01-01,e1.1.02,12627.424
abs,2015-01-01,e1.1.03,20006.653
abs,2015-01-01,e1.1.04,99383.082
abs,2015-01-01,e1.1.05,34319.474
abs,2015-01-01,e1.1.06,17298.901
abs,2015-01-01,e1.1.07,85253.545
abs,2015-01-01,e1.1.08,49379.516
abs,2015-01-01,e1.1.09,43275.996
abs,2015-01-01,e1.1.10,14092.153
abs,2015-01-01,e1.1.11,66155.191
abs,2015-01-01,e1.1.12,81549.79
abs,2015-01-01,e1.1.13,41318.532
abs,2015-01-01,e1.1.14,68674.899
abs,2015-01-01,e1.1.15,546.451
abs,2015-01-01,e2,154021.124
abs,2015-01-01,e2.01,28617.085
abs,2015-01-01,e2.02,16811.88
abs,2015-01-01,e2.03,14172.97
abs,2015-01-01,e2.04,15652.388
abs,2015-01-01,e2.05,556.738
abs,2015-01-01,e2.06,1890.344
abs,2015-01-01,e2.07,23786.697
abs,2015-01-01,e2.08,3108.081
abs,2015-01-01,e2.09,47983.295
abs,2015-01-01,e2.10,1441.646
abs,2015-01-01,e3,304423.412
abs,2015-01-01,e3.1,304423.412
abs,2015-01-01,e3.1.1,174239.941
abs,2015-01-01,e3.1.2,102398.989
abs,2015-01-01,e3.1.3,27784.482
abs,2015-01-01,e3.2,304423.412
abs,2015-01-01,e3.2.1,106273.894
abs,2015-01-01,e3.2.2,198149.518
abs,2015-01-01,e4,-5194.786
abs,2015-01-01,e5,817370.247
abs,2015-01-01,e5.1,681274.791
abs,2015-01-01,e5.2,136095.456
abs,2015-01-01,e6,728778.243
abs,2015-01-01,e6.1,572051.197
abs,2015-01-01,e6.2,156727.046
abs,2016-01-01,e0,1249697.694
abs,2016-01-01,e1,684680.74
abs,2016-01-01,e1.1.01,153594.277
abs,2016-01-01,e1.1.02,13618.803
abs,2016-01-01,e1.1.03,21977.508
abs,2016-01-01,e1.1.04,108292.775
abs,2016-01-01,e1.1.05,36875.932
abs,2016-01-01,e1.1.06,18830.701
abs,2016-01-01,e1.1.07,88364.447
abs,2016-01-01,e1.1.08,54242.905
abs,2016-01-01,e1.1.09,46319.304
abs,2016-01-01,e1.1.10,15141.173
abs,2016-01-01,e1.1.11,72803.721
abs,2016-01-01,e1.1.12,85993.438
abs,2016-01-01,e1.1.13,43035.776
abs,2016-01-01,e1.1.14,74979.831
abs,2016-01-01,e1.1.15,569.811
abs,2016-01-01,e2,157023.238
abs,2016-01-01,e2.01,29710.902
abs,2016-01-01,e2.02,16973.963
abs,2016-01-01,e2.03,13892.033
abs,2016-01-01,e2.04,15721.282
abs,2016-01-01,e2.05,579.018
abs,2016-01-01,e2.06,2589.983
abs,2016-01-01,e2.07,23938.472
abs,2016-01-01,e2.08,3089.077
abs,2016-01-01,e2.09,48988.681
abs,2016-01-01,e2.10,1539.826
abs,2016-01-01,e3,318895.206
abs,2016-01-01,e3.1,318895.206
abs,2016-01-01,e3.1.1,187521.12
abs,2016-01-01,e3.1.2,104310.124
abs,2016-01-01,e3.1.3,27063.962
abs,2016-01-01,e3.2,318895.206
abs,2016-01-01,e3.2.1,107370.454
abs,2016-01-01,e3.2.2,211524.752
abs,2016-01-01,e4,5970.108
abs,2016-01-01,e5,834491.202
abs,2016-01-01,e5.1,686895.542
abs,2016-01-01,e5.2,147595.66
abs,2016-01-01,e6,751362.8
abs,2016-01-01,e6.1,584849.714
abs,2016-01-01,e6.2,166513.086
abs,2017-01-01,e0,1372309.832
abs,2017-01-01,e1,760146.473
abs,2017-01-01,e1.1.01,172362.423
abs,2017-01-01,e1.1.02,14508.519
abs,2017-01-01,e1.1.03,24529.317
abs,2017-01-01,e1.1.04,116239.299
abs,2017-01-01,e1.1.05,40021.117
abs,2017-01-01,e1.1.06,20531.302
abs,2017-01-01,e1.1.07,104230.284
abs,2017-01-01,e1.1.08,60183.289
abs,2017-01-01,e1.1.09,50087.333
abs,2017-01-01,e1.1.10,16311.131
abs,2017-01-01,e1.1.11,81083.057
abs,2017-01-01,e1.1.12,92280.418
abs,2017-01-01,e1.1.13,46127.432
abs,2017-01-01,e1.1.14,78944.195
abs,2017-01-01,e1.1.15,595.749
abs,2017-01-01,e2,167320.137
abs,2017-01-01,e2.01,30120.465
abs,2017-01-01,e2.02,17206.197
abs,2017-01-01,e2.03,14564.285
