series,date,component,value
abs,2010-01-01,i0,821434.0
abs,2010-01-01,i1,260682.0
abs,2010-01-01,i2,530574.0
abs,2010-01-01,i3,30179.0
abs,2010-01-01,i3.1,
abs,2010-01-01,i3.2,
abs,2011-01-01,i0,911733.0
abs,2011-01-01,i1,292394.0
abs,2011-01-01,i2,596989.0
abs,2011-01-01,i3,22349.0
abs,2011-01-01,i3.1,
abs,2011-01-01,i3.2,
abs,2012-01-01,i0,971252.0
abs,2012-01-01,i1,322809.0
abs,2012-01-01,i2,630513.0
abs,2012-01-01,i3,17929.0
abs,2012-01-01,i3.1,
abs,2012-01-01,i3.2,
abs,2013-01-01,i0,1018614.0
abs,2013-01-01,i1,345568.0
abs,2013-01-01,i2,652316.0
abs,2013-01-01,i3,20730.0
abs,2013-01-01,i3.1,
abs,2013-01-01,i3.2,
abs,2014-01-01,i0,1106443.0
abs,2014-01-01,i1,379127.0
abs,2014-01-01,i2,694295.0
abs,2014-01-01,i3,33021.0
abs,2014-01-01,i3.1,
abs,2014-01-01,i3.2,
abs,2015-01-01,i0,1176941.187
abs,2015-01-01,i1,412240.002
abs,2015-01-01,i2,709047.755
abs,2015-01-01,i3,55653.43
abs,2015-01-01,i3.1,64866.78
abs,2015-01-01,i3.2,9213.351
abs,2016-01-01,i0,1249697.694
abs,2016-01-01,i1,444489.008
abs,2016-01-01,i2,740473.253
abs,2016-01-01,i3,64735.433
abs,2016-01-01,i3.1,72771.954
abs,2016-01-01,i3.2,8036.522
abs,2017-01-01,i0,1372309.832
abs,2017-01-01,i1,487764.331
abs,2017-01-01,i2,819897.166
abs,2017-01-01,i3,64648.335
abs,2017-01-01,i3.1,73700.58
abs,2017-01-01,i3.2,9052.245
abs,2018-01-01,i0,1447759.635
abs,2018-01-01,i1,517927.151
abs,2018-01-01,i2,881924.42
abs,2018-01-01,i3,47908.064
abs,2018-01-01,i3.1,60731.046
abs,2018-01-01,i3.2,12822.982
abs,2019-01-01,i0,1512737.754
abs,2019-01-01,i1,542657.944
abs,2019-01-01,i2,914477.189
abs,2019-01-01,i3,55602.62
abs,2019-01-01,i3.1,66812.369
abs,2019-01-01,i3.2,11209.748
abs,2020-01-01,i0,1418490.911
abs,2020-01-01,i1,529996.389
abs,2020-01-01,i2,849919.836
abs,2020-01-01,i3,38574.687
abs,2020-01-01,i3.1,61916.339
abs,2020-01-01,i3.2,23341.653
abs,2021-01-01,i0,1548700.791
abs,2021-01-01,i1,543374.552
abs,2021-01-01,i2,968983.749
abs,2021-01-01,i3,36342.49
abs,2021-01-01,i3.1,66388.751
abs,2021-01-01,i3.2,30046.261
abs,2022-01-01,i0,1794893.14
abs,2022-01-01,i1,584066.163
abs,2022-01-01,i2,1198003.185
abs,2022-01-01,i3,12823.792
abs,2022-01-01,i3.1,83251.035
abs,2022-01-01,i3.2,70427.243
abs,2023-01-01,i0,1825325.444
abs,2023-01-01,i1,612060.237
abs,2023-01-01,i2,1172262.61
abs,2023-01-01,i3,41002.597
abs,2023-01-01,i3.1,87329.794
abs,2023-01-01,i3.2,46327.196
abs,2024-01-01,i0,1933209.415
abs,2024-01-01,i1,649270.816
abs,2024-01-01,i2,1229636.711
abs,2024-01-01,i3,54301.888
abs,2024-01-01,i3.1,99054.018
abs,2024-01-01,i3.2,44752.131
abs,2025-01-01,i0,2025379.14
abs,2025-01-01,i1,686851.19
abs,2025-01-01,i2,1255071.564
abs,2025-01-01,i3,83456.386
abs,2025-01-01,i3.1,111866.305
abs,2025-01-01,i3.2,28409.918
growth_yoy,2016-01-01,i0,6.2
growth_yoy,2016-01-01,i1,7.8
growth_yoy,2016-01-01,i2,4.4
growth_yoy,2016-01-01,i3,16.3
growth_yoy,2016-01-01,i3.1,12.2
growth_yoy,2016-01-01,i3.2,-12.8
growth_yoy,2017-01-01,i0,9.8
growth_yoy,2017-01-01,i1,9.7
growth_yoy,2017-01-01,i2,10.7
growth_yoy,2017-01-01,i3,-0.1
growth_yoy,2017-01-01,i3.1,1.3
growth_yoy,2017-01-01,i3.2,12.6
growth_yoy,2018-01-01,i0,5.5
growth_yoy,2018-01-01,i1,6.2
growth_yoy,2018-01-01,i2,7.6
growth_yoy,2018-01-01,i3,-25.9
growth_yoy,2018-01-01,i3.1,-17.6
growth_yoy,2018-01-01,i3.2,41.7
growth_yoy,2019-01-01,i0,4.5
growth_yoy,2019-01-01,i1,4.8
growth_yoy,2019-01-01,i2,3.7
growth_yoy,2019-01-01,i3,16.1
growth_yoy,2019-01-01,i3.1,10.0
growth_yoy,2019-01-01,i3.2,-12.6
growth_yoy,2020-01-01,i0,-6.2
growth_yoy,2020-01-01,i1,-2.3
growth_yoy,2020-01-01,i2,-7.1
growth_yoy,2020-01-01,i3,-30.6
growth_yoy,2020-01-01,i3.1,-7.3
growth_yoy,2020-01-01,i3.2,108.2
growth_yoy,2021-01-01,i0,9.2
growth_yoy,2021-01-01,i1,2.5
growth_yoy,2021-01-01,i2,14.0
growth_yoy,2021-01-01,i3,-5.8
growth_yoy,2021-01-01,i3.1,7.2
growth_yoy,2021-01-01,i3.2,28.7
growth_yoy,2022-01-01,i0,15.9
growth_yoy,2022-01-01,i1,7.5
growth_yoy,2022-01-01,i2,23.6
growth_yoy,2022-01-01,i3,-64.7
growth_yoy,2022-01-01,i3.1,25.4
growth_yoy,2022-01-01,i3.2,134.4
growth_yoy,2023-01-01,i0,1.7
growth_yoy,2023-01-01,i1,4.8
growth_yoy,2023-01-01,i2,-2.1
growth_yoy,2023-01-01,i3,219.7
growth_yoy,2023-01-01,i3.1,4.9
growth_yoy,2023-01-01,i3.2,-34.2
growth_yoy,2024-01-01,i0,5.9
growth_yoy,2024-01-01,i1,6.1
growth_yoy,2024-01-01,i2,4.9
growth_yoy,2024-01-01,i3,32.4
growth_yoy,2024-01-01,i3.1,13.4
growth_yoy,2024-01-01,i3.2,-3.4
growth_yoy,2025-01-01,i0,4.8
growth_yoy,2025-01-01,i1,5.8
growth_yoy,2025-01-01,i2,2.1
growth_yoy,2025-01-01,i3,53.7
growth_yoy,2025-01-01,i3.1,12.9
growth_yoy,2025-01-01,i3.2,-36.5
