series,date,sector,value
abs,2015-01-01,p0,1176941.187
abs,2015-01-01,p1,97538.943
abs,2015-01-01,p2,103059.35
abs,2015-01-01,p3,262379.411
abs,2015-01-01,p4,55381.969
abs,2015-01-01,p5,643882.569
abs,2015-01-01,p6,14698.945
abs,2016-01-01,p0,1249697.694
abs,2016-01-01,p1,105755.903
abs,2016-01-01,p2,103958.504
abs,2016-01-01,p3,272395.854
abs,2016-01-01,p4,61089.023
abs,2016-01-01,p5,689969.468
abs,2016-01-01,p6,16528.942
abs,2017-01-01,p0,1372309.832
abs,2017-01-01,p1,117995.008
abs,2017-01-01,p2,121325.739
abs,2017-01-01,p3,299797.483
abs,2017-01-01,p4,66551.682
abs,2017-01-01,p5,747359.81
abs,2017-01-01,p6,19280.11
abs,2018-01-01,p0,1447759.635
abs,2018-01-01,p1,108756.528
abs,2018-01-01,p2,134833.238
abs,2018-01-01,p3,311675.695
abs,2018-01-01,p4,70047.61
abs,2018-01-01,p5,804993.445
abs,2018-01-01,p6,17453.118
abs,2019-01-01,p0,1512737.754
abs,2019-01-01,p1,109542.091
abs,2019-01-01,p2,131083.844
abs,2019-01-01,p3,323861.646
abs,2019-01-01,p4,71067.29
abs,2019-01-01,p5,860130.134
abs,2019-01-01,p6,17052.749
abs,2020-01-01,p0,1418490.911
abs,2020-01-01,p1,115833.555
abs,2020-01-01,p2,96171.783
abs,2020-01-01,p3,315360.117
abs,2020-01-01,p4,57657.452
abs,2020-01-01,p5,817712.705
abs,2020-01-01,p6,15755.299
abs,2021-01-01,p0,1548700.791
abs,2021-01-01,p1,148152.041
abs,2021-01-01,p2,124355.07
abs,2021-01-01,p3,361825.531
abs,2021-01-01,p4,55653.642
abs,2021-01-01,p5,841691.75
abs,2021-01-01,p6,17022.758
abs,2022-01-01,p0,1794893.14
abs,2022-01-01,p1,160855.617
abs,2022-01-01,p2,176249.263
abs,2022-01-01,p3,418897.899
abs,2022-01-01,p4,60823.78
abs,2022-01-01,p5,959254.433
abs,2022-01-01,p6,18812.147
abs,2023-01-01,p0,1825325.444
abs,2023-01-01,p1,141859.064
abs,2023-01-01,p2,154100.762
abs,2023-01-01,p3,419963.129
abs,2023-01-01,p4,65895.267
abs,2023-01-01,p5,1023020.163
abs,2023-01-01,p6,20487.06
abs,2024-01-01,p0,1933209.415
abs,2024-01-01,p1,157431.316
abs,2024-01-01,p2,152705.111
abs,2024-01-01,p3,434851.388
abs,2024-01-01,p4,78095.796
abs,2024-01-01,p5,1087104.31
abs,2024-01-01,p6,23021.493
abs,2025-01-01,p0,2025379.14
abs,2025-01-01,p1,166704.156
abs,2025-01-01,p2,138680.974
abs,2025-01-01,p3,447113.365
abs,2025-01-01,p4,86896.526
abs,2025-01-01,p5,1159235.792
abs,2025-01-01,p6,26748.326
growth_yoy,2016-01-01,p0,6.2
growth_yoy,2016-01-01,p1,8.4
growth_yoy,2016-01-01,p2,0.9
growth_yoy,2016-01-01,p3,3.8
growth_yoy,2016-01-01,p4,10.3
growth_yoy,2016-01-01,p5,7.2
growth_yoy,2016-01-01,p6,12.4
growth_yoy,2017-01-01,p0,9.8
growth_yoy,2017-01-01,p1,11.6
growth_yoy,2017-01-01,p2,16.7
growth_yoy,2017-01-01,p3,10.1
growth_yoy,2017-01-01,p4,8.9
growth_yoy,2017-01-01,p5,8.3
growth_yoy,2017-01-01,p6,16.6
growth_yoy,2018-01-01,p0,5.5
growth_yoy,2018-01-01,p1,-7.8
growth_yoy,2018-01-01,p2,11.1
growth_yoy,2018-01-01,p3,4.0
growth_yoy,2018-01-01,p4,5.3
growth_yoy,2018-01-01,p5,7.7
growth_yoy,2018-01-01,p6,-9.5
growth_yoy,2019-01-01,p0,4.5
growth_yoy,2019-01-01,p1,0.7
growth_yoy,2019-01-01,p2,-2.8
growth_yoy,2019-01-01,p3,3.9
growth_yoy,2019-01-01,p4,1.5
growth_yoy,2019-01-01,p5,6.8
growth_yoy,2019-01-01,p6,-2.3
growth_yoy,2020-01-01,p0,-6.2
growth_yoy,2020-01-01,p1,5.7
growth_yoy,2020-01-01,p2,-26.6
growth_yoy,2020-01-01,p3,-2.6
growth_yoy,2020-01-01,p4,-18.9
growth_yoy,2020-01-01,p5,-4.9
growth_yoy,2020-01-01,p6,-7.6
growth_yoy,2021-01-01,p0,9.2
growth_yoy,2021-01-01,p1,27.9
growth_yoy,2021-01-01,p2,29.3
growth_yoy,2021-01-01,p3,14.7
growth_yoy,2021-01-01,p4,-3.5
growth_yoy,2021-01-01,p5,2.9
growth_yoy,2021-01-01,p6,8.0
growth_yoy,2022-01-01,p0,15.9
growth_yoy,2022-01-01,p1,8.6
growth_yoy,2022-01-01,p2,41.7
growth_yoy,2022-01-01,p3,15.8
growth_yoy,2022-01-01,p4,9.3
growth_yoy,2022-01-01,p5,14.0
growth_yoy,2022-01-01,p6,10.5
growth_yoy,2023-01-01,p0,1.7
growth_yoy,2023-01-01,p1,-11.8
growth_yoy,2023-01-01,p2,-12.6
growth_yoy,2023-01-01,p3,0.3
growth_yoy,2023-01-01,p4,8.3
growth_yoy,2023-01-01,p5,6.6
growth_yoy,2023-01-01,p6,8.9
growth_yoy,2024-01-01,p0,5.9
growth_yoy,2024-01-01,p1,11.0
growth_yoy,2024-01-01,p2,-0.9
growth_yoy,2024-01-01,p3,3.5
growth_yoy,2024-01-01,p4,18.5
growth_yoy,2024-01-01,p5,6.3
growth_yoy,2024-01-01,p6,12.4
growth_yoy,2025-01-01,p0,4.8
growth_yoy,2025-01-01,p1,5.9
growth_yoy,2025-01-01,p2,-9.2
growth_yoy,2025-01-01,p3,2.8
growth_yoy,2025-01-01,p4,11.3
growth_yoy,2025-01-01,p5,6.6
growth_yoy,2025-01-01,p6,16.2
