series,date,type,value
abs,2015-01-01,e0,1176941.187
abs,2015-01-01,e1,635099.434
abs,2015-01-01,e2,154021.124
abs,2015-01-01,e3,304423.412
abs,2015-01-01,e4,-5194.786
abs,2015-01-01,e5,817370.247
abs,2015-01-01,e6,728778.243
abs,2016-01-01,e0,1229312.497
abs,2016-01-01,e1,672260.281
abs,2016-01-01,e2,155639.602
abs,2016-01-01,e3,312190.085
abs,2016-01-01,e4,297.253
abs,2016-01-01,e5,828155.275
abs,2016-01-01,e6,739229.999
abs,2017-01-01,e0,1300769.02
abs,2017-01-01,e1,718701.809
abs,2017-01-01,e2,164449.591
abs,2017-01-01,e3,331092.542
abs,2017-01-01,e4,1031.922
abs,2017-01-01,e5,900063.996
abs,2017-01-01,e6,814570.841
abs,2018-01-01,e0,1363766.395
abs,2018-01-01,e1,776053.764
abs,2018-01-01,e2,170029.538
abs,2018-01-01,e3,335592.467
abs,2018-01-01,e4,-8677.708
abs,2018-01-01,e5,917462.147
abs,2018-01-01,e6,826693.815
abs,2019-01-01,e0,1423951.962
abs,2019-01-01,e1,835714.307
abs,2019-01-01,e2,172659.052
abs,2019-01-01,e3,328535.72
abs,2019-01-01,e4,-13882.584
abs,2019-01-01,e5,907877.022
abs,2019-01-01,e6,806951.555
abs,2020-01-01,e0,1346249.088
abs,2020-01-01,e1,802747.181
abs,2020-01-01,e2,179721.364
abs,2020-01-01,e3,281174.994
abs,2020-01-01,e4,-4464.009
abs,2020-01-01,e5,830156.773
abs,2020-01-01,e6,743087.214
abs,2021-01-01,e0,1390881.951
abs,2021-01-01,e1,817102.783
abs,2021-01-01,e2,190209.591
abs,2021-01-01,e3,279242.417
abs,2021-01-01,e4,20749.147
abs,2021-01-01,e5,984094.407
abs,2021-01-01,e6,900516.394
abs,2022-01-01,e0,1516502.754
abs,2022-01-01,e1,910364.129
abs,2022-01-01,e2,200948.174
abs,2022-01-01,e3,298339.661
abs,2022-01-01,e4,24506.474
abs,2022-01-01,e5,1126873.228
abs,2022-01-01,e6,1044528.912
abs,2023-01-01,e0,1570774.181
abs,2023-01-01,e1,951829.681
abs,2023-01-01,e2,209644.389
abs,2023-01-01,e3,314491.941
abs,2023-01-01,e4,30731.376
abs,2023-01-01,e5,1038084.644
abs,2023-01-01,e6,974007.851
abs,2024-01-01,e0,1651872.788
abs,2024-01-01,e1,997503.207
abs,2024-01-01,e2,219198.692
abs,2024-01-01,e3,352557.328
abs,2024-01-01,e4,14247.136
abs,2024-01-01,e5,1127228.51
abs,2024-01-01,e6,1058862.085
abs,2025-01-01,e0,1736953.27
abs,2025-01-01,e1,1050775.684
abs,2025-01-01,e2,230830.373
abs,2025-01-01,e3,386376.289
abs,2025-01-01,e4,11258.13
abs,2025-01-01,e5,1182936.868
abs,2025-01-01,e6,1125224.074
growth_yoy,2016-01-01,e0,4.4
growth_yoy,2016-01-01,e1,5.9
growth_yoy,2016-01-01,e2,1.1
growth_yoy,2016-01-01,e3,2.6
growth_yoy,2016-01-01,e5,1.3
growth_yoy,2016-01-01,e6,1.4
growth_yoy,2017-01-01,e0,5.8
growth_yoy,2017-01-01,e1,6.9
growth_yoy,2017-01-01,e2,5.7
growth_yoy,2017-01-01,e3,6.1
growth_yoy,2017-01-01,e5,8.7
growth_yoy,2017-01-01,e6,10.2
growth_yoy,2018-01-01,e0,4.8
growth_yoy,2018-01-01,e1,8.0
growth_yoy,2018-01-01,e2,3.4
growth_yoy,2018-01-01,e3,1.4
growth_yoy,2018-01-01,e5,1.9
growth_yoy,2018-01-01,e6,1.5
growth_yoy,2019-01-01,e0,4.4
growth_yoy,2019-01-01,e1,7.7
growth_yoy,2019-01-01,e2,1.5
growth_yoy,2019-01-01,e3,-2.1
growth_yoy,2019-01-01,e5,-1.0
growth_yoy,2019-01-01,e6,-2.4
growth_yoy,2020-01-01,e0,-5.5
growth_yoy,2020-01-01,e1,-3.9
growth_yoy,2020-01-01,e2,4.1
growth_yoy,2020-01-01,e3,-14.4
growth_yoy,2020-01-01,e5,-8.6
growth_yoy,2020-01-01,e6,-7.9
growth_yoy,2021-01-01,e0,3.3
growth_yoy,2021-01-01,e1,1.8
growth_yoy,2021-01-01,e2,5.8
growth_yoy,2021-01-01,e3,-0.7
growth_yoy,2021-01-01,e5,18.5
growth_yoy,2021-01-01,e6,21.2
growth_yoy,2022-01-01,e0,9.0
growth_yoy,2022-01-01,e1,11.4
growth_yoy,2022-01-01,e2,5.6
growth_yoy,2022-01-01,e3,6.8
growth_yoy,2022-01-01,e5,14.5
growth_yoy,2022-01-01,e6,16.0
growth_yoy,2023-01-01,e0,3.6
growth_yoy,2023-01-01,e1,4.6
growth_yoy,2023-01-01,e2,4.3
growth_yoy,2023-01-01,e3,5.4
growth_yoy,2023-01-01,e5,-7.9
growth_yoy,2023-01-01,e6,-6.8
growth_yoy,2024-01-01,e0,5.2
growth_yoy,2024-01-01,e1,4.8
growth_yoy,2024-01-01,e2,4.6
growth_yoy,2024-01-01,e3,12.1
growth_yoy,2024-01-01,e5,8.6
growth_yoy,2024-01-01,e6,8.7
growth_yoy,2025-01-01,e0,5.2
growth_yoy,2025-01-01,e1,5.3
growth_yoy,2025-01-01,e2,5.3
growth_yoy,2025-01-01,e3,9.6
growth_yoy,2025-01-01,e5,4.9
growth_yoy,2025-01-01,e6,6.3
