series,date,sector,value
abs,2015-01-01,p0,1176941.187
abs,2015-01-01,p1,97538.943
abs,2015-01-01,p2,103059.35
abs,2015-01-01,p3,262379.411
abs,2015-01-01,p4,55381.969
abs,2015-01-01,p5,643882.569
abs,2015-01-01,p6,14698.945
abs,2016-01-01,p0,1229312.497
abs,2016-01-01,p1,93977.445
abs,2016-01-01,p2,105367.659
abs,2016-01-01,p3,273898.543
abs,2016-01-01,p4,59507.909
abs,2016-01-01,p5,680561.319
abs,2016-01-01,p6,15999.622
abs,2017-01-01,p0,1300769.02
abs,2017-01-01,p1,99508.778
abs,2017-01-01,p2,105837.798
abs,2017-01-01,p3,290463.685
abs,2017-01-01,p4,63521.684
abs,2017-01-01,p5,723360.73
abs,2017-01-01,p6,18076.345
abs,2018-01-01,p0,1363766.395
abs,2018-01-01,p1,99637.079
abs,2018-01-01,p2,103557.006
abs,2018-01-01,p3,304842.657
abs,2018-01-01,p4,66194.272
abs,2018-01-01,p5,772989.861
abs,2018-01-01,p6,16545.52
abs,2019-01-01,p0,1423951.962
abs,2019-01-01,p1,101573.328
abs,2019-01-01,p2,102887.372
abs,2019-01-01,p3,316282.973
abs,2019-01-01,p4,66452.57
abs,2019-01-01,p5,820576.48
abs,2019-01-01,p6,16179.239
abs,2020-01-01,p0,1346249.088
abs,2020-01-01,p1,99109.202
abs,2020-01-01,p2,92879.418
abs,2020-01-01,p3,307605.61
abs,2020-01-01,p4,53616.193
abs,2020-01-01,p5,777692.911
abs,2020-01-01,p6,15345.755
abs,2021-01-01,p0,1390881.951
abs,2021-01-01,p1,98843.235
abs,2021-01-01,p2,93717.128
abs,2021-01-01,p3,336724.36
abs,2021-01-01,p4,50838.937
abs,2021-01-01,p5,795116.297
abs,2021-01-01,p6,15641.993
abs,2022-01-01,p0,1516502.754
abs,2022-01-01,p1,100164.026
abs,2022-01-01,p2,97003.933
abs,2022-01-01,p3,364225.592
abs,2022-01-01,p4,53455.043
abs,2022-01-01,p5,884870.339
abs,2022-01-01,p6,16783.821
abs,2023-01-01,p0,1570774.181
abs,2023-01-01,p1,100573.291
abs,2023-01-01,p2,97537.292
abs,2023-01-01,p3,366817.115
abs,2023-01-01,p4,56616.414
abs,2023-01-01,p5,930840.209
abs,2023-01-01,p6,18389.861
abs,2024-01-01,p0,1651872.788
abs,2024-01-01,p1,104031.29
abs,2024-01-01,p2,98684.638
abs,2024-01-01,p3,382059.631
abs,2024-01-01,p4,66593.712
abs,2024-01-01,p5,980691.211
abs,2024-01-01,p6,19812.307
abs,2025-01-01,p0,1736953.27
abs,2025-01-01,p1,106353.569
abs,2025-01-01,p2,99258.453
abs,2025-01-01,p3,399362.634
abs,2025-01-01,p4,74709.048
abs,2025-01-01,p5,1033979.792
abs,2025-01-01,p6,23289.773
growth_yoy,2016-01-01,p0,4.4
growth_yoy,2016-01-01,p1,-3.7
growth_yoy,2016-01-01,p2,2.2
growth_yoy,2016-01-01,p3,4.4
growth_yoy,2016-01-01,p4,7.4
growth_yoy,2016-01-01,p5,5.7
growth_yoy,2016-01-01,p6,8.8
growth_yoy,2017-01-01,p0,5.8
growth_yoy,2017-01-01,p1,5.9
growth_yoy,2017-01-01,p2,0.4
growth_yoy,2017-01-01,p3,6.0
growth_yoy,2017-01-01,p4,6.7
growth_yoy,2017-01-01,p5,6.3
growth_yoy,2017-01-01,p6,13.0
growth_yoy,2018-01-01,p0,4.8
growth_yoy,2018-01-01,p1,0.1
growth_yoy,2018-01-01,p2,-2.2
growth_yoy,2018-01-01,p3,5.0
growth_yoy,2018-01-01,p4,4.2
growth_yoy,2018-01-01,p5,6.9
growth_yoy,2018-01-01,p6,-8.5
growth_yoy,2019-01-01,p0,4.4
growth_yoy,2019-01-01,p1,1.9
growth_yoy,2019-01-01,p2,-0.6
growth_yoy,2019-01-01,p3,3.8
growth_yoy,2019-01-01,p4,0.4
growth_yoy,2019-01-01,p5,6.2
growth_yoy,2019-01-01,p6,-2.2
growth_yoy,2020-01-01,p0,-5.5
growth_yoy,2020-01-01,p1,-2.4
growth_yoy,2020-01-01,p2,-9.7
growth_yoy,2020-01-01,p3,-2.7
growth_yoy,2020-01-01,p4,-19.3
growth_yoy,2020-01-01,p5,-5.2
growth_yoy,2020-01-01,p6,-5.2
growth_yoy,2021-01-01,p0,3.3
growth_yoy,2021-01-01,p1,-0.3
growth_yoy,2021-01-01,p2,0.9
growth_yoy,2021-01-01,p3,9.5
growth_yoy,2021-01-01,p4,-5.2
growth_yoy,2021-01-01,p5,2.2
growth_yoy,2021-01-01,p6,1.9
growth_yoy,2022-01-01,p0,9.0
growth_yoy,2022-01-01,p1,1.3
growth_yoy,2022-01-01,p2,3.5
growth_yoy,2022-01-01,p3,8.2
growth_yoy,2022-01-01,p4,5.1
growth_yoy,2022-01-01,p5,11.3
growth_yoy,2022-01-01,p6,7.3
growth_yoy,2023-01-01,p0,3.6
growth_yoy,2023-01-01,p1,0.4
growth_yoy,2023-01-01,p2,0.5
growth_yoy,2023-01-01,p3,0.7
growth_yoy,2023-01-01,p4,5.9
growth_yoy,2023-01-01,p5,5.2
growth_yoy,2023-01-01,p6,9.6
growth_yoy,2024-01-01,p0,5.2
growth_yoy,2024-01-01,p1,3.4
growth_yoy,2024-01-01,p2,1.2
growth_yoy,2024-01-01,p3,4.2
growth_yoy,2024-01-01,p4,17.6
growth_yoy,2024-01-01,p5,5.4
growth_yoy,2024-01-01,p6,7.7
growth_yoy,2025-01-01,p0,5.2
growth_yoy,2025-01-01,p1,2.2
growth_yoy,2025-01-01,p2,0.6
growth_yoy,2025-01-01,p3,4.5
growth_yoy,2025-01-01,p4,12.2
growth_yoy,2025-01-01,p5,5.4
growth_yoy,2025-01-01,p6,17.6
