series,state,district,date,sector,value
abs,Johor,Batu Pahat,2015-01-01,p0,11605.5017
abs,Johor,Batu Pahat,2015-01-01,p1,2177.257
abs,Johor,Batu Pahat,2015-01-01,p2,13.0113
abs,Johor,Batu Pahat,2015-01-01,p3,3255.7651
abs,Johor,Batu Pahat,2015-01-01,p4,109.0029
abs,Johor,Batu Pahat,2015-01-01,p5,5915.2628
abs,Johor,Batu Pahat,2016-01-01,p0,12278.8487
abs,Johor,Batu Pahat,2016-01-01,p1,2226.4352
abs,Johor,Batu Pahat,2016-01-01,p2,15.7649
abs,Johor,Batu Pahat,2016-01-01,p3,3460.4801
abs,Johor,Batu Pahat,2016-01-01,p4,159.6552
abs,Johor,Batu Pahat,2016-01-01,p5,6225.9917
abs,Johor,Batu Pahat,2017-01-01,p0,13115.0995
abs,Johor,Batu Pahat,2017-01-01,p1,2333.1613
abs,Johor,Batu Pahat,2017-01-01,p2,18.5291
abs,Johor,Batu Pahat,2017-01-01,p3,3802.4955
abs,Johor,Batu Pahat,2017-01-01,p4,161.2386
abs,Johor,Batu Pahat,2017-01-01,p5,6590.7041
abs,Johor,Batu Pahat,2018-01-01,p0,13689.4696
abs,Johor,Batu Pahat,2018-01-01,p1,2376.1347
abs,Johor,Batu Pahat,2018-01-01,p2,19.1149
abs,Johor,Batu Pahat,2018-01-01,p3,3963.5969
abs,Johor,Batu Pahat,2018-01-01,p4,141.779
abs,Johor,Batu Pahat,2018-01-01,p5,7003.0581
abs,Johor,Batu Pahat,2019-01-01,p0,14499.0001
abs,Johor,Batu Pahat,2019-01-01,p1,2519.2094
abs,Johor,Batu Pahat,2019-01-01,p2,20.0645
abs,Johor,Batu Pahat,2019-01-01,p3,4194.7808
abs,Johor,Batu Pahat,2019-01-01,p4,157.0281
abs,Johor,Batu Pahat,2019-01-01,p5,7425.842
abs,Johor,Batu Pahat,2020-01-01,p0,14327.8642
abs,Johor,Batu Pahat,2020-01-01,p1,2679.8127
abs,Johor,Batu Pahat,2020-01-01,p2,16.6364
abs,Johor,Batu Pahat,2020-01-01,p3,3950.9125
abs,Johor,Batu Pahat,2020-01-01,p4,174.8017
abs,Johor,Batu Pahat,2020-01-01,p5,7357.3782
abs,Johor,Johor Bahru,2015-01-01,p0,54839.5096
abs,Johor,Johor Bahru,2015-01-01,p1,1274.716
abs,Johor,Johor Bahru,2015-01-01,p2,130.3539
abs,Johor,Johor Bahru,2015-01-01,p3,18659.782
abs,Johor,Johor Bahru,2015-01-01,p4,4737.0253
abs,Johor,Johor Bahru,2015-01-01,p5,29348.3593
abs,Johor,Johor Bahru,2016-01-01,p0,57930.774
abs,Johor,Johor Bahru,2016-01-01,p1,1256.1786
abs,Johor,Johor Bahru,2016-01-01,p2,157.7692
abs,Johor,Johor Bahru,2016-01-01,p3,19729.1073
abs,Johor,Johor Bahru,2016-01-01,p4,4235.0185
abs,Johor,Johor Bahru,2016-01-01,p5,31589.3855
abs,Johor,Johor Bahru,2017-01-01,p0,61525.4225
abs,Johor,Johor Bahru,2017-01-01,p1,1379.9883
abs,Johor,Johor Bahru,2017-01-01,p2,188.2492
abs,Johor,Johor Bahru,2017-01-01,p3,21051.8169
abs,Johor,Johor Bahru,2017-01-01,p4,3890.0827
abs,Johor,Johor Bahru,2017-01-01,p5,33962.7697
abs,Johor,Johor Bahru,2018-01-01,p0,65597.6869
abs,Johor,Johor Bahru,2018-01-01,p1,1387.6
abs,Johor,Johor Bahru,2018-01-01,p2,203.8988
abs,Johor,Johor Bahru,2018-01-01,p3,22228.4507
abs,Johor,Johor Bahru,2018-01-01,p4,4192.9854
abs,Johor,Johor Bahru,2018-01-01,p5,36638.5751
abs,Johor,Johor Bahru,2019-01-01,p0,68258.883
abs,Johor,Johor Bahru,2019-01-01,p1,1286.4334
abs,Johor,Johor Bahru,2019-01-01,p2,241.3927
abs,Johor,Johor Bahru,2019-01-01,p3,23341.0205
abs,Johor,Johor Bahru,2019-01-01,p4,3285.4085
abs,Johor,Johor Bahru,2019-01-01,p5,39194.4306
abs,Johor,Johor Bahru,2020-01-01,p0,64279.001
abs,Johor,Johor Bahru,2020-01-01,p1,1292.7065
abs,Johor,Johor Bahru,2020-01-01,p2,190.2128
abs,Johor,Johor Bahru,2020-01-01,p3,21961.8593
abs,Johor,Johor Bahru,2020-01-01,p4,2266.1614
abs,Johor,Johor Bahru,2020-01-01,p5,37827.9486
abs,Johor,Kluang,2015-01-01,p0,8024.9416
abs,Johor,Kluang,2015-01-01,p1,3223.5611
abs,Johor,Kluang,2015-01-01,p2,8.7723
abs,Johor,Kluang,2015-01-01,p3,1626.3621
abs,Johor,Kluang,2015-01-01,p4,51.0657
