series,date,type,value
abs,2015-01-01,e0,282255.0
abs,2015-01-01,e1,154769.0
abs,2015-01-01,e1.1.01,34523.0
abs,2015-01-01,e1.1.03,4343.0
abs,2015-01-01,e1.1.04,25135.0
abs,2015-01-01,e1.1.05,8613.0
abs,2015-01-01,e1.1.07,20335.0
abs,2015-01-01,e1.1.08,12266.0
abs,2015-01-01,e1.1.09,10203.0
abs,2015-01-01,e1.1.11,16282.0
abs,2015-01-01,e1.1.12,23068.0
abs,2015-01-01,e2,32731.0
abs,2015-01-01,e3,74978.0
abs,2015-01-01,e3.1,74978.0
abs,2015-01-01,e3.1.1,41892.0
abs,2015-01-01,e3.1.2,26599.0
abs,2015-01-01,e3.1.3,6487.0
abs,2015-01-01,e3.2,74978.0
abs,2015-01-01,e3.2.1,24443.0
abs,2015-01-01,e3.2.2,50535.0
abs,2015-01-01,e4,-2976.0
abs,2015-01-01,e5,196992.0
abs,2015-01-01,e5.1,162829.0
abs,2015-01-01,e5.2,34163.0
abs,2015-01-01,e6,174240.0
abs,2015-01-01,e6.1,137004.0
abs,2015-01-01,e6.2,37236.0
abs,2015-04-01,e0,288975.0
abs,2015-04-01,e1,154020.0
abs,2015-04-01,e1.1.01,33272.0
abs,2015-04-01,e1.1.03,4601.0
abs,2015-04-01,e1.1.04,25266.0
abs,2015-04-01,e1.1.05,8299.0
abs,2015-04-01,e1.1.07,19655.0
abs,2015-04-01,e1.1.08,12347.0
abs,2015-04-01,e1.1.09,10499.0
abs,2015-04-01,e1.1.11,16023.0
abs,2015-04-01,e1.1.12,24057.0
abs,2015-04-01,e2,34967.0
abs,2015-04-01,e3,77560.0
abs,2015-04-01,e3.1,77560.0
abs,2015-04-01,e3.1.1,45186.0
abs,2015-04-01,e3.1.2,24798.0
abs,2015-04-01,e3.1.3,7576.0
abs,2015-04-01,e3.2,77560.0
abs,2015-04-01,e3.2.1,21270.0
abs,2015-04-01,e3.2.2,56290.0
abs,2015-04-01,e4,2021.0
abs,2015-04-01,e5,195711.0
abs,2015-04-01,e5.1,162501.0
abs,2015-04-01,e5.2,33211.0
abs,2015-04-01,e6,175303.0
abs,2015-04-01,e6.1,138251.0
abs,2015-04-01,e6.2,37052.0
abs,2015-07-01,e0,297965.0
abs,2015-07-01,e1,164632.0
abs,2015-07-01,e1.1.01,36477.0
abs,2015-07-01,e1.1.03,5722.0
abs,2015-07-01,e1.1.04,24845.0
abs,2015-07-01,e1.1.05,8856.0
abs,2015-07-01,e1.1.07,22652.0
abs,2015-07-01,e1.1.08,12336.0
abs,2015-07-01,e1.1.09,10794.0
abs,2015-07-01,e1.1.11,16298.0
abs,2015-07-01,e1.1.12,26652.0
abs,2015-07-01,e2,35910.0
abs,2015-07-01,e3,76447.0
abs,2015-07-01,e3.1,76447.0
abs,2015-07-01,e3.1.1,44164.0
abs,2015-07-01,e3.1.2,25312.0
abs,2015-07-01,e3.1.3,6971.0
abs,2015-07-01,e3.2,76448.0
abs,2015-07-01,e3.2.1,24279.0
abs,2015-07-01,e3.2.2,52169.0
abs,2015-07-01,e4,-2072.0
abs,2015-07-01,e5,209491.0
