series,date,value
abs,2015-01-01,289405.0
abs,2015-04-01,293440.0
abs,2015-07-01,295320.0
abs,2015-10-01,298775.0
abs,2016-01-01,301541.0
abs,2016-04-01,305570.0
abs,2016-07-01,308986.0
abs,2016-10-01,313215.0
abs,2017-01-01,318402.0
abs,2017-04-01,323144.0
abs,2017-07-01,327941.0
abs,2017-10-01,331282.0
abs,2018-01-01,335826.0
abs,2018-04-01,340482.0
abs,2018-07-01,342809.0
abs,2018-10-01,344650.0
abs,2019-01-01,349838.0
abs,2019-04-01,359011.0
abs,2019-07-01,360555.0
abs,2019-10-01,354549.0
abs,2020-01-01,350298.0
abs,2020-04-01,298748.0
abs,2020-07-01,353212.0
abs,2020-10-01,343991.0
abs,2021-01-01,348913.0
abs,2021-04-01,347755.0
abs,2021-07-01,337669.0
abs,2021-10-01,356545.0
abs,2022-01-01,366325.0
abs,2022-04-01,379469.0
abs,2022-07-01,386120.0
abs,2022-10-01,384589.0
abs,2023-01-01,387968.0
abs,2023-04-01,388984.0
abs,2023-07-01,396667.0
abs,2023-10-01,397155.0
abs,2024-01-01,404502.0
abs,2024-04-01,411680.0
abs,2024-07-01,417129.0
abs,2024-10-01,418425.0
abs,2025-01-01,422335.964
abs,2025-04-01,430244.882
abs,2025-07-01,438936.053
abs,2025-10-01,444930.627
abs,2026-01-01,444811.618
abs,2026-04-01,456021.953
