series,date,type,value
abs,2015-01-01,e0,289405.0
abs,2015-01-01,e1,156534.0
abs,2015-01-01,e2,37301.0
abs,2015-01-01,e3,76314.0
abs,2015-01-01,e5,199909.0
abs,2015-01-01,e6,178546.0
abs,2015-04-01,e0,293440.0
abs,2015-04-01,e1,157064.0
abs,2015-04-01,e2,37571.0
abs,2015-04-01,e3,75372.0
abs,2015-04-01,e5,201521.0
abs,2015-04-01,e6,178030.0
abs,2015-07-01,e0,295320.0
abs,2015-07-01,e1,159193.0
abs,2015-07-01,e2,38674.0
abs,2015-07-01,e3,76247.0
abs,2015-07-01,e5,206897.0
abs,2015-07-01,e6,185053.0
abs,2015-10-01,e0,298775.0
abs,2015-10-01,e1,162309.0
abs,2015-10-01,e2,40475.0
abs,2015-10-01,e3,76491.0
abs,2015-10-01,e5,209043.0
abs,2015-10-01,e6,187149.0
abs,2016-01-01,e0,301541.0
abs,2016-01-01,e1,164470.0
abs,2016-01-01,e2,38154.0
abs,2016-01-01,e3,76172.0
abs,2016-01-01,e5,201878.0
abs,2016-01-01,e6,182798.0
abs,2016-04-01,e0,305570.0
abs,2016-04-01,e1,166710.0
abs,2016-04-01,e2,39478.0
abs,2016-04-01,e3,79983.0
abs,2016-04-01,e5,205743.0
abs,2016-04-01,e6,182951.0
abs,2016-07-01,e0,308986.0
abs,2016-07-01,e1,169002.0
abs,2016-07-01,e2,39358.0
abs,2016-07-01,e3,77467.0
abs,2016-07-01,e5,206464.0
abs,2016-07-01,e6,182385.0
abs,2016-10-01,e0,313215.0
abs,2016-10-01,e1,172079.0
abs,2016-10-01,e2,38650.0
abs,2016-10-01,e3,78567.0
abs,2016-10-01,e5,214071.0
abs,2016-10-01,e6,191095.0
abs,2017-01-01,e0,318402.0
abs,2017-01-01,e1,175569.0
abs,2017-01-01,e2,40782.0
abs,2017-01-01,e3,83712.0
abs,2017-01-01,e5,222854.0
abs,2017-01-01,e6,207938.0
abs,2017-04-01,e0,323144.0
abs,2017-04-01,e1,178319.0
abs,2017-04-01,e2,41139.0
abs,2017-04-01,e3,82323.0
abs,2017-04-01,e5,224503.0
abs,2017-04-01,e6,200161.0
abs,2017-07-01,e0,327941.0
abs,2017-07-01,e1,180911.0
abs,2017-07-01,e2,41013.0
abs,2017-07-01,e3,82547.0
abs,2017-07-01,e5,228309.0
abs,2017-07-01,e6,204052.0
abs,2017-10-01,e0,331282.0
abs,2017-10-01,e1,183903.0
abs,2017-10-01,e2,41515.0
abs,2017-10-01,e3,82511.0
abs,2017-10-01,e5,224398.0
abs,2017-10-01,e6,202420.0
abs,2018-01-01,e0,335826.0
abs,2018-01-01,e1,187865.0
abs,2018-01-01,e2,40844.0
abs,2018-01-01,e3,83535.0
abs,2018-01-01,e5,228143.0
abs,2018-01-01,e6,203974.0
abs,2018-04-01,e0,340482.0
abs,2018-04-01,e1,193454.0
abs,2018-04-01,e2,42514.0
abs,2018-04-01,e3,84187.0
