series,date,sector,value
abs,2015-01-01,p0,289405.0
abs,2015-01-01,p1,23709.0
abs,2015-01-01,p2,26270.0
abs,2015-01-01,p3,64384.0
abs,2015-01-01,p4,13483.0
abs,2015-01-01,p5,158444.0
abs,2015-01-01,p6,3115.0
abs,2015-04-01,p0,293440.0
abs,2015-04-01,p1,25047.0
abs,2015-04-01,p2,25877.0
abs,2015-04-01,p3,65578.0
abs,2015-04-01,p4,13483.0
abs,2015-04-01,p5,159706.0
abs,2015-04-01,p6,3750.0
abs,2015-07-01,p0,295320.0
abs,2015-07-01,p1,25003.0
abs,2015-07-01,p2,25643.0
abs,2015-07-01,p3,65742.0
abs,2015-07-01,p4,13919.0
abs,2015-07-01,p5,161164.0
abs,2015-07-01,p6,3850.0
abs,2015-10-01,p0,298775.0
abs,2015-10-01,p1,23780.0
abs,2015-10-01,p2,25269.0
abs,2015-10-01,p3,66676.0
abs,2015-10-01,p4,14497.0
abs,2015-10-01,p5,164569.0
abs,2015-10-01,p6,3984.0
abs,2016-01-01,p0,301541.0
abs,2016-01-01,p1,23103.0
abs,2016-01-01,p2,25983.0
abs,2016-01-01,p3,67202.0
abs,2016-01-01,p4,14559.0
abs,2016-01-01,p5,166736.0
abs,2016-01-01,p6,3957.0
abs,2016-04-01,p0,305570.0
abs,2016-04-01,p1,23541.0
abs,2016-04-01,p2,26465.0
abs,2016-04-01,p3,68092.0
abs,2016-04-01,p4,14688.0
abs,2016-04-01,p5,168860.0
abs,2016-04-01,p6,3923.0
abs,2016-07-01,p0,308986.0
abs,2016-07-01,p1,23850.0
abs,2016-07-01,p2,26348.0
abs,2016-07-01,p3,68515.0
abs,2016-07-01,p4,15032.0
abs,2016-07-01,p5,171176.0
abs,2016-07-01,p6,4066.0
abs,2016-10-01,p0,313215.0
abs,2016-10-01,p1,23483.0
abs,2016-10-01,p2,26572.0
abs,2016-10-01,p3,70090.0
abs,2016-10-01,p4,15228.0
abs,2016-10-01,p5,173789.0
abs,2016-10-01,p6,4053.0
abs,2017-01-01,p0,318402.0
abs,2017-01-01,p1,24361.0
abs,2017-01-01,p2,26429.0
abs,2017-01-01,p3,71196.0
abs,2017-01-01,p4,15591.0
abs,2017-01-01,p5,176574.0
abs,2017-01-01,p6,4250.0
abs,2017-04-01,p0,323144.0
abs,2017-04-01,p1,24776.0
abs,2017-04-01,p2,26232.0
abs,2017-04-01,p3,72213.0
abs,2017-04-01,p4,15880.0
abs,2017-04-01,p5,179688.0
abs,2017-04-01,p6,4354.0
abs,2017-07-01,p0,327941.0
abs,2017-07-01,p1,24772.0
abs,2017-07-01,p2,26996.0
abs,2017-07-01,p3,73183.0
abs,2017-07-01,p4,15947.0
abs,2017-07-01,p5,182329.0
abs,2017-07-01,p6,4714.0
abs,2017-10-01,p0,331282.0
abs,2017-10-01,p1,25599.0
abs,2017-10-01,p2,26181.0
abs,2017-10-01,p3,73871.0
abs,2017-10-01,p4,16103.0
abs,2017-10-01,p5,184770.0
abs,2017-10-01,p6,4758.0
abs,2018-01-01,p0,335826.0
abs,2018-01-01,p1,25129.0
abs,2018-01-01,p2,25928.0
abs,2018-01-01,p3,75041.0
abs,2018-01-01,p4,16452.0
abs,2018-01-01,p5,188364.0
abs,2018-01-01,p6,4912.0
abs,2018-04-01,p0,340482.0
abs,2018-04-01,p1,24335.0
abs,2018-04-01,p2,25884.0
abs,2018-04-01,p3,76183.0
abs,2018-04-01,p4,16810.0
abs,2018-04-01,p5,192865.0
abs,2018-04-01,p6,4405.0
abs,2018-07-01,p0,342809.0
abs,2018-07-01,p1,24496.0
abs,2018-07-01,p2,25709.0
abs,2018-07-01,p3,76836.0
abs,2018-07-01,p4,16762.0
abs,2018-07-01,p5,195849.0
abs,2018-07-01,p6,3158.0
abs,2018-10-01,p0,344650.0
abs,2018-10-01,p1,25677.0
abs,2018-10-01,p2,26036.0
abs,2018-10-01,p3,76782.0
abs,2018-10-01,p4,16171.0
abs,2018-10-01,p5,195912.0
abs,2018-10-01,p6,4071.0
abs,2019-01-01,p0,349838.0
abs,2019-01-01,p1,26667.0
abs,2019-01-01,p2,25783.0
abs,2019-01-01,p3,77913.0
abs,2019-01-01,p4,16477.0
abs,2019-01-01,p5,199022.0
abs,2019-01-01,p6,3976.0
abs,2019-04-01,p0,359011.0
abs,2019-04-01,p1,25174.0
abs,2019-04-01,p2,26330.0
abs,2019-04-01,p3,80026.0
abs,2019-04-01,p4,17078.0
abs,2019-04-01,p5,206162.0
abs,2019-04-01,p6,4240.0
abs,2019-07-01,p0,360555.0
abs,2019-07-01,p1,25261.0
abs,2019-07-01,p2,25435.0
abs,2019-07-01,p3,79851.0
