series,date,sector,value
abs,2015-01-01,p0,282255.0
abs,2015-01-01,p1,21691.0
abs,2015-01-01,p2,26879.0
abs,2015-01-01,p3,62333.0
abs,2015-01-01,p4,13728.0
abs,2015-01-01,p5,154469.0
abs,2015-01-01,p6,3154.0
abs,2015-04-01,p0,288975.0
abs,2015-04-01,p1,24001.0
abs,2015-04-01,p2,25729.0
abs,2015-04-01,p3,65695.0
abs,2015-04-01,p4,12927.0
abs,2015-04-01,p5,156945.0
abs,2015-04-01,p6,3678.0
abs,2015-07-01,p0,297965.0
abs,2015-07-01,p1,27685.0
abs,2015-07-01,p2,24260.0
abs,2015-07-01,p3,65851.0
abs,2015-07-01,p4,14332.0
abs,2015-07-01,p5,162177.0
abs,2015-07-01,p6,3660.0
abs,2015-10-01,p0,307745.0
abs,2015-10-01,p1,24161.0
abs,2015-10-01,p2,26191.0
abs,2015-10-01,p3,68500.0
abs,2015-10-01,p4,14395.0
abs,2015-10-01,p5,170292.0
abs,2015-10-01,p6,4207.0
abs,2016-01-01,p0,294329.0
abs,2016-01-01,p1,21208.0
abs,2016-01-01,p2,26586.0
abs,2016-01-01,p3,65146.0
abs,2016-01-01,p4,14825.0
abs,2016-01-01,p5,162558.0
abs,2016-01-01,p6,4006.0
abs,2016-04-01,p0,301015.0
abs,2016-04-01,p1,22617.0
abs,2016-04-01,p2,26313.0
abs,2016-04-01,p3,68160.0
abs,2016-04-01,p4,14083.0
abs,2016-04-01,p5,165993.0
abs,2016-04-01,p6,3848.0
abs,2016-07-01,p0,311510.0
abs,2016-07-01,p1,26404.0
abs,2016-07-01,p2,24927.0
abs,2016-07-01,p3,68630.0
abs,2016-07-01,p4,15478.0
abs,2016-07-01,p5,172206.0
abs,2016-07-01,p6,3865.0
abs,2016-10-01,p0,322458.0
abs,2016-10-01,p1,23748.0
abs,2016-10-01,p2,27542.0
abs,2016-10-01,p3,71962.0
abs,2016-10-01,p4,15121.0
abs,2016-10-01,p5,179805.0
abs,2016-10-01,p6,4280.0
abs,2017-01-01,p0,310744.0
abs,2017-01-01,p1,22608.0
abs,2017-01-01,p2,26845.0
abs,2017-01-01,p3,69022.0
abs,2017-01-01,p4,15832.0
abs,2017-01-01,p5,172090.0
abs,2017-01-01,p6,4348.0
abs,2017-04-01,p0,318231.0
abs,2017-04-01,p1,23644.0
abs,2017-04-01,p2,26187.0
abs,2017-04-01,p3,72242.0
abs,2017-04-01,p4,15253.0
abs,2017-04-01,p5,176593.0
abs,2017-04-01,p6,4312.0
abs,2017-07-01,p0,330664.0
abs,2017-07-01,p1,27266.0
abs,2017-07-01,p2,25500.0
abs,2017-07-01,p3,73442.0
abs,2017-07-01,p4,16431.0
abs,2017-07-01,p5,183517.0
abs,2017-07-01,p6,4509.0
abs,2017-10-01,p0,341129.0
abs,2017-10-01,p1,25990.0
abs,2017-10-01,p2,27305.0
abs,2017-10-01,p3,75758.0
abs,2017-10-01,p4,16006.0
abs,2017-10-01,p5,191161.0
abs,2017-10-01,p6,4908.0
abs,2018-01-01,p0,327096.0
abs,2018-01-01,p1,23298.0
abs,2018-01-01,p2,26189.0
abs,2018-01-01,p3,72643.0
abs,2018-01-01,p4,16604.0
abs,2018-01-01,p5,183367.0
abs,2018-01-01,p6,4995.0
abs,2018-04-01,p0,333438.0
abs,2018-04-01,p1,23292.0
abs,2018-04-01,p2,25853.0
abs,2018-04-01,p3,75745.0
abs,2018-04-01,p4,15985.0
abs,2018-04-01,p5,188290.0
abs,2018-04-01,p6,4272.0
abs,2018-07-01,p0,345685.0
abs,2018-07-01,p1,27089.0
abs,2018-07-01,p2,24238.0
abs,2018-07-01,p3,77131.0
abs,2018-07-01,p4,17206.0
abs,2018-07-01,p5,196947.0
abs,2018-07-01,p6,3074.0
abs,2018-10-01,p0,357547.0
abs,2018-10-01,p1,25958.0
abs,2018-10-01,p2,27277.0
abs,2018-10-01,p3,79324.0
abs,2018-10-01,p4,16399.0
abs,2018-10-01,p5,204386.0
abs,2018-10-01,p6,4204.0
abs,2019-01-01,p0,342373.0
abs,2019-01-01,p1,24707.0
abs,2019-01-01,p2,26216.0
abs,2019-01-01,p3,75627.0
abs,2019-01-01,p4,16704.0
abs,2019-01-01,p5,195144.0
abs,2019-01-01,p6,3976.0
abs,2019-04-01,p0,349910.0
abs,2019-04-01,p1,24266.0
abs,2019-04-01,p2,26483.0
abs,2019-04-01,p3,79005.0
abs,2019-04-01,p4,16161.0
abs,2019-04-01,p5,199852.0
abs,2019-04-01,p6,4142.0
abs,2019-07-01,p0,361117.0
abs,2019-07-01,p1,28082.0
abs,2019-07-01,p2,23567.0
abs,2019-07-01,p3,79922.0
abs,2019-07-01,p4,16967.0
abs,2019-07-01,p5,208474.0
abs,2019-07-01,p6,4106.0
abs,2019-10-01,p0,370552.0
abs,2019-10-01,p1,24519.0
abs,2019-10-01,p2,26622.0
abs,2019-10-01,p3,81729.0
abs,2019-10-01,p4,16620.0
abs,2019-10-01,p5,217106.0
abs,2019-10-01,p6,3956.0
abs,2020-01-01,p0,344690.0
abs,2020-01-01,p1,22532.0
abs,2020-01-01,p2,25460.0
abs,2020-01-01,p3,76635.0
abs,2020-01-01,p4,15377.0
abs,2020-01-01,p5,201339.0
abs,2020-01-01,p6,3347.0
abs,2020-04-01,p0,290686.0
abs,2020-04-01,p1,24421.0
abs,2020-04-01,p2,21387.0
abs,2020-04-01,p3,64343.0
abs,2020-04-01,p4,9003.0
abs,2020-04-01,p5,168097.0
abs,2020-04-01,p6,3435.0
abs,2020-07-01,p0,352137.0
abs,2020-07-01,p1,27938.0
abs,2020-07-01,p2,22009.0
abs,2020-07-01,p3,82446.0
abs,2020-07-01,p4,14890.0
abs,2020-07-01,p5,201009.0
abs,2020-07-01,p6,3844.0
abs,2020-10-01,p0,358736.0
abs,2020-10-01,p1,24218.0
abs,2020-10-01,p2,24023.0
abs,2020-10-01,p3,84182.0
abs,2020-10-01,p4,14346.0
abs,2020-10-01,p5,207248.0
abs,2020-10-01,p6,4720.0
abs,2021-01-01,p0,343912.379
abs,2021-01-01,p1,22556.794
abs,2021-01-01,p2,24629.68
abs,2021-01-01,p3,81681.707
abs,2021-01-01,p4,13766.259
abs,2021-01-01,p5,197339.963
abs,2021-01-01,p6,3937.976
abs,2021-04-01,p0,338160.18
abs,2021-04-01,p1,24050.129
abs,2021-04-01,p2,24073.234
abs,2021-04-01,p3,81515.941
abs,2021-04-01,p4,12633.948
abs,2021-04-01,p5,191668.515
abs,2021-04-01,p6,4218.413
abs,2021-07-01,p0,337421.281
abs,2021-07-01,p1,27315.03
abs,2021-07-01,p2,21206.905
abs,2021-07-01,p3,81670.066
abs,2021-07-01,p4,11829.512
abs,2021-07-01,p5,192121.655
abs,2021-07-01,p6,3278.114
abs,2021-10-01,p0,371388.111
abs,2021-10-01,p1,24921.282
abs,2021-10-01,p2,23807.309
abs,2021-10-01,p3,91856.647
abs,2021-10-01,p4,12609.218
abs,2021-10-01,p5,213986.164
abs,2021-10-01,p6,4207.49
abs,2022-01-01,p0,361334.789
abs,2022-01-01,p1,22929.181
abs,2022-01-01,p2,24378.353
abs,2022-01-01,p3,87195.1
abs,2022-01-01,p4,12943.69
abs,2022-01-01,p5,210075.666
abs,2022-01-01,p6,3812.799
abs,2022-04-01,p0,369428.932
abs,2022-04-01,p1,23646.727
abs,2022-04-01,p2,23667.24
abs,2022-04-01,p3,89063.314
abs,2022-04-01,p4,12973.354
abs,2022-04-01,p5,215854.437
abs,2022-04-01,p6,4223.86
abs,2022-07-01,p0,386819.905
abs,2022-07-01,p1,28022.425
abs,2022-07-01,p2,23422.312
abs,2022-07-01,p3,92430.813
abs,2022-07-01,p4,13626.439
abs,2022-07-01,p5,225149.521
abs,2022-07-01,p6,4168.395
abs,2022-10-01,p0,398919.128
abs,2022-10-01,p1,25565.693
abs,2022-10-01,p2,25536.029
abs,2022-10-01,p3,95536.365
abs,2022-10-01,p4,13911.559
abs,2022-10-01,p5,233790.715
abs,2022-10-01,p6,4578.767
abs,2023-01-01,p0,381841.342
abs,2023-01-01,p1,23170.943
abs,2023-01-01,p2,25112.444
abs,2023-01-01,p3,90015.107
abs,2023-01-01,p4,13859.624
abs,2023-01-01,p5,225435.866
abs,2023-01-01,p6,4247.358
abs,2023-04-01,p0,379442.821
abs,2023-04-01,p1,23417.462
abs,2023-04-01,p2,23142.715
abs,2023-04-01,p3,89177.157
abs,2023-04-01,p4,13724.809
abs,2023-04-01,p5,225429.242
abs,2023-04-01,p6,4551.436
abs,2023-07-01,p0,398974.95
abs,2023-07-01,p1,28115.613
abs,2023-07-01,p2,22944.481
abs,2023-07-01,p3,92330.325
abs,2023-07-01,p4,14656.368
abs,2023-07-01,p5,236406.195
abs,2023-07-01,p6,4521.969
abs,2023-10-01,p0,410515.067
abs,2023-10-01,p1,25869.273
abs,2023-10-01,p2,26337.651
abs,2023-10-01,p3,95294.526
abs,2023-10-01,p4,14375.613
abs,2023-10-01,p5,243568.906
abs,2023-10-01,p6,5069.098
abs,2024-01-01,p0,397764.525
abs,2024-01-01,p1,23646.519
abs,2024-01-01,p2,26148.204
abs,2024-01-01,p3,91868.07
abs,2024-01-01,p4,15495.753
abs,2024-01-01,p5,236156.439
abs,2024-01-01,p6,4449.54
abs,2024-04-01,p0,402102.247
abs,2024-04-01,p1,25277.831
abs,2024-04-01,p2,23762.335
abs,2024-04-01,p3,93392.61
abs,2024-04-01,p4,16120.435
abs,2024-04-01,p5,238958.868
abs,2024-04-01,p6,4590.168
abs,2024-07-01,p0,420853.777
abs,2024-07-01,p1,29320.142
abs,2024-07-01,p2,22390.653
abs,2024-07-01,p3,97463.085
abs,2024-07-01,p4,17595.314
abs,2024-07-01,p5,248811.568
abs,2024-07-01,p6,5273.016
abs,2024-10-01,p0,431152.239
abs,2024-10-01,p1,25786.798
abs,2024-10-01,p2,26383.446
abs,2024-10-01,p3,99335.866
abs,2024-10-01,p4,17382.21
abs,2024-10-01,p5,256764.336
abs,2024-10-01,p6,5499.584
abs,2025-01-01,p0,415440.954
abs,2025-01-01,p1,23805.144
abs,2025-01-01,p2,25471.723
abs,2025-01-01,p3,95681.554
abs,2025-01-01,p4,17697.098
abs,2025-01-01,p5,248151.253
abs,2025-01-01,p6,4634.183
abs,2025-04-01,p0,420534.085
abs,2025-04-01,p1,25912.73
abs,2025-04-01,p2,22533.51
abs,2025-04-01,p3,96893.161
abs,2025-04-01,p4,18074.691
abs,2025-04-01,p5,251194.126
abs,2025-04-01,p6,5925.868
abs,2025-07-01,p0,443119.629
abs,2025-07-01,p1,29368.084
abs,2025-07-01,p2,24494.453
abs,2025-07-01,p3,101444.381
abs,2025-07-01,p4,19656.496
abs,2025-07-01,p5,262006.173
abs,2025-07-01,p6,6150.041
abs,2025-10-01,p0,457858.602
abs,2025-10-01,p1,27267.612
abs,2025-10-01,p2,26758.767
abs,2025-10-01,p3,105343.539
abs,2025-10-01,p4,19280.763
abs,2025-10-01,p5,272628.24
abs,2025-10-01,p6,6579.681
abs,2026-01-01,p0,437670.264
abs,2026-01-01,p1,24420.432
abs,2026-01-01,p2,24933.182
abs,2026-01-01,p3,101295.163
abs,2026-01-01,p4,19063.802
abs,2026-01-01,p5,261968.893
abs,2026-01-01,p6,5988.791
abs,2026-04-01,p0,445896.454
abs,2026-04-01,p1,24966.472
abs,2026-04-01,p2,24614.881
abs,2026-04-01,p3,104007.463
abs,2026-04-01,p4,19256.324
abs,2026-04-01,p5,265967.68
abs,2026-04-01,p6,7083.633
growth_yoy,2016-01-01,p0,4.3
growth_yoy,2016-01-01,p1,-2.2
growth_yoy,2016-01-01,p2,-1.1
growth_yoy,2016-01-01,p3,4.5
growth_yoy,2016-01-01,p4,8.0
growth_yoy,2016-01-01,p5,5.2
growth_yoy,2016-01-01,p6,27.0
growth_yoy,2016-04-01,p0,4.2
growth_yoy,2016-04-01,p1,-5.8
growth_yoy,2016-04-01,p2,2.3
growth_yoy,2016-04-01,p3,3.8
growth_yoy,2016-04-01,p4,8.9
growth_yoy,2016-04-01,p5,5.8
growth_yoy,2016-04-01,p6,4.6
growth_yoy,2016-07-01,p0,4.5
growth_yoy,2016-07-01,p1,-4.6
growth_yoy,2016-07-01,p2,2.7
growth_yoy,2016-07-01,p3,4.2
growth_yoy,2016-07-01,p4,8.0
growth_yoy,2016-07-01,p5,6.2
growth_yoy,2016-07-01,p6,5.6
growth_yoy,2016-10-01,p0,4.8
growth_yoy,2016-10-01,p1,-1.7
growth_yoy,2016-10-01,p2,5.2
growth_yoy,2016-10-01,p3,5.1
growth_yoy,2016-10-01,p4,5.0
growth_yoy,2016-10-01,p5,5.6
growth_yoy,2016-10-01,p6,1.7
growth_yoy,2017-01-01,p0,5.6
growth_yoy,2017-01-01,p1,6.6
growth_yoy,2017-01-01,p2,1.0
