app_id,app_name,app_os_platform,released,last_updated,shutdown,purpose
7,MyFoodSafe,Android,2014-12-18,2015-04-03,,
7,MyFoodSafe,Huawei,2014-12-18,2015-04-03,,
7,MyFoodSafe,iOS,2014-12-18,2015-04-03,,
9,MyHRMIS Mobile,Android,2014-12-18,2026-02-24,,Aplikasi MyHRMIS Mobile merupakan aplikasi mudah alih terbaharu JPA
9,MyHRMIS Mobile,Huawei,2014-12-18,2026-02-24,,Aplikasi MyHRMIS Mobile merupakan aplikasi mudah alih terbaharu JPA
9,MyHRMIS Mobile,iOS,2014-12-18,2026-02-24,,Aplikasi MyHRMIS Mobile merupakan aplikasi mudah alih terbaharu JPA
15,myJakim,Android,2014-12-22,2014-12-22,,
15,myJakim,iOS,2014-12-22,2014-12-22,,
19,mySPAD,Android,2014-12-23,2015-04-21,,
19,mySPAD,iOS,2014-12-23,2015-04-21,,
21,myHealth,Android,2015-02-10,2015-04-21,,
21,myHealth,iOS,2015-02-10,2015-04-21,,
23,myKPDNKK,Android,2015-02-11,2015-02-11,,
23,myKPDNKK,iOS,2015-02-11,2015-02-11,,
27,1MOCC@Labuan,Android,2015-04-15,2015-04-15,,
29,SELAWAT,Android,2015-04-20,2015-04-21,,
31,myGiN,iOS,2015-04-20,2015-04-20,,
33,myMahtas,Android,2015-04-21,2020-04-03,,
33,myMahtas,iOS,2015-04-21,2020-04-03,,
35,myCuaca,Android,2015-04-21,2024-10-11,,myCuaca oleh Jabatan Meteorologi Malaysia
35,myCuaca,Huawei,2015-04-21,2024-10-11,,myCuaca oleh Jabatan Meteorologi Malaysia
35,myCuaca,iOS,2015-04-21,2024-10-11,,myCuaca oleh Jabatan Meteorologi Malaysia
39,NRE Malaysia Eco-Park,Android,2015-04-21,2015-04-21,,
39,NRE Malaysia Eco-Park,iOS,2015-04-21,2015-04-21,,
49,Harga Getah,Android,2015-06-09,2019-11-15,,
55,GovDirec,iOS,2015-06-22,2015-06-22,,
57,iMonitor,Android,2015-07-07,2015-07-07,,
75,DocDx,Android,2015-08-17,2016-05-17,,
75,DocDx,Huawei,2015-08-17,2016-05-17,,
75,DocDx,iOS,2015-08-17,2016-05-17,,
91,MeterOn,Android,2015-10-29,2015-10-29,,
91,MeterOn,iOS,2015-10-29,2015-10-29,,
93,KEDAH,Android,2015-11-03,,,
93,KEDAH,iOS,2015-11-03,,,
113,NRE*CIA,Android,2015-11-19,2015-11-19,,
113,NRE*CIA,iOS,2015-11-19,2015-11-19,,
119,MARDI Tek. Kambing Pedaging,Android,2015-12-22,2023-08-15,2023-08-15,MARDI membangunkan aplikasi ini untuk menyalurkan pengetahuan asas berkaitan penternakan kambing di samping memberi bimbingan dalam aspek pengeluaran kambing.
119,MARDI Tek. Kambing Pedaging,Huawei,2015-12-22,2023-08-15,2023-08-15,MARDI membangunkan aplikasi ini untuk menyalurkan pengetahuan asas berkaitan penternakan kambing di samping memberi bimbingan dalam aspek pengeluaran kambing.
119,MARDI Tek. Kambing Pedaging,iOS,2015-12-22,2023-08-15,2023-08-15,MARDI membangunkan aplikasi ini untuk menyalurkan pengetahuan asas berkaitan penternakan kambing di samping memberi bimbingan dalam aspek pengeluaran kambing.
121,MARDI Teknologi Lebah Kelulut,Android,2015-12-22,2023-08-15,2023-08-15,Program penyelidikan dan pembangunan teknologi penternakan lebah kelulut
121,MARDI Teknologi Lebah Kelulut,Huawei,2015-12-22,2023-08-15,2023-08-15,Program penyelidikan dan pembangunan teknologi penternakan lebah kelulut
121,MARDI Teknologi Lebah Kelulut,iOS,2015-12-22,2023-08-15,2023-08-15,Program penyelidikan dan pembangunan teknologi penternakan lebah kelulut
123,MARDI Direktori Usahawan,Android,2015-12-22,2017-12-19,,
125,MARDI Penanaman Cendawan Tiram,Android,2015-12-24,2023-08-15,2023-08-15,Aplikasi ini dibangunkan oleh MARDI sebagai panduan permulaan bagi sesiapa yang berminat untuk mendapatkan maklumat berkaitan penanaman cendawan tiram kelabu.
125,MARDI Penanaman Cendawan Tiram,Huawei,2015-12-24,2023-08-15,2023-08-15,Aplikasi ini dibangunkan oleh MARDI sebagai panduan permulaan bagi sesiapa yang berminat untuk mendapatkan maklumat berkaitan penanaman cendawan tiram kelabu.
125,MARDI Penanaman Cendawan Tiram,iOS,2015-12-24,2023-08-15,2023-08-15,Aplikasi ini dibangunkan oleh MARDI sebagai panduan permulaan bagi sesiapa yang berminat untuk mendapatkan maklumat berkaitan penanaman cendawan tiram kelabu.
127,MARDI Fertigasi Cili,Android,2015-12-24,2023-08-21,2023-08-15,
127,MARDI Fertigasi Cili,Huawei,2015-12-24,2023-08-21,2023-08-15,
127,MARDI Fertigasi Cili,iOS,2015-12-24,2023-08-21,2023-08-15,
129,MARDI Fertigasi Melon,Android,2015-12-24,2015-12-24,2023-08-15,
131,MARDI Hidroponik Salad,Android,2015-12-24,2023-08-23,2023-08-15,
131,MARDI Hidroponik Salad,Huawei,2015-12-24,2023-08-23,2023-08-15,
131,MARDI Hidroponik Salad,iOS,2015-12-24,2023-08-23,2023-08-15,
133,MARDI Padi Aerob,Android,2015-12-24,2023-08-23,2023-08-15,
133,MARDI Padi Aerob,Huawei,2015-12-24,2023-08-23,2023-08-15,
