date,published,shutdown,active
2014-12-01,4,0,4
2015-01-01,0,0,4
2015-02-01,2,0,6
2015-03-01,0,0,6
2015-04-01,6,0,12
2015-05-01,0,0,12
2015-06-01,2,0,14
2015-07-01,1,0,15
2015-08-01,1,0,16
2015-09-01,0,0,16
2015-10-01,1,0,17
2015-11-01,2,0,19
2015-12-01,11,0,30
2016-01-01,35,0,65
2016-02-01,4,0,69
2016-03-01,4,0,73
2016-04-01,7,0,80
2016-05-01,10,0,90
2016-06-01,14,0,104
2016-07-01,4,0,108
2016-08-01,6,0,114
2016-09-01,3,0,117
2016-10-01,3,0,120
2016-11-01,6,0,126
2016-12-01,3,0,129
2017-01-01,2,0,131
2017-02-01,6,0,137
2017-03-01,8,0,145
2017-04-01,4,0,149
2017-05-01,2,0,151
2017-06-01,4,0,155
2017-07-01,5,0,160
2017-08-01,4,0,164
2017-09-01,6,0,170
2017-10-01,5,0,175
2017-11-01,16,0,191
2017-12-01,6,0,197
2018-01-01,5,0,202
2018-02-01,1,0,203
2018-03-01,3,0,206
2018-04-01,1,0,207
2018-05-01,0,0,207
2018-06-01,0,0,207
2018-07-01,2,0,209
2018-08-01,0,0,209
2018-09-01,9,0,218
2018-10-01,0,0,218
2018-11-01,6,0,224
2018-12-01,4,0,228
2019-01-01,4,0,232
2019-02-01,3,0,235
2019-03-01,3,0,238
2019-04-01,6,0,244
2019-05-01,1,0,245
2019-06-01,4,0,249
2019-07-01,1,0,250
2019-08-01,1,0,251
2019-09-01,2,0,253
2019-10-01,5,0,258
2019-11-01,3,0,261
2019-12-01,4,0,265
2020-01-01,0,0,265
2020-02-01,4,0,269
2020-03-01,3,0,272
2020-04-01,3,0,275
2020-05-01,1,0,276
2020-06-01,3,0,279
2020-07-01,0,0,279
2020-08-01,4,0,283
2020-09-01,3,0,286
2020-10-01,2,0,288
2020-11-01,2,0,290
2020-12-01,3,0,293
2021-01-01,4,0,297
2021-02-01,3,0,300
2021-03-01,3,0,303
2021-04-01,9,0,312
2021-05-01,2,0,314
2021-06-01,3,0,317
2021-07-01,2,0,319
2021-08-01,1,0,320
2021-09-01,2,0,322
2021-10-01,2,0,324
2021-11-01,7,0,331
2021-12-01,2,0,333
2022-01-01,3,1,335
2022-02-01,3,0,338
2022-03-01,8,0,346
2022-04-01,4,2,348
2022-05-01,7,0,355
2022-06-01,3,0,358
2022-07-01,3,2,359
2022-08-01,3,5,357
2022-09-01,1,0,358
2022-10-01,5,0,363
2022-11-01,6,2,367
2022-12-01,1,1,367
2023-01-01,7,1,373
2023-02-01,3,0,376
2023-03-01,10,2,384
2023-04-01,3,1,386
2023-05-01,3,0,389
2023-06-01,4,0,393
2023-07-01,5,0,398
2023-08-01,2,12,388
2023-09-01,4,2,390
2023-10-01,7,1,396
2023-11-01,5,1,400
2023-12-01,2,0,402
2024-01-01,6,1,407
2024-02-01,3,0,410
2024-03-01,3,0,413
2024-04-01,4,0,417
2024-05-01,1,1,417
2024-06-01,1,1,417
2024-07-01,4,0,421
2024-08-01,8,4,425
2024-09-01,3,1,427
2024-10-01,9,3,433
2024-11-01,0,1,432
2024-12-01,0,1,431
2025-01-01,5,0,436
2025-02-01,12,0,448
2025-03-01,5,0,453
2025-04-01,7,1,459
2025-05-01,5,2,462
2025-06-01,4,1,465
2025-07-01,5,0,470
2025-08-01,8,0,478
2025-09-01,3,1,480
2025-10-01,9,1,488
2025-11-01,6,0,494
2025-12-01,0,0,494
2026-01-01,4,0,498
2026-02-01,1,0,499
2026-03-01,2,0,501
2026-04-01,0,0,501
