date,state,parlimen,dun,expenditure
2019-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,3333
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,3480
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,3676
2019-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,3022
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,3396
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,3501
2019-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,3123
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,3675
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,3857
2019-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,3533
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,3693
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,3969
2019-01-01,Perlis,P.001 Padang Besar,N.05 Santan,2995
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,3694
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,3993
2019-01-01,Perlis,P.002 Kangar,N.06 Bintong,3328
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,3670
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,3921
2019-01-01,Perlis,P.002 Kangar,N.07 Sena,4284
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,4941
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,4590
2019-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,4209
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,4976
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,5239
2019-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,3250
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,3632
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,3615
2019-01-01,Perlis,P.002 Kangar,N.10 Kayang,3650
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,3767
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,4165
2019-01-01,Perlis,P.003 Arau,N.11 Pauh,3696
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,3719
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,4348
2019-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,3493
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,4137
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,4851
2019-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,3216
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,3770
2024-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,3859
2019-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,2769
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,3427
2024-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,3322
2019-01-01,Perlis,P.003 Arau,N.15 Sanglang,2886
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,3428
2024-01-01,Perlis,P.003 Arau,N.15 Sanglang,3547
2019-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,2993
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,3406
2024-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,4080
2019-01-01,Kedah,P.004 Langkawi,N.02 Kuah,3632
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,3891
2024-01-01,Kedah,P.004 Langkawi,N.02 Kuah,4577
2019-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,2608
2022-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,3691
2024-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,4465
2019-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,2967
2022-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,3347
2024-01-01,Kedah,P.005 Jerlun,N.04 Ayer Hitam,4184
2019-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,3529
2022-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,3875
2024-01-01,Kedah,P.006 Kubang Pasu,N.05 Bukit Kayu Hitam,4374
2019-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,4799
2022-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,4423
2024-01-01,Kedah,P.006 Kubang Pasu,N.06 Jitra,4649
2019-01-01,Kedah,P.007 Padang Terap,N.07 Kuala Nerang,3983
2022-01-01,Kedah,P.007 Padang Terap,N.07 Kuala Nerang,3834
2024-01-01,Kedah,P.007 Padang Terap,N.07 Kuala Nerang,4199
2019-01-01,Kedah,P.007 Padang Terap,N.08 Pedu,2845
2022-01-01,Kedah,P.007 Padang Terap,N.08 Pedu,3634
2024-01-01,Kedah,P.007 Padang Terap,N.08 Pedu,3443
2019-01-01,Kedah,P.008 Pokok Sena,N.09 Bukit Lada,3131
2022-01-01,Kedah,P.008 Pokok Sena,N.09 Bukit Lada,3959
2024-01-01,Kedah,P.008 Pokok Sena,N.09 Bukit Lada,4247
2019-01-01,Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,3964
2022-01-01,Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,4219
2024-01-01,Kedah,P.008 Pokok Sena,N.10 Bukit Pinang,4968
2019-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,3554
2022-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,4679
2024-01-01,Kedah,P.008 Pokok Sena,N.11 Derga,5095
2019-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,4171
2022-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,4281
2024-01-01,Kedah,P.009 Alor Setar,N.12 Suka Menanti,4374
2019-01-01,Kedah,P.009 Alor Setar,N.13 Kota Darul Aman,4043
