date,state,parlimen,dun,income_median,income_mean
2019-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,4417.0,4662.0
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,4206.0,4673.0
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,4983.0,5404.0
2019-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,4066.0,4696.0
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,4548.0,5347.0
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,6232.0,5818.0
2019-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,4016.0,4681.0
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,4324.0,4823.0
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,4725.0,5269.0
2019-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,4621.0,5352.0
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,4744.0,5460.0
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,4342.0,6356.0
2019-01-01,Perlis,P.001 Padang Besar,N.05 Santan,4043.0,4801.0
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,4373.0,5035.0
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,4801.0,6424.0
2019-01-01,Perlis,P.002 Kangar,N.06 Bintong,4547.0,5711.0
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,5170.0,6093.0
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,4926.0,5567.0
2019-01-01,Perlis,P.002 Kangar,N.07 Sena,4920.0,6598.0
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,5456.0,6780.0
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,5868.0,7232.0
2019-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,5021.0,6042.0
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,5808.0,7801.0
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,5342.0,6856.0
2019-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,4062.0,5129.0
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,4559.0,4991.0
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,4564.0,5149.0
2019-01-01,Perlis,P.002 Kangar,N.10 Kayang,6313.0,6357.0
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,4455.0,5442.0
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,5363.0,6369.0
2019-01-01,Perlis,P.003 Arau,N.11 Pauh,4854.0,5805.0
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,5040.0,6483.0
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,5424.0,6518.0
2019-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,4967.0,5670.0
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,5384.0,6309.0
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,6483.0,7072.0
2019-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4082.0,4905.0
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4573.0,5064.0
2024-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4809.0,5494.0
2019-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,3833.0,4450.0
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,4140.0,4653.0
2024-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,3438.0,4398.0
2019-01-01,Perlis,P.003 Arau,N.15 Sanglang,4195.0,4943.0
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,4247.0,5102.0
2024-01-01,Perlis,P.003 Arau,N.15 Sanglang,4188.0,4810.0
2019-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,5743.0,6131.0
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,4968.0,5640.0
2024-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,5016.0,5899.0
2019-01-01,Kedah,P.004 Langkawi,N.02 Kuah,6602.0,7193.0
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,5483.0,6482.0
2024-01-01,Kedah,P.004 Langkawi,N.02 Kuah,5169.0,6600.0
2019-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,3961.0,4996.0
