date,state,parlimen,dun,gini
2019-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,0.305
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,0.285
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,0.286
2019-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,0.325
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,0.306
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,0.239
2019-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,0.292
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,0.288
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,0.292
2019-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,0.27
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,0.287
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,0.399
2019-01-01,Perlis,P.001 Padang Besar,N.05 Santan,0.338
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,0.316
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,0.417
2019-01-01,Perlis,P.002 Kangar,N.06 Bintong,0.344
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,0.337
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,0.287
2019-01-01,Perlis,P.002 Kangar,N.07 Sena,0.413
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,0.357
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,0.351
2019-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,0.334
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,0.392
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,0.35
2019-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,0.33
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,0.287
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,0.319
2019-01-01,Perlis,P.002 Kangar,N.10 Kayang,0.244
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,0.311
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,0.28
2019-01-01,Perlis,P.003 Arau,N.11 Pauh,0.325
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,0.383
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,0.341
2019-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,0.287
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,0.32
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,0.291
2019-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,0.276
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,0.281
