date,state,parlimen,gini
2019-01-01,Perlis,P.001 Padang Besar,0.31
2022-01-01,Perlis,P.001 Padang Besar,0.299
2024-01-01,Perlis,P.001 Padang Besar,0.344
2019-01-01,Perlis,P.002 Kangar,0.35
2022-01-01,Perlis,P.002 Kangar,0.349
2024-01-01,Perlis,P.002 Kangar,0.329
2019-01-01,Perlis,P.003 Arau,0.31
2022-01-01,Perlis,P.003 Arau,0.342
2024-01-01,Perlis,P.003 Arau,0.331
2019-01-01,Kedah,P.004 Langkawi,0.28
2022-01-01,Kedah,P.004 Langkawi,0.302
2024-01-01,Kedah,P.004 Langkawi,0.335
2019-01-01,Kedah,P.005 Jerlun,0.29
2022-01-01,Kedah,P.005 Jerlun,0.3
2024-01-01,Kedah,P.005 Jerlun,0.301
2019-01-01,Kedah,P.006 Kubang Pasu,0.37
2022-01-01,Kedah,P.006 Kubang Pasu,0.325
2024-01-01,Kedah,P.006 Kubang Pasu,0.32
2019-01-01,Kedah,P.007 Padang Terap,0.31
2022-01-01,Kedah,P.007 Padang Terap,0.323
2024-01-01,Kedah,P.007 Padang Terap,0.292
2019-01-01,Kedah,P.008 Pokok Sena,0.33
2022-01-01,Kedah,P.008 Pokok Sena,0.342
2024-01-01,Kedah,P.008 Pokok Sena,0.326
2019-01-01,Kedah,P.009 Alor Setar,0.32
2022-01-01,Kedah,P.009 Alor Setar,0.363
2024-01-01,Kedah,P.009 Alor Setar,0.325
2019-01-01,Kedah,P.010 Kuala Kedah,0.38
2022-01-01,Kedah,P.010 Kuala Kedah,0.335
2024-01-01,Kedah,P.010 Kuala Kedah,0.315
2019-01-01,Kedah,P.011 Pendang,0.31
2022-01-01,Kedah,P.011 Pendang,0.349
2024-01-01,Kedah,P.011 Pendang,0.347
2019-01-01,Kedah,P.012 Jerai,0.38
2022-01-01,Kedah,P.012 Jerai,0.322
2024-01-01,Kedah,P.012 Jerai,0.335
2019-01-01,Kedah,P.013 Sik,0.32
2022-01-01,Kedah,P.013 Sik,0.333
2024-01-01,Kedah,P.013 Sik,0.325
2019-01-01,Kedah,P.014 Merbok,0.4
2022-01-01,Kedah,P.014 Merbok,0.454
2024-01-01,Kedah,P.014 Merbok,0.356
2019-01-01,Kedah,P.015 Sungai Petani,0.36
2022-01-01,Kedah,P.015 Sungai Petani,0.357
2024-01-01,Kedah,P.015 Sungai Petani,0.301
2019-01-01,Kedah,P.016 Baling,0.34
2022-01-01,Kedah,P.016 Baling,0.347
2024-01-01,Kedah,P.016 Baling,0.324
2019-01-01,Kedah,P.017 Padang Serai,0.32
2022-01-01,Kedah,P.017 Padang Serai,0.358
2024-01-01,Kedah,P.017 Padang Serai,0.346
2019-01-01,Kedah,P.018 Kulim-Bandar Baharu,0.35
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,0.336
2024-01-01,Kedah,P.018 Kulim-Bandar Baharu,0.349
2019-01-01,Kelantan,P.019 Tumpat,0.374
2022-01-01,Kelantan,P.019 Tumpat,0.367
2024-01-01,Kelantan,P.019 Tumpat,0.334
2019-01-01,Kelantan,P.020 Pengkalan Chepa,0.347
2022-01-01,Kelantan,P.020 Pengkalan Chepa,0.374
2024-01-01,Kelantan,P.020 Pengkalan Chepa,0.34
2019-01-01,Kelantan,P.021 Kota Bharu,0.346
2022-01-01,Kelantan,P.021 Kota Bharu,0.354
2024-01-01,Kelantan,P.021 Kota Bharu,0.359
2019-01-01,Kelantan,P.022 Pasir Mas,0.401
2022-01-01,Kelantan,P.022 Pasir Mas,0.378
2024-01-01,Kelantan,P.022 Pasir Mas,0.392
2019-01-01,Kelantan,P.023 Rantau Panjang,0.324
2022-01-01,Kelantan,P.023 Rantau Panjang,0.348
2024-01-01,Kelantan,P.023 Rantau Panjang,0.329
2019-01-01,Kelantan,P.024 Kubang Kerian,0.429
2022-01-01,Kelantan,P.024 Kubang Kerian,0.413
2024-01-01,Kelantan,P.024 Kubang Kerian,0.387
2019-01-01,Kelantan,P.025 Bachok,0.361
2022-01-01,Kelantan,P.025 Bachok,0.374
2024-01-01,Kelantan,P.025 Bachok,0.349
2019-01-01,Kelantan,P.026 Ketereh,0.396
2022-01-01,Kelantan,P.026 Ketereh,0.387
2024-01-01,Kelantan,P.026 Ketereh,0.352
2019-01-01,Kelantan,P.027 Tanah Merah,0.339
2022-01-01,Kelantan,P.027 Tanah Merah,0.37
2024-01-01,Kelantan,P.027 Tanah Merah,0.369
2019-01-01,Kelantan,P.028 Pasir Puteh,0.386
2022-01-01,Kelantan,P.028 Pasir Puteh,0.378
2024-01-01,Kelantan,P.028 Pasir Puteh,0.302
2019-01-01,Kelantan,P.029 Machang,0.352
2022-01-01,Kelantan,P.029 Machang,0.414
2024-01-01,Kelantan,P.029 Machang,0.331
2019-01-01,Kelantan,P.030 Jeli,0.342
2022-01-01,Kelantan,P.030 Jeli,0.369
2024-01-01,Kelantan,P.030 Jeli,0.323
2019-01-01,Kelantan,P.031 Kuala Krai,0.382
2022-01-01,Kelantan,P.031 Kuala Krai,0.399
