date,state,parlimen,dun,poverty_absolute
2019-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,7.6
2022-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,5.5
2024-01-01,Perlis,P.001 Padang Besar,N.01 Titi Tinggi,5.7
2019-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,8.6
2022-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,1.5
2024-01-01,Perlis,P.001 Padang Besar,N.02 Beseri,0.0
2019-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,2.7
2022-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,2.3
2024-01-01,Perlis,P.001 Padang Besar,N.03 Chuping,4.1
2019-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,0.0
2022-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,4.3
2024-01-01,Perlis,P.001 Padang Besar,N.04 Mata Ayer,2.5
2019-01-01,Perlis,P.001 Padang Besar,N.05 Santan,5.3
2022-01-01,Perlis,P.001 Padang Besar,N.05 Santan,4.2
2024-01-01,Perlis,P.001 Padang Besar,N.05 Santan,1.7
2019-01-01,Perlis,P.002 Kangar,N.06 Bintong,4.4
2022-01-01,Perlis,P.002 Kangar,N.06 Bintong,2.4
2024-01-01,Perlis,P.002 Kangar,N.06 Bintong,2.3
2019-01-01,Perlis,P.002 Kangar,N.07 Sena,5.2
2022-01-01,Perlis,P.002 Kangar,N.07 Sena,1.7
2024-01-01,Perlis,P.002 Kangar,N.07 Sena,1.1
2019-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,0.9
2022-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,2.2
2024-01-01,Perlis,P.002 Kangar,N.08 Indera Kayangan,4.4
2019-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,7.6
2022-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,9.1
2024-01-01,Perlis,P.002 Kangar,N.09 Kuala Perlis,3.1
2019-01-01,Perlis,P.002 Kangar,N.10 Kayang,0.6
2022-01-01,Perlis,P.002 Kangar,N.10 Kayang,6.1
2024-01-01,Perlis,P.002 Kangar,N.10 Kayang,6.5
2019-01-01,Perlis,P.003 Arau,N.11 Pauh,0.5
2022-01-01,Perlis,P.003 Arau,N.11 Pauh,3.1
2024-01-01,Perlis,P.003 Arau,N.11 Pauh,1.1
2019-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,1.2
2022-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,3.6
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,1.6
2019-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,1.4
2022-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4.1
2024-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,4.5
2019-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,3.6
2022-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,4.6
2024-01-01,Perlis,P.003 Arau,N.14 Simpang Empat,7.7
2019-01-01,Perlis,P.003 Arau,N.15 Sanglang,2.8
2022-01-01,Perlis,P.003 Arau,N.15 Sanglang,5.1
2024-01-01,Perlis,P.003 Arau,N.15 Sanglang,12.1
2019-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,0.9
2022-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,8.4
2024-01-01,Kedah,P.004 Langkawi,N.01 Ayer Hangat,5.7
2019-01-01,Kedah,P.004 Langkawi,N.02 Kuah,0.9
2022-01-01,Kedah,P.004 Langkawi,N.02 Kuah,3.3
2024-01-01,Kedah,P.004 Langkawi,N.02 Kuah,6.4
2019-01-01,Kedah,P.005 Jerlun,N.03 Kota Siputeh,7.0
