date,state,parlimen,poverty_absolute
2019-01-01,Perlis,P.001 Padang Besar,5.7
2022-01-01,Perlis,P.001 Padang Besar,3.7
2024-01-01,Perlis,P.001 Padang Besar,3.5
2019-01-01,Perlis,P.002 Kangar,4.2
2022-01-01,Perlis,P.002 Kangar,4.3
2024-01-01,Perlis,P.002 Kangar,3.0
2019-01-01,Perlis,P.003 Arau,1.4
2022-01-01,Perlis,P.003 Arau,3.9
2024-01-01,Perlis,P.003 Arau,4.4
2019-01-01,Kedah,P.004 Langkawi,0.9
2022-01-01,Kedah,P.004 Langkawi,5.7
2024-01-01,Kedah,P.004 Langkawi,6.1
2019-01-01,Kedah,P.005 Jerlun,6.7
2022-01-01,Kedah,P.005 Jerlun,3.8
2024-01-01,Kedah,P.005 Jerlun,5.8
2019-01-01,Kedah,P.006 Kubang Pasu,4.3
2022-01-01,Kedah,P.006 Kubang Pasu,3.2
2024-01-01,Kedah,P.006 Kubang Pasu,3.3
2019-01-01,Kedah,P.007 Padang Terap,9.1
2022-01-01,Kedah,P.007 Padang Terap,8.9
2024-01-01,Kedah,P.007 Padang Terap,8.0
2019-01-01,Kedah,P.008 Pokok Sena,6.8
2022-01-01,Kedah,P.008 Pokok Sena,4.7
2024-01-01,Kedah,P.008 Pokok Sena,6.0
2019-01-01,Kedah,P.009 Alor Setar,4.9
2022-01-01,Kedah,P.009 Alor Setar,8.3
2024-01-01,Kedah,P.009 Alor Setar,4.8
2019-01-01,Kedah,P.010 Kuala Kedah,7.3
2022-01-01,Kedah,P.010 Kuala Kedah,4.3
2024-01-01,Kedah,P.010 Kuala Kedah,6.1
2019-01-01,Kedah,P.011 Pendang,8.1
2022-01-01,Kedah,P.011 Pendang,7.3
2024-01-01,Kedah,P.011 Pendang,7.3
2019-01-01,Kedah,P.012 Jerai,14.9
2022-01-01,Kedah,P.012 Jerai,13.8
2024-01-01,Kedah,P.012 Jerai,11.9
2019-01-01,Kedah,P.013 Sik,7.6
2022-01-01,Kedah,P.013 Sik,4.0
2024-01-01,Kedah,P.013 Sik,8.7
2019-01-01,Kedah,P.014 Merbok,11.1
2022-01-01,Kedah,P.014 Merbok,14.9
2024-01-01,Kedah,P.014 Merbok,12.4
2019-01-01,Kedah,P.015 Sungai Petani,9.2
2022-01-01,Kedah,P.015 Sungai Petani,11.1
2024-01-01,Kedah,P.015 Sungai Petani,10.2
2019-01-01,Kedah,P.016 Baling,17.9
2022-01-01,Kedah,P.016 Baling,14.4
2024-01-01,Kedah,P.016 Baling,14.7
2019-01-01,Kedah,P.017 Padang Serai,9.5
2022-01-01,Kedah,P.017 Padang Serai,11.1
2024-01-01,Kedah,P.017 Padang Serai,7.8
2019-01-01,Kedah,P.018 Kulim-Bandar Baharu,9.8
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,9.7
2024-01-01,Kedah,P.018 Kulim-Bandar Baharu,8.9
2019-01-01,Kelantan,P.019 Tumpat,12.5
2022-01-01,Kelantan,P.019 Tumpat,13.5
2024-01-01,Kelantan,P.019 Tumpat,12.7
2019-01-01,Kelantan,P.020 Pengkalan Chepa,8.6
2022-01-01,Kelantan,P.020 Pengkalan Chepa,10.2
2024-01-01,Kelantan,P.020 Pengkalan Chepa,10.8
2019-01-01,Kelantan,P.021 Kota Bharu,7.4
2022-01-01,Kelantan,P.021 Kota Bharu,10.9
2024-01-01,Kelantan,P.021 Kota Bharu,7.8
2019-01-01,Kelantan,P.022 Pasir Mas,10.0
2022-01-01,Kelantan,P.022 Pasir Mas,8.3
2024-01-01,Kelantan,P.022 Pasir Mas,5.9
2019-01-01,Kelantan,P.023 Rantau Panjang,16.2
2022-01-01,Kelantan,P.023 Rantau Panjang,9.5
2024-01-01,Kelantan,P.023 Rantau Panjang,11.0
2019-01-01,Kelantan,P.024 Kubang Kerian,10.1
2022-01-01,Kelantan,P.024 Kubang Kerian,9.6
2024-01-01,Kelantan,P.024 Kubang Kerian,11.1
2019-01-01,Kelantan,P.025 Bachok,13.1
2022-01-01,Kelantan,P.025 Bachok,12.1
2024-01-01,Kelantan,P.025 Bachok,11.3
2019-01-01,Kelantan,P.026 Ketereh,11.2
2022-01-01,Kelantan,P.026 Ketereh,11.3
2024-01-01,Kelantan,P.026 Ketereh,9.9
2019-01-01,Kelantan,P.027 Tanah Merah,10.6
2022-01-01,Kelantan,P.027 Tanah Merah,16.6
2024-01-01,Kelantan,P.027 Tanah Merah,16.1
2019-01-01,Kelantan,P.028 Pasir Puteh,12.7
2022-01-01,Kelantan,P.028 Pasir Puteh,15.9
2024-01-01,Kelantan,P.028 Pasir Puteh,11.1
2019-01-01,Kelantan,P.029 Machang,7.1
2022-01-01,Kelantan,P.029 Machang,12.0
2024-01-01,Kelantan,P.029 Machang,7.3
2019-01-01,Kelantan,P.030 Jeli,18.9
2022-01-01,Kelantan,P.030 Jeli,15.5
2024-01-01,Kelantan,P.030 Jeli,9.6
2019-01-01,Kelantan,P.031 Kuala Krai,22.4
2022-01-01,Kelantan,P.031 Kuala Krai,22.4
2024-01-01,Kelantan,P.031 Kuala Krai,20.2
2019-01-01,Kelantan,P.032 Gua Musang,18.7
2022-01-01,Kelantan,P.032 Gua Musang,21.0
2024-01-01,Kelantan,P.032 Gua Musang,16.6
2019-01-01,Terengganu,P.033 Besut,9.5
2022-01-01,Terengganu,P.033 Besut,12.7
2024-01-01,Terengganu,P.033 Besut,10.2
2019-01-01,Terengganu,P.034 Setiu,9.3
2022-01-01,Terengganu,P.034 Setiu,6.3
2024-01-01,Terengganu,P.034 Setiu,5.8
2019-01-01,Terengganu,P.035 Kuala Nerus,3.8
2022-01-01,Terengganu,P.035 Kuala Nerus,3.0
2024-01-01,Terengganu,P.035 Kuala Nerus,2.5
2019-01-01,Terengganu,P.036 Kuala Terengganu,3.3
2022-01-01,Terengganu,P.036 Kuala Terengganu,4.7
2024-01-01,Terengganu,P.036 Kuala Terengganu,2.9
2019-01-01,Terengganu,P.037 Marang,7.5
2022-01-01,Terengganu,P.037 Marang,8.2
2024-01-01,Terengganu,P.037 Marang,6.1
2019-01-01,Terengganu,P.038 Hulu Terengganu,7.8
2022-01-01,Terengganu,P.038 Hulu Terengganu,11.1
2024-01-01,Terengganu,P.038 Hulu Terengganu,6.0
2019-01-01,Terengganu,P.039 Dungun,5.2
2022-01-01,Terengganu,P.039 Dungun,2.2
2024-01-01,Terengganu,P.039 Dungun,3.2
2019-01-01,Terengganu,P.040 Kemaman,4.6
2022-01-01,Terengganu,P.040 Kemaman,4.1
2024-01-01,Terengganu,P.040 Kemaman,3.5
2019-01-01,Pulau Pinang,P.041 Kepala Batas,5.0
2022-01-01,Pulau Pinang,P.041 Kepala Batas,5.2
2024-01-01,Pulau Pinang,P.041 Kepala Batas,4.6
2019-01-01,Pulau Pinang,P.042 Tasek Gelugor,4.1
2022-01-01,Pulau Pinang,P.042 Tasek Gelugor,4.7
2024-01-01,Pulau Pinang,P.042 Tasek Gelugor,5.7
2019-01-01,Pulau Pinang,P.043 Bagan,3.4
2022-01-01,Pulau Pinang,P.043 Bagan,1.3
2024-01-01,Pulau Pinang,P.043 Bagan,1.5
2019-01-01,Pulau Pinang,P.044 Permatang Pauh,6.1
2022-01-01,Pulau Pinang,P.044 Permatang Pauh,3.9
2024-01-01,Pulau Pinang,P.044 Permatang Pauh,4.4
2019-01-01,Pulau Pinang,P.045 Bukit Mertajam,1.3
2022-01-01,Pulau Pinang,P.045 Bukit Mertajam,2.2
2024-01-01,Pulau Pinang,P.045 Bukit Mertajam,2.1
2019-01-01,Pulau Pinang,P.046 Batu Kawan,0.6
2022-01-01,Pulau Pinang,P.046 Batu Kawan,1.5
2024-01-01,Pulau Pinang,P.046 Batu Kawan,3.5
2019-01-01,Pulau Pinang,P.047 Nibong Tebal,2.5
2022-01-01,Pulau Pinang,P.047 Nibong Tebal,3.2
2024-01-01,Pulau Pinang,P.047 Nibong Tebal,2.3
2019-01-01,Pulau Pinang,P.048 Bukit Bendera,0.0
2022-01-01,Pulau Pinang,P.048 Bukit Bendera,0.3
2024-01-01,Pulau Pinang,P.048 Bukit Bendera,0.3
2019-01-01,Pulau Pinang,P.049 Tanjong,1.5
2022-01-01,Pulau Pinang,P.049 Tanjong,0.0
2024-01-01,Pulau Pinang,P.049 Tanjong,0.0
2019-01-01,Pulau Pinang,P.050 Jelutong,1.3
2022-01-01,Pulau Pinang,P.050 Jelutong,1.6
2024-01-01,Pulau Pinang,P.050 Jelutong,0.0
2019-01-01,Pulau Pinang,P.051 Bukit Gelugor,0.2
2022-01-01,Pulau Pinang,P.051 Bukit Gelugor,0.6
2024-01-01,Pulau Pinang,P.051 Bukit Gelugor,0.4
2019-01-01,Pulau Pinang,P.052 Bayan Baru,0.8
2022-01-01,Pulau Pinang,P.052 Bayan Baru,1.4
2024-01-01,Pulau Pinang,P.052 Bayan Baru,0.5
2019-01-01,Pulau Pinang,P.053 Balik Pulau,0.7
2022-01-01,Pulau Pinang,P.053 Balik Pulau,1.4
2024-01-01,Pulau Pinang,P.053 Balik Pulau,0.8
2019-01-01,Perak,P.054 Gerik,8.9
2022-01-01,Perak,P.054 Gerik,13.1
2024-01-01,Perak,P.054 Gerik,9.3
2019-01-01,Perak,P.055 Lenggong,17.5
2022-01-01,Perak,P.055 Lenggong,19.4
2024-01-01,Perak,P.055 Lenggong,18.4
2019-01-01,Perak,P.056 Larut,7.4
2022-01-01,Perak,P.056 Larut,9.7
2024-01-01,Perak,P.056 Larut,10.0
2019-01-01,Perak,P.057 Parit Buntar,8.0
2022-01-01,Perak,P.057 Parit Buntar,9.9
2024-01-01,Perak,P.057 Parit Buntar,6.0
2019-01-01,Perak,P.058 Bagan Serai,4.3
2022-01-01,Perak,P.058 Bagan Serai,8.0
2024-01-01,Perak,P.058 Bagan Serai,8.2
2019-01-01,Perak,P.059 Bukit Gantang,12.9
2022-01-01,Perak,P.059 Bukit Gantang,7.2
2024-01-01,Perak,P.059 Bukit Gantang,12.1
2019-01-01,Perak,P.060 Taiping,4.9
2022-01-01,Perak,P.060 Taiping,9.3
2024-01-01,Perak,P.060 Taiping,6.7
2019-01-01,Perak,P.061 Padang Rengas,5.9
2022-01-01,Perak,P.061 Padang Rengas,7.1
2024-01-01,Perak,P.061 Padang Rengas,8.4
2019-01-01,Perak,P.062 Sungai Siput,16.7
2022-01-01,Perak,P.062 Sungai Siput,19.7
2024-01-01,Perak,P.062 Sungai Siput,13.1
2019-01-01,Perak,P.063 Tambun,5.6
2022-01-01,Perak,P.063 Tambun,3.9
2024-01-01,Perak,P.063 Tambun,3.9
2019-01-01,Perak,P.064 Ipoh Timor,1.9
2022-01-01,Perak,P.064 Ipoh Timor,3.4
2024-01-01,Perak,P.064 Ipoh Timor,3.1
2019-01-01,Perak,P.065 Ipoh Barat,5.6
2022-01-01,Perak,P.065 Ipoh Barat,3.5
2024-01-01,Perak,P.065 Ipoh Barat,2.2
2019-01-01,Perak,P.066 Batu Gajah,7.3
2022-01-01,Perak,P.066 Batu Gajah,3.3
2024-01-01,Perak,P.066 Batu Gajah,5.5
2019-01-01,Perak,P.067 Kuala Kangsar,7.3
2022-01-01,Perak,P.067 Kuala Kangsar,9.5
2024-01-01,Perak,P.067 Kuala Kangsar,10.9
2019-01-01,Perak,P.068 Beruas,8.9
2022-01-01,Perak,P.068 Beruas,4.4
2024-01-01,Perak,P.068 Beruas,4.6
2019-01-01,Perak,P.069 Parit,6.2
2022-01-01,Perak,P.069 Parit,11.4
2024-01-01,Perak,P.069 Parit,10.2
2019-01-01,Perak,P.070 Kampar,7.6
2022-01-01,Perak,P.070 Kampar,5.6
2024-01-01,Perak,P.070 Kampar,4.8
2019-01-01,Perak,P.071 Gopeng,4.4
2022-01-01,Perak,P.071 Gopeng,4.1
2024-01-01,Perak,P.071 Gopeng,4.0
2019-01-01,Perak,P.072 Tapah,9.0
2022-01-01,Perak,P.072 Tapah,15.0
2024-01-01,Perak,P.072 Tapah,13.5
2019-01-01,Perak,P.073 Pasir Salak,18.9
2022-01-01,Perak,P.073 Pasir Salak,10.3
2024-01-01,Perak,P.073 Pasir Salak,14.0
2019-01-01,Perak,P.074 Lumut,4.7
2022-01-01,Perak,P.074 Lumut,3.1
2024-01-01,Perak,P.074 Lumut,3.2
2019-01-01,Perak,P.075 Bagan Datuk,6.3
2022-01-01,Perak,P.075 Bagan Datuk,12.2
2024-01-01,Perak,P.075 Bagan Datuk,10.3
2019-01-01,Perak,P.076 Teluk Intan,10.3
2022-01-01,Perak,P.076 Teluk Intan,16.3
2024-01-01,Perak,P.076 Teluk Intan,10.9
2019-01-01,Perak,P.077 Tanjong Malim,8.3
2022-01-01,Perak,P.077 Tanjong Malim,9.6
2024-01-01,Perak,P.077 Tanjong Malim,7.5
2019-01-01,Pahang,P.078 Cameron Highlands,1.7
2022-01-01,Pahang,P.078 Cameron Highlands,12.9
2024-01-01,Pahang,P.078 Cameron Highlands,10.4
2019-01-01,Pahang,P.079 Lipis,5.6
2022-01-01,Pahang,P.079 Lipis,2.1
2024-01-01,Pahang,P.079 Lipis,6.1
2019-01-01,Pahang,P.080 Raub,4.4
2022-01-01,Pahang,P.080 Raub,2.3
2024-01-01,Pahang,P.080 Raub,3.4
2019-01-01,Pahang,P.081 Jerantut,9.6
2022-01-01,Pahang,P.081 Jerantut,8.8
2024-01-01,Pahang,P.081 Jerantut,9.4
2019-01-01,Pahang,P.082 Indera Mahkota,2.0
2022-01-01,Pahang,P.082 Indera Mahkota,2.9
2024-01-01,Pahang,P.082 Indera Mahkota,4.0
2019-01-01,Pahang,P.083 Kuantan,1.1
2022-01-01,Pahang,P.083 Kuantan,6.9
2024-01-01,Pahang,P.083 Kuantan,3.7
2019-01-01,Pahang,P.084 Paya Besar,1.2
2022-01-01,Pahang,P.084 Paya Besar,3.3
2024-01-01,Pahang,P.084 Paya Besar,3.2
2019-01-01,Pahang,P.085 Pekan,6.5
2022-01-01,Pahang,P.085 Pekan,9.4
2024-01-01,Pahang,P.085 Pekan,9.2
2019-01-01,Pahang,P.086 Maran,8.6
2022-01-01,Pahang,P.086 Maran,10.8
2024-01-01,Pahang,P.086 Maran,7.3
2019-01-01,Pahang,P.087 Kuala Krau,4.9
2022-01-01,Pahang,P.087 Kuala Krau,6.6
2024-01-01,Pahang,P.087 Kuala Krau,8.4
2019-01-01,Pahang,P.088 Temerloh,6.1
2022-01-01,Pahang,P.088 Temerloh,6.4
2024-01-01,Pahang,P.088 Temerloh,5.3
2019-01-01,Pahang,P.089 Bentong,3.4
2022-01-01,Pahang,P.089 Bentong,2.8
2024-01-01,Pahang,P.089 Bentong,2.0
2019-01-01,Pahang,P.090 Bera,2.8
2022-01-01,Pahang,P.090 Bera,8.5
2024-01-01,Pahang,P.090 Bera,9.0
