series,date,division,sales,volume,volume_sa
abs,2018-01-01,45,11655.008,97.962,99.443
abs,2018-02-01,45,10543.761,92.269,100.018
abs,2018-03-01,45,12277.502,100.481,95.483
abs,2018-04-01,45,12065.678,95.694,101.999
abs,2018-05-01,45,12307.823,99.772,100.375
abs,2018-06-01,45,13019.352,108.963,104.838
abs,2018-07-01,45,13861.213,114.082,109.458
abs,2018-08-01,45,13467.496,109.77,106.64
abs,2018-09-01,45,11164.121,93.26,94.121
abs,2018-10-01,45,12132.165,100.398,101.043
abs,2018-11-01,45,12286.916,101.941,101.546
abs,2018-12-01,45,11897.562,98.443,97.417
abs,2019-01-01,45,12211.02,103.443,104.631
abs,2019-02-01,45,10781.999,95.802,103.609
abs,2019-03-01,45,12593.6,104.372,101.701
abs,2019-04-01,45,12336.685,99.09,105.665
abs,2019-05-01,45,13425.407,108.889,107.797
abs,2019-06-01,45,12699.94,108.835,104.596
abs,2019-07-01,45,13628.286,114.471,106.417
abs,2019-08-01,45,13618.577,111.309,106.223
abs,2019-09-01,45,11656.361,97.458,101.195
abs,2019-10-01,45,12584.486,103.726,104.751
abs,2019-11-01,45,12651.684,105.244,104.869
abs,2019-12-01,45,12435.481,102.784,103.888
abs,2020-01-01,45,12329.083,104.348,104.067
abs,2020-02-01,45,11164.289,99.263,101.802
abs,2020-03-01,45,10672.469,89.328,84.709
abs,2020-04-01,45,837.78,6.321,7.15
abs,2020-05-01,45,6777.317,54.568,60.234
abs,2020-06-01,45,12124.081,103.779,107.773
abs,2020-07-01,45,13860.418,116.544,110.23
abs,2020-08-01,45,13757.128,112.274,110.167
abs,2020-09-01,45,13647.65,112.196,112.995
abs,2020-10-01,45,12859.067,105.444,101.277
abs,2020-11-01,45,12797.459,106.327,101.704
abs,2020-12-01,45,14268.878,117.941,110.104
abs,2021-01-01,45,10801.902,94.577,90.263
abs,2021-02-01,45,11158.706,98.159,100.23
abs,2021-03-01,45,15016.046,124.296,109.812
abs,2021-04-01,45,13833.879,112.939,128.892
abs,2021-05-01,45,11594.873,90.65,101.248
abs,2021-06-01,45,925.299,7.459,7.833
abs,2021-07-01,45,2022.964,13.798,13.084
abs,2021-08-01,45,5828.402,46.668,45.391
abs,2021-09-01,45,10795.707,85.627,84.442
abs,2021-10-01,45,14167.011,116.586,107.669
abs,2021-11-01,45,13382.989,110.177,104.573
abs,2021-12-01,45,14577.016,121.268,110.835
abs,2022-01-01,45,12634.373,107.656,103.605
abs,2022-02-01,45,12456.306,104.921,106.938
abs,2022-03-01,45,16681.663,132.372,115.839
abs,2022-04-01,45,15402.076,121.12,133.592
abs,2022-05-01,45,13929.793,108.383,134.038
abs,2022-06-01,45,16126.537,121.579,129.127
abs,2022-07-01,45,14115.075,105.841,115.467
abs,2022-08-01,45,16514.091,125.14,131.338
abs,2022-09-01,45,16323.414,123.407,119.01
abs,2022-10-01,45,15421.701,117.982,110.025
abs,2022-11-01,45,16036.304,121.511,113.944
abs,2022-12-01,45,17531.675,132.993,116.138
abs,2023-01-01,45,15179.481,117.596,119.891
abs,2023-02-01,45,16485.452,126.869,122.024
abs,2023-03-01,45,18228.99,139.804,127.599
abs,2023-04-01,45,14623.086,110.234,122.166
abs,2023-05-01,45,16996.587,127.859,156.556
abs,2023-06-01,45,16677.145,125.347,142.43
abs,2023-07-01,45,16919.092,127.434,157.505
abs,2023-08-01,45,18121.692,136.062,150.486
abs,2023-09-01,45,17465.87,130.726,130.257
abs,2023-10-01,45,18374.66,136.603,130.247
abs,2023-11-01,45,18072.029,134.22,123.697
abs,2023-12-01,45,18561.722,138.169,120.72
abs,2024-01-01,45,17615.044,131.825,133.989
abs,2024-02-01,45,17371.134,130.228,130.393
abs,2024-03-01,45,18812.629,140.181,117.462
abs,2024-04-01,45,17269.677,129.119,119.504
abs,2024-05-01,45,18781.69,140.111,169.459
abs,2024-06-01,45,17009.112,126.91,143.103
abs,2024-07-01,45,18988.316,141.14,163.002
abs,2024-08-01,45,18867.09,139.94,154.433
abs,2024-09-01,45,17292.258,127.643,136.211
abs,2024-10-01,45,18872.608,138.851,134.489
abs,2024-11-01,45,18328.22,134.502,125.173
abs,2024-12-01,45,19850.341,145.723,128.663
abs,2025-01-01,45,16009.045,117.143,117.143
abs,2025-02-01,45,17626.344,129.224,129.224
abs,2025-03-01,45,19242.927,141.465,141.465
abs,2025-04-01,45,17625.664,130.16,130.16
abs,2025-05-01,45,19069.278,140.642,140.642
abs,2025-06-01,45,17132.599,126.162,126.162
abs,2025-07-01,45,19286.21,142.437,142.437
abs,2025-08-01,45,19618.243,144.268,144.268
abs,2025-09-01,45,18040.62,131.902,131.902
abs,2025-10-01,45,20412.182,148.899,148.899
abs,2025-11-01,45,19789.915,143.701,143.701
abs,2025-12-01,45,22277.154,161.726,161.726
abs,2026-01-01,45,18779.926,135.769,135.769
abs,2026-02-01,45,16695.808,120.777,120.777
abs,2026-03-01,45,18640.291,135.16,135.16
abs,2026-04-01,45,20364.456,147.895,147.895
abs,2026-05-01,45,18632.307,135.483,135.483
abs,2026-06-01,45,19691.052,142.874,142.874
growth_yoy,2019-01-01,45,4.771,5.595,
growth_yoy,2019-02-01,45,2.26,3.829,
growth_yoy,2019-03-01,45,2.575,3.872,
growth_yoy,2019-04-01,45,2.246,3.549,
growth_yoy,2019-05-01,45,9.08,9.139,
growth_yoy,2019-06-01,45,-2.453,-0.117,
growth_yoy,2019-07-01,45,-1.68,0.341,
growth_yoy,2019-08-01,45,1.122,1.402,
growth_yoy,2019-09-01,45,4.409,4.502,
growth_yoy,2019-10-01,45,3.728,3.315,
growth_yoy,2019-11-01,45,2.969,3.241,
growth_yoy,2019-12-01,45,4.521,4.41,
growth_yoy,2020-01-01,45,0.967,0.874,
growth_yoy,2020-02-01,45,3.546,3.613,
growth_yoy,2020-03-01,45,-15.255,-14.414,
growth_yoy,2020-04-01,45,-93.209,-93.621,
growth_yoy,2020-05-01,45,-49.519,-49.886,
growth_yoy,2020-06-01,45,-4.534,-4.646,
growth_yoy,2020-07-01,45,1.703,1.81,
growth_yoy,2020-08-01,45,1.017,0.867,
growth_yoy,2020-09-01,45,17.083,15.122,
growth_yoy,2020-10-01,45,2.182,1.656,
growth_yoy,2020-11-01,45,1.152,1.028,
growth_yoy,2020-12-01,45,14.743,14.746,
growth_yoy,2021-01-01,45,-12.387,-9.364,
growth_yoy,2021-02-01,45,-0.05,-1.112,
growth_yoy,2021-03-01,45,40.699,39.146,
growth_yoy,2021-04-01,45,1551.254,1686.782,
growth_yoy,2021-05-01,45,71.084,66.122,
growth_yoy,2021-06-01,45,-92.368,-92.812,
growth_yoy,2021-07-01,45,-85.405,-88.161,
growth_yoy,2021-08-01,45,-57.634,-58.434,
growth_yoy,2021-09-01,45,-20.897,-23.681,
growth_yoy,2021-10-01,45,10.171,10.567,
growth_yoy,2021-11-01,45,4.575,3.621,
growth_yoy,2021-12-01,45,2.16,2.821,
growth_yoy,2022-01-01,45,16.964,13.829,
growth_yoy,2022-02-01,45,11.629,6.889,
growth_yoy,2022-03-01,45,11.092,6.497,
growth_yoy,2022-04-01,45,11.336,7.243,
growth_yoy,2022-05-01,45,20.138,19.562,
growth_yoy,2022-06-01,45,1642.845,1529.905,
growth_yoy,2022-07-01,45,597.742,667.073,
growth_yoy,2022-08-01,45,183.338,168.15,
growth_yoy,2022-09-01,45,51.203,44.122,
growth_yoy,2022-10-01,45,8.856,1.197,
growth_yoy,2022-11-01,45,19.826,10.287,
growth_yoy,2022-12-01,45,20.269,9.669,
growth_yoy,2023-01-01,45,20.144,9.233,
growth_yoy,2023-02-01,45,32.346,20.918,
growth_yoy,2023-03-01,45,9.276,5.615,
growth_yoy,2023-04-01,45,-5.058,-8.988,
growth_yoy,2023-05-01,45,22.016,17.969,
growth_yoy,2023-06-01,45,3.414,3.099,
growth_yoy,2023-07-01,45,19.865,20.401,
growth_yoy,2023-08-01,45,9.735,8.728,
growth_yoy,2023-09-01,45,6.999,5.931,
growth_yoy,2023-10-01,45,19.148,15.783,
growth_yoy,2023-11-01,45,12.694,10.459,
growth_yoy,2023-12-01,45,5.875,3.892,
growth_yoy,2024-01-01,45,16.045,12.099,
growth_yoy,2024-02-01,45,5.373,2.648,
growth_yoy,2024-03-01,45,3.202,0.27,
growth_yoy,2024-04-01,45,18.099,17.132,
growth_yoy,2024-05-01,45,10.503,9.582,
growth_yoy,2024-06-01,45,1.991,1.247,
growth_yoy,2024-07-01,45,12.23,10.755,
growth_yoy,2024-08-01,45,4.113,2.85,
growth_yoy,2024-09-01,45,-0.994,-2.358,
