series,date,group,sales,volume
abs,2018-01-01,451,6178.979,88.484
abs,2018-02-01,451,5622.871,85.907
abs,2018-03-01,451,6888.017,100.352
abs,2018-04-01,451,6812.464,90.96
abs,2018-05-01,451,6732.374,89.864
abs,2018-06-01,451,7346.928,107.381
abs,2018-07-01,451,8128.925,115.593
abs,2018-08-01,451,7733.918,107.074
abs,2018-09-01,451,5604.835,76.575
abs,2018-10-01,451,6548.46,90.134
abs,2018-11-01,451,6660.276,92.116
abs,2018-12-01,451,6199.289,86.304
abs,2019-01-01,451,6487.527,93.701
abs,2019-02-01,451,5600.38,86.609
abs,2019-03-01,451,6963.785,102.539
abs,2019-04-01,451,6875.295,92.812
abs,2019-05-01,451,7614.315,102.8
abs,2019-06-01,451,6716.026,99.344
abs,2019-07-01,451,7657.625,109.841
abs,2019-08-01,451,7665.1,105.961
abs,2019-09-01,451,5868.263,80.719
abs,2019-10-01,451,6801.695,93.478
abs,2019-11-01,451,6796.091,94.382
abs,2019-12-01,451,6490.656,90.568
abs,2020-01-01,451,6465.47,93.184
abs,2020-02-01,451,5782.392,89.837
abs,2020-03-01,451,5576.005,82.293
abs,2020-04-01,451,436.328,5.705
abs,2020-05-01,451,3150.437,38.817
abs,2020-06-01,451,6726.138,101.005
abs,2020-07-01,451,8098.389,118.194
abs,2020-08-01,451,7902.718,110.695
abs,2020-09-01,451,7910.621,113.789
abs,2020-10-01,451,7237.003,102.095
abs,2020-11-01,451,7278.613,104.709
abs,2020-12-01,451,8392.418,123.844
abs,2021-01-01,451,5327.547,81.742
abs,2021-02-01,451,6002.123,93.239
abs,2021-03-01,451,8943.912,132.959
abs,2021-04-01,451,8165.791,121.947
abs,2021-05-01,451,6295.825,83.451
abs,2021-06-01,451,349.759,4.649
abs,2021-07-01,451,1311.939,17.405
abs,2021-08-01,451,3089.963,44.297
abs,2021-09-01,451,6478.799,93.908
abs,2021-10-01,451,9082.439,132.765
abs,2021-11-01,451,7617.49,110.975
abs,2021-12-01,451,8014.615,119.336
abs,2022-01-01,451,6132.007,93.97
abs,2022-02-01,451,6202.937,95.257
abs,2022-03-01,451,9893.685,146.641
abs,2022-04-01,451,8261.227,123.382
abs,2022-05-01,451,6881.602,101.436
abs,2022-06-01,451,8849.74,126.826
abs,2022-07-01,451,6973.595,98.86
abs,2022-08-01,451,9351.591,130.896
