series,date,section,index,index_sa
abs,2015-01-01,B,107.236,100.441
abs,2015-02-01,B,96.262,99.433
abs,2015-03-01,B,107.744,100.934
abs,2015-04-01,B,96.051,99.236
abs,2015-05-01,B,103.504,102.34
abs,2015-06-01,B,96.875,100.15
abs,2015-07-01,B,100.081,99.014
abs,2015-08-01,B,91.268,93.36
abs,2015-09-01,B,96.827,101.533
abs,2015-10-01,B,100.116,98.852
abs,2015-11-01,B,98.746,95.187
abs,2015-12-01,B,105.29,100.123
abs,2016-01-01,B,106.927,100.7
abs,2016-02-01,B,98.448,103.1
abs,2016-03-01,B,104.027,99.6
abs,2016-04-01,B,97.691,102.4
abs,2016-05-01,B,102.428,102.0
abs,2016-06-01,B,103.722,104.6
abs,2016-07-01,B,103.31,104.0
abs,2016-08-01,B,94.822,100.6
abs,2016-09-01,B,96.483,101.8
abs,2016-10-01,B,104.347,102.1
abs,2016-11-01,B,104.533,102.9
abs,2016-12-01,B,111.825,104.8
abs,2017-01-01,B,108.584,102.325
abs,2017-02-01,B,98.907,103.414
abs,2017-03-01,B,107.309,102.47
abs,2017-04-01,B,96.864,100.009
abs,2017-05-01,B,98.635,97.403
abs,2017-06-01,B,103.227,104.159
abs,2017-07-01,B,101.303,103.025
abs,2017-08-01,B,101.066,108.565
abs,2017-09-01,B,98.255,104.424
abs,2017-10-01,B,104.874,102.972
abs,2017-11-01,B,106.587,104.082
abs,2017-12-01,B,107.254,100.702
abs,2018-01-01,B,107.634,100.455
abs,2018-02-01,B,94.427,99.314
abs,2018-03-01,B,105.614,100.57
abs,2018-04-01,B,100.096,103.179
abs,2018-05-01,B,100.13,101.109
abs,2018-06-01,B,97.444,99.357
abs,2018-07-01,B,95.457,97.797
abs,2018-08-01,B,94.85,99.686
abs,2018-09-01,B,93.547,99.589
abs,2018-10-01,B,106.493,104.162
abs,2018-11-01,B,103.546,101.038
abs,2018-12-01,B,108.353,100.9
abs,2019-01-01,B,109.376,101.706
abs,2019-02-01,B,92.397,96.484
abs,2019-03-01,B,106.302,101.218
abs,2019-04-01,B,99.95,102.571
abs,2019-05-01,B,103.712,103.133
abs,2019-06-01,B,98.835,101.614
abs,2019-07-01,B,87.897,91.019
abs,2019-08-01,B,93.563,98.737
abs,2019-09-01,B,91.727,98.828
abs,2019-10-01,B,99.868,99.596
abs,2019-11-01,B,105.306,100.744
abs,2019-12-01,B,103.082,96.029
abs,2020-01-01,B,105.439,98.052
abs,2020-02-01,B,97.365,100.22
abs,2020-03-01,B,98.653,93.661
abs,2020-04-01,B,81.902,83.133
abs,2020-05-01,B,81.445,81.043
abs,2020-06-01,B,84.514,86.537
abs,2020-07-01,B,87.885,91.062
abs,2020-08-01,B,86.181,91.808
abs,2020-09-01,B,84.984,91.458
abs,2020-10-01,B,90.824,91.08
abs,2020-11-01,B,89.016,85.786
abs,2020-12-01,B,97.523,92.26
abs,2021-01-01,B,100.92,93.29
abs,2021-02-01,B,92.262,94.363
abs,2021-03-01,B,98.267,93.036
abs,2021-04-01,B,92.895,95.227
abs,2021-05-01,B,99.423,98.778
abs,2021-06-01,B,92.316,94.95
abs,2021-07-01,B,86.926,89.72
abs,2021-08-01,B,84.256,89.479
abs,2021-09-01,B,80.205,86.769
abs,2021-10-01,B,87.789,87.358
abs,2021-11-01,B,91.382,88.637
abs,2021-12-01,B,95.119,90.387
abs,2022-01-01,B,97.544,90.204
abs,2022-02-01,B,91.628,92.947
abs,2022-03-01,B,97.876,92.596
abs,2022-04-01,B,91.522,93.802
abs,2022-05-01,B,92.266,92.688
abs,2022-06-01,B,94.099,96.321
abs,2022-07-01,B,92.006,94.748
abs,2022-08-01,B,90.789,97.037
abs,2022-09-01,B,93.396,101.276
abs,2022-10-01,B,95.937,94.552
abs,2022-11-01,B,98.381,95.52
abs,2022-12-01,B,98.347,93.4
abs,2023-01-01,B,100.52,92.806
abs,2023-02-01,B,90.902,91.992
abs,2023-03-01,B,98.621,92.916
abs,2023-04-01,B,88.074,90.534
abs,2023-05-01,B,94.809,99.166
abs,2023-06-01,B,87.529,90.181
abs,2023-07-01,B,94.562,97.732
abs,2023-08-01,B,89.432,94.975
abs,2023-09-01,B,87.963,94.204
abs,2023-10-01,B,101.444,98.264
abs,2023-11-01,B,99.603,95.851
abs,2023-12-01,B,102.378,96.618
abs,2024-01-01,B,105.55,96.781
abs,2024-02-01,B,98.228,99.504
abs,2024-03-01,B,103.454,97.698
abs,2024-04-01,B,96.919,98.61
abs,2024-05-01,B,88.265,93.357
abs,2024-06-01,B,91.786,95.143
abs,2024-07-01,B,89.855,93.71
abs,2024-08-01,B,83.666,87.828
abs,2024-09-01,B,86.006,93.13
abs,2024-10-01,B,98.614,95.793
abs,2024-11-01,B,98.843,96.199
abs,2024-12-01,B,102.778,97.161
abs,2025-01-01,B,102.273,94.623
abs,2025-02-01,B,89.501,90.911
abs,2025-03-01,B,105.443,99.203
abs,2025-04-01,B,90.837,93.617
abs,2025-05-01,B,79.233,83.415
abs,2025-06-01,B,91.781,95.273
abs,2025-07-01,B,93.754,96.764
abs,2025-08-01,B,97.683,103.921
abs,2025-09-01,B,94.817,101.178
abs,2025-10-01,B,104.374,99.678
abs,2025-11-01,B,101.094,97.238
abs,2025-12-01,B,100.211,94.757
abs,2026-01-01,B,102.338,94.688
abs,2026-02-01,B,87.743,89.19
abs,2026-03-01,B,98.542,92.703
abs,2026-04-01,B,96.991,100.083
abs,2026-05-01,B,94.901,100.099
abs,2026-06-01,B,94.619,98.373
growth_yoy,2016-01-01,B,-0.288,
growth_yoy,2016-02-01,B,2.271,
growth_yoy,2016-03-01,B,-3.45,
growth_yoy,2016-04-01,B,1.708,
growth_yoy,2016-05-01,B,-1.039,
growth_yoy,2016-06-01,B,7.068,
growth_yoy,2016-07-01,B,3.227,
growth_yoy,2016-08-01,B,3.893,
growth_yoy,2016-09-01,B,-0.355,
growth_yoy,2016-10-01,B,4.227,
growth_yoy,2016-11-01,B,5.86,
growth_yoy,2016-12-01,B,6.206,
growth_yoy,2017-01-01,B,1.55,
growth_yoy,2017-02-01,B,0.466,
growth_yoy,2017-03-01,B,3.156,
growth_yoy,2017-04-01,B,-0.847,
growth_yoy,2017-05-01,B,-3.704,
growth_yoy,2017-06-01,B,-0.477,
growth_yoy,2017-07-01,B,-1.943,
growth_yoy,2017-08-01,B,6.585,
growth_yoy,2017-09-01,B,1.836,
growth_yoy,2017-10-01,B,0.504,
growth_yoy,2017-11-01,B,1.965,
growth_yoy,2017-12-01,B,-4.088,
growth_yoy,2018-01-01,B,-0.875,
growth_yoy,2018-02-01,B,-4.529,
growth_yoy,2018-03-01,B,-1.58,
growth_yoy,2018-04-01,B,3.336,
growth_yoy,2018-05-01,B,1.516,
growth_yoy,2018-06-01,B,-5.603,
growth_yoy,2018-07-01,B,-5.771,
growth_yoy,2018-08-01,B,-6.15,
growth_yoy,2018-09-01,B,-4.792,
growth_yoy,2018-10-01,B,1.544,
growth_yoy,2018-11-01,B,-2.853,
growth_yoy,2018-12-01,B,1.025,
growth_yoy,2019-01-01,B,1.619,
growth_yoy,2019-02-01,B,-2.15,
growth_yoy,2019-03-01,B,0.652,
growth_yoy,2019-04-01,B,-0.146,
growth_yoy,2019-05-01,B,3.577,
growth_yoy,2019-06-01,B,1.428,
growth_yoy,2019-07-01,B,-7.919,
growth_yoy,2019-08-01,B,-1.357,
growth_yoy,2019-09-01,B,-1.946,
growth_yoy,2019-10-01,B,-6.221,
growth_yoy,2019-11-01,B,1.7,
growth_yoy,2019-12-01,B,-4.865,
growth_yoy,2020-01-01,B,-3.6,
growth_yoy,2020-02-01,B,5.376,
growth_yoy,2020-03-01,B,-7.196,
growth_yoy,2020-04-01,B,-18.057,
growth_yoy,2020-05-01,B,-21.47,
growth_yoy,2020-06-01,B,-14.49,
growth_yoy,2020-07-01,B,-0.014,
growth_yoy,2020-08-01,B,-7.89,
growth_yoy,2020-09-01,B,-7.351,
growth_yoy,2020-10-01,B,-9.056,
growth_yoy,2020-11-01,B,-15.469,
growth_yoy,2020-12-01,B,-5.392,
growth_yoy,2021-01-01,B,-4.286,
growth_yoy,2021-02-01,B,-5.24,
growth_yoy,2021-03-01,B,-0.391,
growth_yoy,2021-04-01,B,13.422,
growth_yoy,2021-05-01,B,22.074,
growth_yoy,2021-06-01,B,9.232,
growth_yoy,2021-07-01,B,-1.091,
growth_yoy,2021-08-01,B,-2.234,
growth_yoy,2021-09-01,B,-5.624,
growth_yoy,2021-10-01,B,-3.342,
growth_yoy,2021-11-01,B,2.659,
growth_yoy,2021-12-01,B,-2.466,
growth_yoy,2022-01-01,B,-3.345,
growth_yoy,2022-02-01,B,-0.688,
growth_yoy,2022-03-01,B,-0.399,
growth_yoy,2022-04-01,B,-1.479,
growth_yoy,2022-05-01,B,-7.199,
growth_yoy,2022-06-01,B,1.931,
growth_yoy,2022-07-01,B,5.844,
growth_yoy,2022-08-01,B,7.754,
growth_yoy,2022-09-01,B,16.447,
growth_yoy,2022-10-01,B,9.282,
growth_yoy,2022-11-01,B,7.658,
growth_yoy,2022-12-01,B,3.394,
growth_yoy,2023-01-01,B,3.051,
growth_yoy,2023-02-01,B,-0.792,
growth_yoy,2023-03-01,B,0.761,
growth_yoy,2023-04-01,B,-3.767,
growth_yoy,2023-05-01,B,2.756,
growth_yoy,2023-06-01,B,-6.982,
growth_yoy,2023-07-01,B,2.777,
growth_yoy,2023-08-01,B,-1.495,
growth_yoy,2023-09-01,B,-5.817,
growth_yoy,2023-10-01,B,5.74,
growth_yoy,2023-11-01,B,1.242,
growth_yoy,2023-12-01,B,4.099,
growth_yoy,2024-01-01,B,5.004,
growth_yoy,2024-02-01,B,8.059,
growth_yoy,2024-03-01,B,4.901,
growth_yoy,2024-04-01,B,10.043,
growth_yoy,2024-05-01,B,-6.902,
growth_yoy,2024-06-01,B,4.864,
growth_yoy,2024-07-01,B,-4.978,
growth_yoy,2024-08-01,B,-6.447,
growth_yoy,2024-09-01,B,-2.225,
growth_yoy,2024-10-01,B,-2.79,
growth_yoy,2024-11-01,B,-0.763,
growth_yoy,2024-12-01,B,0.39,
growth_yoy,2025-01-01,B,-3.105,
growth_yoy,2025-02-01,B,-8.884,
growth_yoy,2025-03-01,B,1.923,
growth_yoy,2025-04-01,B,-6.276,
growth_yoy,2025-05-01,B,-10.232,
growth_yoy,2025-06-01,B,-0.006,
growth_yoy,2025-07-01,B,4.34,
growth_yoy,2025-08-01,B,16.754,
growth_yoy,2025-09-01,B,10.245,
growth_yoy,2025-10-01,B,5.84,
growth_yoy,2025-11-01,B,2.277,
growth_yoy,2025-12-01,B,-2.497,
growth_yoy,2026-01-01,B,0.063,
growth_yoy,2026-02-01,B,-1.965,
growth_yoy,2026-03-01,B,-6.545,
growth_yoy,2026-04-01,B,6.775,
growth_yoy,2026-05-01,B,19.774,
growth_yoy,2026-06-01,B,3.093,
growth_mom,2015-02-01,B,-10.233,-1.004
growth_mom,2015-03-01,B,11.928,1.509
growth_mom,2015-04-01,B,-10.853,-1.682
growth_mom,2015-05-01,B,7.76,3.129
growth_mom,2015-06-01,B,-6.404,-2.14
growth_mom,2015-07-01,B,3.309,-1.134
growth_mom,2015-08-01,B,-8.806,-5.71
growth_mom,2015-09-01,B,6.091,8.754
growth_mom,2015-10-01,B,3.396,-2.641
growth_mom,2015-11-01,B,-1.368,-3.708
growth_mom,2015-12-01,B,6.627,5.186
growth_mom,2016-01-01,B,1.555,0.577
growth_mom,2016-02-01,B,-7.93,2.383
growth_mom,2016-03-01,B,5.667,-3.395
growth_mom,2016-04-01,B,-6.09,2.811
growth_mom,2016-05-01,B,4.849,-0.391
growth_mom,2016-06-01,B,1.263,2.549
growth_mom,2016-07-01,B,-0.397,-0.574
growth_mom,2016-08-01,B,-8.217,-3.269
growth_mom,2016-09-01,B,1.752,1.193
growth_mom,2016-10-01,B,8.151,0.295
growth_mom,2016-11-01,B,0.178,0.784
growth_mom,2016-12-01,B,6.976,1.846
growth_mom,2017-01-01,B,-2.898,-2.362
growth_mom,2017-02-01,B,-8.912,1.064
growth_mom,2017-03-01,B,8.495,-0.913
growth_mom,2017-04-01,B,-9.734,-2.402
growth_mom,2017-05-01,B,1.827,-2.606
growth_mom,2017-06-01,B,4.656,6.936
growth_mom,2017-07-01,B,-1.864,-1.089
growth_mom,2017-08-01,B,-0.234,5.377
growth_mom,2017-09-01,B,-2.781,-3.814
growth_mom,2017-10-01,B,6.736,-1.39
growth_mom,2017-11-01,B,1.634,1.078
growth_mom,2017-12-01,B,0.626,-3.247
growth_mom,2018-01-01,B,0.354,-0.245
growth_mom,2018-02-01,B,-12.27,-1.136
growth_mom,2018-03-01,B,11.847,1.265
growth_mom,2018-04-01,B,-5.224,2.594
growth_mom,2018-05-01,B,0.034,-2.006
growth_mom,2018-06-01,B,-2.682,-1.733
growth_mom,2018-07-01,B,-2.039,-1.57
growth_mom,2018-08-01,B,-0.636,1.932
growth_mom,2018-09-01,B,-1.374,-0.097
growth_mom,2018-10-01,B,13.839,4.592
growth_mom,2018-11-01,B,-2.767,-2.999
growth_mom,2018-12-01,B,4.642,-0.137
growth_mom,2019-01-01,B,0.944,0.799
growth_mom,2019-02-01,B,-15.524,-5.134
growth_mom,2019-03-01,B,15.05,4.907
growth_mom,2019-04-01,B,-5.976,1.337
growth_mom,2019-05-01,B,3.764,0.548
growth_mom,2019-06-01,B,-4.702,-1.473
growth_mom,2019-07-01,B,-11.067,-10.427
growth_mom,2019-08-01,B,6.446,8.48
growth_mom,2019-09-01,B,-1.963,0.092
growth_mom,2019-10-01,B,8.875,0.777
growth_mom,2019-11-01,B,5.445,1.153
growth_mom,2019-12-01,B,-2.112,-4.68
growth_mom,2020-01-01,B,2.287,2.107
growth_mom,2020-02-01,B,-7.658,2.211
growth_mom,2020-03-01,B,1.323,-6.545
growth_mom,2020-04-01,B,-16.98,-11.241
growth_mom,2020-05-01,B,-0.558,-2.514
growth_mom,2020-06-01,B,3.768,6.779
growth_mom,2020-07-01,B,3.989,5.229
growth_mom,2020-08-01,B,-1.94,0.819
growth_mom,2020-09-01,B,-1.389,-0.381
growth_mom,2020-10-01,B,6.872,-0.413
growth_mom,2020-11-01,B,-1.991,-5.812
growth_mom,2020-12-01,B,9.558,7.547
growth_mom,2021-01-01,B,3.483,1.116
growth_mom,2021-02-01,B,-8.579,1.15
growth_mom,2021-03-01,B,6.509,-1.406
growth_mom,2021-04-01,B,-5.467,2.355
growth_mom,2021-05-01,B,7.027,3.729
growth_mom,2021-06-01,B,-7.148,-3.875
growth_mom,2021-07-01,B,-5.839,-5.508
