series,date,item,index
abs,2015-01-01,06101,109.017
abs,2015-02-01,06101,97.404
abs,2015-03-01,06101,111.448
abs,2015-04-01,06101,100.314
abs,2015-05-01,06101,105.981
abs,2015-06-01,06101,92.411
abs,2015-07-01,06101,95.267
abs,2015-08-01,06101,90.288
abs,2015-09-01,06101,96.727
abs,2015-10-01,06101,96.831
abs,2015-11-01,06101,99.847
abs,2015-12-01,06101,104.464
abs,2016-01-01,06101,105.215
abs,2016-02-01,06101,98.036
abs,2016-03-01,06101,103.957
abs,2016-04-01,06101,98.592
abs,2016-05-01,06101,100.328
abs,2016-06-01,06101,103.157
abs,2016-07-01,06101,106.235
abs,2016-08-01,06101,97.442
abs,2016-09-01,06101,95.483
abs,2016-10-01,06101,101.706
abs,2016-11-01,06101,100.685
abs,2016-12-01,06101,103.638
abs,2017-01-01,06101,106.848
abs,2017-02-01,06101,96.486
abs,2017-03-01,06101,104.746
abs,2017-04-01,06101,95.315
abs,2017-05-01,06101,95.773
abs,2017-06-01,06101,100.583
abs,2017-07-01,06101,99.01
abs,2017-08-01,06101,97.285
abs,2017-09-01,06101,96.336
abs,2017-10-01,06101,100.233
abs,2017-11-01,06101,103.324
abs,2017-12-01,06101,98.236
abs,2018-01-01,06101,106.157
abs,2018-02-01,06101,94.386
abs,2018-03-01,06101,105.633
abs,2018-04-01,06101,98.524
abs,2018-05-01,06101,100.532
abs,2018-06-01,06101,101.028
abs,2018-07-01,06101,101.879
abs,2018-08-01,06101,92.247
abs,2018-09-01,06101,91.258
abs,2018-10-01,06101,101.595
abs,2018-11-01,06101,97.929
abs,2018-12-01,06101,100.695
abs,2019-01-01,06101,102.628
abs,2019-02-01,06101,91.513
abs,2019-03-01,06101,102.012
abs,2019-04-01,06101,94.76
abs,2019-05-01,06101,99.603
abs,2019-06-01,06101,94.542
abs,2019-07-01,06101,80.064
abs,2019-08-01,06101,86.427
abs,2019-09-01,06101,86.03
abs,2019-10-01,06101,93.214
abs,2019-11-01,06101,96.861
abs,2019-12-01,06101,94.02
abs,2020-01-01,06101,100.347
abs,2020-02-01,06101,91.697
abs,2020-03-01,06101,96.053
abs,2020-04-01,06101,78.167
abs,2020-05-01,06101,77.862
abs,2020-06-01,06101,79.898
abs,2020-07-01,06101,84.311
abs,2020-08-01,06101,82.546
abs,2020-09-01,06101,79.496
abs,2020-10-01,06101,83.862
abs,2020-11-01,06101,81.912
abs,2020-12-01,06101,85.595
abs,2021-01-01,06101,90.784
abs,2021-02-01,06101,80.989
abs,2021-03-01,06101,87.444
abs,2021-04-01,06101,80.485
abs,2021-05-01,06101,87.565
abs,2021-06-01,06101,83.365
abs,2021-07-01,06101,77.523
abs,2021-08-01,06101,75.086
abs,2021-09-01,06101,72.237
abs,2021-10-01,06101,75.628
abs,2021-11-01,06101,77.075
abs,2021-12-01,06101,80.874
