series,date,division,index
abs,2015-01-01,overall,100.99
abs,2015-02-01,overall,92.34
abs,2015-03-01,overall,99.977
abs,2015-04-01,overall,100.709
abs,2015-05-01,overall,98.94
abs,2015-06-01,overall,101.666
abs,2015-07-01,overall,98.537
abs,2015-08-01,overall,98.836
abs,2015-09-01,overall,101.739
abs,2015-10-01,overall,102.364
abs,2015-11-01,overall,100.171
abs,2015-12-01,overall,103.731
abs,2016-01-01,overall,105.683
abs,2016-02-01,overall,95.436
abs,2016-03-01,overall,102.679
abs,2016-04-01,overall,101.167
abs,2016-05-01,overall,100.832
abs,2016-06-01,overall,105.518
abs,2016-07-01,overall,101.38
abs,2016-08-01,overall,102.973
abs,2016-09-01,overall,104.266
abs,2016-10-01,overall,104.1
abs,2016-11-01,overall,104.227
abs,2016-12-01,overall,105.644
abs,2017-01-01,overall,110.271
abs,2017-02-01,overall,102.067
abs,2017-03-01,overall,109.13
abs,2017-04-01,overall,106.337
abs,2017-05-01,overall,107.745
abs,2017-06-01,overall,108.12
abs,2017-07-01,overall,109.166
abs,2017-08-01,overall,110.46
abs,2017-09-01,overall,109.314
abs,2017-10-01,overall,108.07
abs,2017-11-01,overall,109.154
abs,2017-12-01,overall,109.565
abs,2018-01-01,overall,115.797
abs,2018-02-01,overall,104.621
abs,2018-03-01,overall,113.844
abs,2018-04-01,overall,112.457
abs,2018-05-01,overall,113.108
abs,2018-06-01,overall,113.954
abs,2018-07-01,overall,119.218
abs,2018-08-01,overall,117.186
abs,2018-09-01,overall,113.965
abs,2018-10-01,overall,114.651
abs,2018-11-01,overall,114.202
abs,2018-12-01,overall,115.473
abs,2019-01-01,overall,119.463
abs,2019-02-01,overall,108.903
abs,2019-03-01,overall,119.732
abs,2019-04-01,overall,118.652
abs,2019-05-01,overall,119.174
abs,2019-06-01,overall,119.804
abs,2019-07-01,overall,124.5
abs,2019-08-01,overall,124.881
abs,2019-09-01,overall,121.353
abs,2019-10-01,overall,118.693
abs,2019-11-01,overall,119.888
abs,2019-12-01,overall,121.966
