series,date,division,index
abs,2015-01-01,overall,98.078
abs,2015-02-01,overall,87.371
abs,2015-03-01,overall,98.793
abs,2015-04-01,overall,95.194
abs,2015-05-01,overall,99.701
abs,2015-06-01,overall,103.005
abs,2015-07-01,overall,101.566
abs,2015-08-01,overall,101.15
abs,2015-09-01,overall,104.215
abs,2015-10-01,overall,108.249
abs,2015-11-01,overall,99.955
abs,2015-12-01,overall,102.724
abs,2016-01-01,overall,101.991
abs,2016-02-01,overall,91.629
abs,2016-03-01,overall,104.191
abs,2016-04-01,overall,98.612
abs,2016-05-01,overall,104.27
abs,2016-06-01,overall,107.948
abs,2016-07-01,overall,105.682
abs,2016-08-01,overall,106.227
abs,2016-09-01,overall,108.904
abs,2016-10-01,overall,114.033
abs,2016-11-01,overall,108.391
abs,2016-12-01,overall,108.98
abs,2017-01-01,overall,107.27
abs,2017-02-01,overall,98.591
abs,2017-03-01,overall,109.687
abs,2017-04-01,overall,105.698
abs,2017-05-01,overall,111.943
abs,2017-06-01,overall,113.634
abs,2017-07-01,overall,115.033
abs,2017-08-01,overall,114.176
abs,2017-09-01,overall,115.803
abs,2017-10-01,overall,119.095
abs,2017-11-01,overall,116.182
abs,2017-12-01,overall,115.755
abs,2018-01-01,overall,115.683
abs,2018-02-01,overall,104.335
abs,2018-03-01,overall,114.09
abs,2018-04-01,overall,111.124
abs,2018-05-01,overall,116.135
abs,2018-06-01,overall,118.306
abs,2018-07-01,overall,118.891
abs,2018-08-01,overall,118.085
abs,2018-09-01,overall,121.649
abs,2018-10-01,overall,125.112
abs,2018-11-01,overall,119.971
abs,2018-12-01,overall,120.244
abs,2019-01-01,overall,121.083
abs,2019-02-01,overall,108.016
abs,2019-03-01,overall,118.203
abs,2019-04-01,overall,115.255
abs,2019-05-01,overall,120.294
abs,2019-06-01,overall,122.113
abs,2019-07-01,overall,123.422
abs,2019-08-01,overall,120.562
abs,2019-09-01,overall,122.441
abs,2019-10-01,overall,127.357
abs,2019-11-01,overall,121.934
abs,2019-12-01,overall,123.083
abs,2020-01-01,overall,122.208
abs,2020-02-01,overall,114.453
abs,2020-03-01,overall,115.559
abs,2020-04-01,overall,80.473
abs,2020-05-01,overall,99.069
abs,2020-06-01,overall,132.3
abs,2020-07-01,overall,129.824
abs,2020-08-01,overall,125.095
abs,2020-09-01,overall,129.356
abs,2020-10-01,overall,130.972
abs,2020-11-01,overall,125.077
abs,2020-12-01,overall,128.834
abs,2021-01-01,overall,127.809
abs,2021-02-01,overall,121.078
abs,2021-03-01,overall,129.904
abs,2021-04-01,overall,122.988
abs,2021-05-01,overall,124.147
abs,2021-06-01,overall,143.867
abs,2021-07-01,overall,132.31
abs,2021-08-01,overall,134.57
abs,2021-09-01,overall,137.996
abs,2021-10-01,overall,142.26
abs,2021-11-01,overall,140.684
abs,2021-12-01,overall,141.216
abs,2022-01-01,overall,136.342
abs,2022-02-01,overall,126.882
abs,2022-03-01,overall,140.012
abs,2022-04-01,overall,130.166
abs,2022-05-01,overall,131.72
abs,2022-06-01,overall,155.123
abs,2022-07-01,overall,144.825
abs,2022-08-01,overall,151.249
abs,2022-09-01,overall,151.917
abs,2022-10-01,overall,149.351
abs,2022-11-01,overall,147.851
abs,2022-12-01,overall,144.983
abs,2023-01-01,overall,137.203
abs,2023-02-01,overall,131.58
abs,2023-03-01,overall,145.11
abs,2023-04-01,overall,125.611
abs,2023-05-01,overall,135.479
abs,2023-06-01,overall,149.053
abs,2023-07-01,overall,140.922
abs,2023-08-01,overall,147.245
abs,2023-09-01,overall,148.904
abs,2023-10-01,overall,147.033
abs,2023-11-01,overall,143.864
abs,2023-12-01,overall,139.107
abs,2024-01-01,overall,139.364
abs,2024-02-01,overall,131.329
abs,2024-03-01,overall,145.765
abs,2024-04-01,overall,128.908
abs,2024-05-01,overall,140.505
abs,2024-06-01,overall,157.143
abs,2024-07-01,overall,151.961
abs,2024-08-01,overall,156.488
abs,2024-09-01,overall,153.908
abs,2024-10-01,overall,151.816
abs,2024-11-01,overall,152.255
abs,2024-12-01,overall,148.551
abs,2025-01-01,overall,147.15
abs,2025-02-01,overall,138.854
