date,state,branch,cases
2019-01-01,Johor,Johor,360
2019-01-01,Johor,Muar,99
2019-01-01,Kedah,Kedah,163
2019-01-01,Kedah,Langkawi,31
2019-01-01,Kelantan,Gua Musang,16
2019-01-01,Kelantan,Kelantan,213
2019-01-01,Melaka,Melaka,148
2019-01-01,Negeri Sembilan,Negeri Sembilan,66
2019-01-01,Pahang,Pahang,96
2019-01-01,Pahang,Raub,31
2019-01-01,Perak,Perak,161
2019-01-01,Perak,Taiping,31
2019-01-01,Perlis,Perlis,67
2019-01-01,Pulau Pinang,Pulau Pinang,95
2019-01-01,Sabah,Sabah,137
2019-01-01,Sarawak,Miri,45
2019-01-01,Sarawak,Sarawak,175
2019-01-01,Sarawak,Sibu,54
2019-01-01,Selangor,Selangor,211
2019-01-01,Terengganu,Terengganu,64
2019-01-01,W.P. Kuala Lumpur,Kuala Lumpur,59
2019-01-01,W.P. Labuan,Labuan,33
2019-01-01,W.P. Putrajaya,Ibu Pejabat,54
2019-02-01,Johor,Johor,359
2019-02-01,Johor,Muar,66
2019-02-01,Kedah,Kedah,182
2019-02-01,Kedah,Langkawi,28
2019-02-01,Kelantan,Gua Musang,23
2019-02-01,Kelantan,Kelantan,185
2019-02-01,Melaka,Melaka,89
2019-02-01,Negeri Sembilan,Negeri Sembilan,71
2019-02-01,Pahang,Pahang,88
2019-02-01,Pahang,Raub,36
2019-02-01,Perak,Perak,162
2019-02-01,Perak,Taiping,47
2019-02-01,Perlis,Perlis,50
2019-02-01,Pulau Pinang,Pulau Pinang,86
2019-02-01,Sabah,Sabah,150
2019-02-01,Sarawak,Miri,73
2019-02-01,Sarawak,Sarawak,139
2019-02-01,Sarawak,Sibu,59
2019-02-01,Selangor,Selangor,226
2019-02-01,Terengganu,Terengganu,59
2019-02-01,W.P. Kuala Lumpur,Kuala Lumpur,152
2019-02-01,W.P. Labuan,Labuan,28
2019-02-01,W.P. Putrajaya,Ibu Pejabat,52
2019-03-01,Johor,Johor,425
2019-03-01,Johor,Muar,106
2019-03-01,Kedah,Kedah,124
2019-03-01,Kedah,Langkawi,41
2019-03-01,Kelantan,Gua Musang,10
2019-03-01,Kelantan,Kelantan,203
2019-03-01,Melaka,Melaka,70
2019-03-01,Negeri Sembilan,Negeri Sembilan,56
2019-03-01,Pahang,Pahang,117
2019-03-01,Pahang,Raub,19
2019-03-01,Perak,Perak,245
2019-03-01,Perak,Taiping,62
2019-03-01,Perlis,Perlis,50
2019-03-01,Pulau Pinang,Pulau Pinang,130
2019-03-01,Sabah,Sabah,162
2019-03-01,Sarawak,Miri,67
2019-03-01,Sarawak,Sarawak,196
2019-03-01,Sarawak,Sibu,53
2019-03-01,Selangor,Selangor,182
2019-03-01,Terengganu,Terengganu,72
2019-03-01,W.P. Kuala Lumpur,Kuala Lumpur,134
2019-03-01,W.P. Labuan,Labuan,24
2019-03-01,W.P. Putrajaya,Ibu Pejabat,58
2019-04-01,Johor,Johor,385
2019-04-01,Johor,Muar,130
2019-04-01,Kedah,Kedah,157
2019-04-01,Kedah,Langkawi,31
2019-04-01,Kelantan,Gua Musang,14
2019-04-01,Kelantan,Kelantan,226
2019-04-01,Melaka,Melaka,68
2019-04-01,Negeri Sembilan,Negeri Sembilan,47
2019-04-01,Pahang,Pahang,132
2019-04-01,Pahang,Raub,40
2019-04-01,Perak,Perak,265
2019-04-01,Perak,Taiping,40
2019-04-01,Perlis,Perlis,65
2019-04-01,Pulau Pinang,Pulau Pinang,167
2019-04-01,Sabah,Sabah,116
2019-04-01,Sarawak,Miri,117
2019-04-01,Sarawak,Sarawak,152
2019-04-01,Sarawak,Sibu,53
2019-04-01,Selangor,Selangor,223
2019-04-01,Terengganu,Terengganu,67
2019-04-01,W.P. Kuala Lumpur,Kuala Lumpur,184
2019-04-01,W.P. Labuan,Labuan,15
2019-04-01,W.P. Putrajaya,Ibu Pejabat,52
2019-05-01,Johor,Johor,246
2019-05-01,Johor,Muar,69
2019-05-01,Kedah,Kedah,115
2019-05-01,Kedah,Langkawi,36
2019-05-01,Kelantan,Gua Musang,14
2019-05-01,Kelantan,Kelantan,147
2019-05-01,Melaka,Melaka,42
2019-05-01,Negeri Sembilan,Negeri Sembilan,56
2019-05-01,Pahang,Pahang,100
2019-05-01,Pahang,Raub,16
2019-05-01,Perak,Perak,164
2019-05-01,Perak,Taiping,30
2019-05-01,Perlis,Perlis,56
2019-05-01,Pulau Pinang,Pulau Pinang,62
2019-05-01,Sabah,Sabah,108
2019-05-01,Sarawak,Miri,100
2019-05-01,Sarawak,Sarawak,126
2019-05-01,Sarawak,Sibu,51
2019-05-01,Selangor,Selangor,207
2019-05-01,Terengganu,Terengganu,35
2019-05-01,W.P. Kuala Lumpur,Kuala Lumpur,150
2019-05-01,W.P. Labuan,Labuan,20
2019-05-01,W.P. Putrajaya,Ibu Pejabat,48
2019-06-01,Johor,Johor,288
2019-06-01,Johor,Muar,56
2019-06-01,Kedah,Kedah,136
2019-06-01,Kedah,Langkawi,34
2019-06-01,Kelantan,Gua Musang,1
2019-06-01,Kelantan,Kelantan,176
2019-06-01,Melaka,Melaka,44
2019-06-01,Negeri Sembilan,Negeri Sembilan,35
2019-06-01,Pahang,Pahang,87
2019-06-01,Pahang,Raub,17
2019-06-01,Perak,Perak,144
2019-06-01,Perak,Taiping,35
2019-06-01,Perlis,Perlis,47
2019-06-01,Pulau Pinang,Pulau Pinang,89
2019-06-01,Sabah,Sabah,101
2019-06-01,Sarawak,Miri,45
2019-06-01,Sarawak,Sarawak,156
2019-06-01,Sarawak,Sibu,51
2019-06-01,Selangor,Selangor,186
2019-06-01,Terengganu,Terengganu,33
2019-06-01,W.P. Kuala Lumpur,Kuala Lumpur,104
2019-06-01,W.P. Labuan,Labuan,7
2019-06-01,W.P. Putrajaya,Ibu Pejabat,35
2019-07-01,Johor,Johor,380
2019-07-01,Johor,Muar,86
2019-07-01,Kedah,Kedah,160
2019-07-01,Kedah,Langkawi,44
2019-07-01,Kelantan,Gua Musang,15
2019-07-01,Kelantan,Kelantan,244
2019-07-01,Melaka,Melaka,84
2019-07-01,Negeri Sembilan,Negeri Sembilan,60
2019-07-01,Pahang,Pahang,131
2019-07-01,Pahang,Raub,33
2019-07-01,Perak,Perak,242
2019-07-01,Perak,Taiping,43
2019-07-01,Perlis,Perlis,75
2019-07-01,Pulau Pinang,Pulau Pinang,151
2019-07-01,Sabah,Sabah,108
2019-07-01,Sarawak,Miri,64
2019-07-01,Sarawak,Sarawak,193
2019-07-01,Sarawak,Sibu,46
2019-07-01,Selangor,Selangor,314
2019-07-01,Terengganu,Terengganu,69
2019-07-01,W.P. Kuala Lumpur,Kuala Lumpur,171
2019-07-01,W.P. Labuan,Labuan,18
2019-07-01,W.P. Putrajaya,Ibu Pejabat,73
2019-08-01,Johor,Johor,326
2019-08-01,Johor,Muar,37
2019-08-01,Kedah,Kedah,149
2019-08-01,Kedah,Langkawi,26
2019-08-01,Kelantan,Gua Musang,17
2019-08-01,Kelantan,Kelantan,183
2019-08-01,Melaka,Melaka,61
2019-08-01,Negeri Sembilan,Negeri Sembilan,82
2019-08-01,Pahang,Pahang,126
2019-08-01,Pahang,Raub,19
2019-08-01,Perak,Perak,267
2019-08-01,Perak,Taiping,20
2019-08-01,Perlis,Perlis,59
2019-08-01,Pulau Pinang,Pulau Pinang,110
2019-08-01,Sabah,Sabah,140
2019-08-01,Sarawak,Miri,86
2019-08-01,Sarawak,Sarawak,189
2019-08-01,Sarawak,Sibu,28
2019-08-01,Selangor,Selangor,262
2019-08-01,Terengganu,Terengganu,82
2019-08-01,W.P. Kuala Lumpur,Kuala Lumpur,126
2019-08-01,W.P. Labuan,Labuan,19
2019-08-01,W.P. Putrajaya,Ibu Pejabat,55
2019-09-01,Johor,Johor,355
2019-09-01,Johor,Muar,65
2019-09-01,Kedah,Kedah,171
2019-09-01,Kedah,Langkawi,33
2019-09-01,Kelantan,Gua Musang,9
2019-09-01,Kelantan,Kelantan,142
2019-09-01,Melaka,Melaka,57
2019-09-01,Negeri Sembilan,Negeri Sembilan,65
2019-09-01,Pahang,Pahang,104
2019-09-01,Pahang,Raub,16
2019-09-01,Perak,Perak,268
2019-09-01,Perak,Taiping,26
2019-09-01,Perlis,Perlis,54
2019-09-01,Pulau Pinang,Pulau Pinang,107
2019-09-01,Sabah,Sabah,145
2019-09-01,Sarawak,Miri,62
2019-09-01,Sarawak,Sarawak,126
2019-09-01,Sarawak,Sibu,34
2019-09-01,Selangor,Selangor,170
2019-09-01,Terengganu,Terengganu,58
2019-09-01,W.P. Kuala Lumpur,Kuala Lumpur,120
2019-09-01,W.P. Labuan,Labuan,25
2019-09-01,W.P. Putrajaya,Ibu Pejabat,66
2019-10-01,Johor,Johor,389
2019-10-01,Johor,Muar,78
2019-10-01,Kedah,Kedah,160
2019-10-01,Kedah,Langkawi,33
2019-10-01,Kelantan,Gua Musang,4
2019-10-01,Kelantan,Kelantan,200
2019-10-01,Melaka,Melaka,136
2019-10-01,Negeri Sembilan,Negeri Sembilan,65
2019-10-01,Pahang,Pahang,116
2019-10-01,Pahang,Raub,34
2019-10-01,Perak,Perak,232
2019-10-01,Perak,Taiping,39
2019-10-01,Perlis,Perlis,59
2019-10-01,Pulau Pinang,Pulau Pinang,88
2019-10-01,Sabah,Sabah,115
2019-10-01,Sarawak,Miri,53
2019-10-01,Sarawak,Sarawak,180
2019-10-01,Sarawak,Sibu,52
2019-10-01,Selangor,Selangor,247
2019-10-01,Terengganu,Terengganu,64
2019-10-01,W.P. Kuala Lumpur,Kuala Lumpur,134
2019-10-01,W.P. Labuan,Labuan,19
2019-10-01,W.P. Putrajaya,Ibu Pejabat,77
2019-11-01,Johor,Johor,379
2019-11-01,Johor,Muar,69
2019-11-01,Kedah,Kedah,140
2019-11-01,Kedah,Langkawi,38
2019-11-01,Kelantan,Gua Musang,13
2019-11-01,Kelantan,Kelantan,160
2019-11-01,Melaka,Melaka,68
2019-11-01,Negeri Sembilan,Negeri Sembilan,73
2019-11-01,Pahang,Pahang,129
2019-11-01,Pahang,Raub,30
2019-11-01,Perak,Perak,270
2019-11-01,Perak,Taiping,48
2019-11-01,Perlis,Perlis,60
2019-11-01,Pulau Pinang,Pulau Pinang,86
2019-11-01,Sabah,Sabah,67
2019-11-01,Sarawak,Miri,69
2019-11-01,Sarawak,Sarawak,153
2019-11-01,Sarawak,Sibu,49
2019-11-01,Selangor,Selangor,278
