date,state,branch,category,subcategory,case_type,cases
2019-01-01,Johor,Johor,Jenayah,Jenayah Bidang Kuasa,Jenayah Kanak-Kanak,1
2019-01-01,Johor,Johor,Jenayah,Jenayah Bidang Kuasa,Mitigasi Pengakuan Salah,2
2019-01-01,Johor,Johor,Jenayah,Jenayah Luar Bidang Kuasa,Kanun Keseksaan 1997,11
2019-01-01,Johor,Johor,Sivil,Keluarga Sivil,Cerai,97
2019-01-01,Johor,Johor,Sivil,Keluarga Sivil,Jagaan,1
2019-01-01,Johor,Johor,Sivil,Keluarga Sivil,Perubahan Perintah - Jagaan,2
2019-01-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,Akta Kebankrapan 1967,3
2019-01-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,Akta Kontrak 1950,4
2019-01-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,Lain-Lain (Sivil),12
2019-01-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,Pampasan Pekerja,1
2019-01-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,Perbankan dan Pemindahhakan,1
2019-01-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,Undang-Undang Buruh,5
2019-01-01,Johor,Johor,Sivil,Sivil Luar Bidang Kuasa,Undang-Undang Tanah,8
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Akta Sewa Beli,3
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Harta Pusaka Kecil,11
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Kemalangan,5
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Pemberi Pinjaman Wang,2
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Pengangkatan,6
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Sewaan,2
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Surat Mentadbir Harta Pusaka,2
2019-01-01,Johor,Johor,Sivil,Sivil Pelbagai,Tuntutan Pengguna,3
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Nafkah,27
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Penguatkuasaan Jagaan/Hak Lawatan,2
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Penguatkuasaan Perintah Muta'ah,2
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Permohonan Pengesahan Hibah,1
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Permohonan Penguatkuasaan Perintah Nafkah,5
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Tuntutan Hadhanah,42
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Tuntutan Harta Sepencarian,4
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Tuntutan Muta'ah,1
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Tuntutan Perceraian,93
2019-01-01,Johor,Johor,Syariah,Keluarga Syariah,Wasiat,1
2019-01-01,Johor,Muar,Sivil,Keluarga Sivil,Aset Perkahwinan,2
2019-01-01,Johor,Muar,Sivil,Keluarga Sivil,Cerai,30
2019-01-01,Johor,Muar,Sivil,Sivil Luar Bidang Kuasa,Akta Kebankrapan 1967,1
2019-01-01,Johor,Muar,Sivil,Sivil Luar Bidang Kuasa,Akta Kontrak 1950,2
2019-01-01,Johor,Muar,Sivil,Sivil Pelbagai,Kemalangan,2
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Nafkah,1
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Penguatkuasaan Harta Sepencarian,1
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Permohonan Pengesahan Hibah,2
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Permohonan Penguatkuasaan Perintah Nafkah,3
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Tuntutan Hadhanah,20
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Tuntutan Harta Sepencarian,5
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Tuntutan Mengubah Perintah Hak Jagaan Anak/Hak Lawatan,1
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Tuntutan Mengubah Perintah Nafkah Anak/Isteri/Lain-Lain,3
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Tuntutan Perceraian,25
2019-01-01,Johor,Muar,Syariah,Keluarga Syariah,Wasiat,1
2019-01-01,Kedah,Kedah,Sivil,Keluarga Sivil,Cerai,20
2019-01-01,Kedah,Kedah,Sivil,Sivil Luar Bidang Kuasa,Undang-Undang Tanah,1
2019-01-01,Kedah,Kedah,Sivil,Sivil Pelbagai,Anggapan Kematian,3
2019-01-01,Kedah,Kedah,Sivil,Sivil Pelbagai,Harta Pusaka Kecil,2
