date,state,branch,category,cases
2019-01-01,Johor,Johor,Jenayah,14
2019-01-01,Johor,Johor,Sivil,168
2019-01-01,Johor,Johor,Syariah,178
2019-01-01,Johor,Muar,Sivil,37
2019-01-01,Johor,Muar,Syariah,62
2019-01-01,Kedah,Kedah,Sivil,29
2019-01-01,Kedah,Kedah,Syariah,134
2019-01-01,Kedah,Langkawi,Jenayah,3
2019-01-01,Kedah,Langkawi,Sivil,7
2019-01-01,Kedah,Langkawi,Syariah,21
2019-01-01,Kelantan,Gua Musang,Jenayah,3
2019-01-01,Kelantan,Gua Musang,Sivil,1
2019-01-01,Kelantan,Gua Musang,Syariah,12
2019-01-01,Kelantan,Kelantan,Jenayah,19
2019-01-01,Kelantan,Kelantan,Sivil,21
2019-01-01,Kelantan,Kelantan,Syariah,173
2019-01-01,Melaka,Melaka,Jenayah,5
2019-01-01,Melaka,Melaka,Sivil,49
2019-01-01,Melaka,Melaka,Syariah,94
2019-01-01,Negeri Sembilan,Negeri Sembilan,Jenayah,2
2019-01-01,Negeri Sembilan,Negeri Sembilan,Sivil,30
2019-01-01,Negeri Sembilan,Negeri Sembilan,Syariah,34
2019-01-01,Pahang,Pahang,Jenayah,3
2019-01-01,Pahang,Pahang,Sivil,24
2019-01-01,Pahang,Pahang,Syariah,69
2019-01-01,Pahang,Raub,Sivil,13
2019-01-01,Pahang,Raub,Syariah,18
2019-01-01,Perak,Perak,Jenayah,8
2019-01-01,Perak,Perak,Sivil,102
2019-01-01,Perak,Perak,Syariah,51
2019-01-01,Perak,Taiping,Jenayah,2
2019-01-01,Perak,Taiping,Sivil,13
2019-01-01,Perak,Taiping,Syariah,16
2019-01-01,Perlis,Perlis,Jenayah,1
2019-01-01,Perlis,Perlis,Sivil,33
2019-01-01,Perlis,Perlis,Syariah,33
2019-01-01,Pulau Pinang,Pulau Pinang,Jenayah,2
2019-01-01,Pulau Pinang,Pulau Pinang,Sivil,43
2019-01-01,Pulau Pinang,Pulau Pinang,Syariah,50
2019-01-01,Sabah,Sabah,Jenayah,7
2019-01-01,Sabah,Sabah,Sivil,89
2019-01-01,Sabah,Sabah,Syariah,41
2019-01-01,Sarawak,Miri,Jenayah,2
2019-01-01,Sarawak,Miri,Sivil,32
2019-01-01,Sarawak,Miri,Syariah,11
2019-01-01,Sarawak,Sarawak,Jenayah,10
2019-01-01,Sarawak,Sarawak,Sivil,103
2019-01-01,Sarawak,Sarawak,Syariah,62
2019-01-01,Sarawak,Sibu,Jenayah,2
2019-01-01,Sarawak,Sibu,Sivil,36
2019-01-01,Sarawak,Sibu,Syariah,16
2019-01-01,Selangor,Selangor,Jenayah,2
2019-01-01,Selangor,Selangor,Sivil,109
2019-01-01,Selangor,Selangor,Syariah,100
2019-01-01,Terengganu,Terengganu,Jenayah,5
2019-01-01,Terengganu,Terengganu,Sivil,5
2019-01-01,Terengganu,Terengganu,Syariah,54
2019-01-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,28
2019-01-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,31
2019-01-01,W.P. Labuan,Labuan,Jenayah,2
2019-01-01,W.P. Labuan,Labuan,Sivil,13
2019-01-01,W.P. Labuan,Labuan,Syariah,18
2019-01-01,W.P. Putrajaya,Ibu Pejabat,Jenayah,7
2019-01-01,W.P. Putrajaya,Ibu Pejabat,Sivil,23
2019-01-01,W.P. Putrajaya,Ibu Pejabat,Syariah,24
2019-02-01,Johor,Johor,Jenayah,12
2019-02-01,Johor,Johor,Sivil,143
2019-02-01,Johor,Johor,Syariah,204
2019-02-01,Johor,Muar,Jenayah,2
2019-02-01,Johor,Muar,Sivil,27
2019-02-01,Johor,Muar,Syariah,37
2019-02-01,Kedah,Kedah,Jenayah,1
2019-02-01,Kedah,Kedah,Sivil,62
2019-02-01,Kedah,Kedah,Syariah,119
2019-02-01,Kedah,Langkawi,Jenayah,3
2019-02-01,Kedah,Langkawi,Sivil,7
2019-02-01,Kedah,Langkawi,Syariah,18
2019-02-01,Kelantan,Gua Musang,Jenayah,3
2019-02-01,Kelantan,Gua Musang,Sivil,6
2019-02-01,Kelantan,Gua Musang,Syariah,14
2019-02-01,Kelantan,Kelantan,Jenayah,12
2019-02-01,Kelantan,Kelantan,Sivil,26
2019-02-01,Kelantan,Kelantan,Syariah,147
2019-02-01,Melaka,Melaka,Jenayah,1
2019-02-01,Melaka,Melaka,Sivil,28
2019-02-01,Melaka,Melaka,Syariah,60
2019-02-01,Negeri Sembilan,Negeri Sembilan,Jenayah,1
2019-02-01,Negeri Sembilan,Negeri Sembilan,Sivil,44
2019-02-01,Negeri Sembilan,Negeri Sembilan,Syariah,26
2019-02-01,Pahang,Pahang,Jenayah,4
2019-02-01,Pahang,Pahang,Sivil,19
2019-02-01,Pahang,Pahang,Syariah,65
2019-02-01,Pahang,Raub,Sivil,12
2019-02-01,Pahang,Raub,Syariah,24
2019-02-01,Perak,Perak,Sivil,57
2019-02-01,Perak,Perak,Syariah,105
2019-02-01,Perak,Taiping,Jenayah,6
2019-02-01,Perak,Taiping,Sivil,26
2019-02-01,Perak,Taiping,Syariah,15
2019-02-01,Perlis,Perlis,Sivil,32
2019-02-01,Perlis,Perlis,Syariah,18
2019-02-01,Pulau Pinang,Pulau Pinang,Jenayah,3
2019-02-01,Pulau Pinang,Pulau Pinang,Sivil,42
2019-02-01,Pulau Pinang,Pulau Pinang,Syariah,41
2019-02-01,Sabah,Sabah,Jenayah,7
2019-02-01,Sabah,Sabah,Sivil,100
2019-02-01,Sabah,Sabah,Syariah,43
2019-02-01,Sarawak,Miri,Jenayah,5
2019-02-01,Sarawak,Miri,Sivil,52
2019-02-01,Sarawak,Miri,Syariah,16
2019-02-01,Sarawak,Sarawak,Jenayah,5
2019-02-01,Sarawak,Sarawak,Sivil,105
2019-02-01,Sarawak,Sarawak,Syariah,29
2019-02-01,Sarawak,Sibu,Jenayah,1
2019-02-01,Sarawak,Sibu,Sivil,42
2019-02-01,Sarawak,Sibu,Syariah,16
2019-02-01,Selangor,Selangor,Sivil,132
2019-02-01,Selangor,Selangor,Syariah,94
2019-02-01,Terengganu,Terengganu,Sivil,15
2019-02-01,Terengganu,Terengganu,Syariah,44
2019-02-01,W.P. Kuala Lumpur,Kuala Lumpur,Jenayah,6
2019-02-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,107
2019-02-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,39
2019-02-01,W.P. Labuan,Labuan,Jenayah,3
2019-02-01,W.P. Labuan,Labuan,Sivil,10
2019-02-01,W.P. Labuan,Labuan,Syariah,15
2019-02-01,W.P. Putrajaya,Ibu Pejabat,Jenayah,8
2019-02-01,W.P. Putrajaya,Ibu Pejabat,Sivil,24
2019-02-01,W.P. Putrajaya,Ibu Pejabat,Syariah,20
2019-03-01,Johor,Johor,Jenayah,15
2019-03-01,Johor,Johor,Sivil,222
2019-03-01,Johor,Johor,Syariah,188
2019-03-01,Johor,Muar,Jenayah,3
2019-03-01,Johor,Muar,Sivil,33
2019-03-01,Johor,Muar,Syariah,70
2019-03-01,Kedah,Kedah,Jenayah,2
2019-03-01,Kedah,Kedah,Sivil,20
2019-03-01,Kedah,Kedah,Syariah,102
2019-03-01,Kedah,Langkawi,Jenayah,4
2019-03-01,Kedah,Langkawi,Sivil,12
2019-03-01,Kedah,Langkawi,Syariah,25
2019-03-01,Kelantan,Gua Musang,Jenayah,2
2019-03-01,Kelantan,Gua Musang,Sivil,1
2019-03-01,Kelantan,Gua Musang,Syariah,7
2019-03-01,Kelantan,Kelantan,Jenayah,9
2019-03-01,Kelantan,Kelantan,Sivil,38
2019-03-01,Kelantan,Kelantan,Syariah,156
2019-03-01,Melaka,Melaka,Jenayah,1
2019-03-01,Melaka,Melaka,Sivil,24
2019-03-01,Melaka,Melaka,Syariah,45
2019-03-01,Negeri Sembilan,Negeri Sembilan,Sivil,24
2019-03-01,Negeri Sembilan,Negeri Sembilan,Syariah,32
2019-03-01,Pahang,Pahang,Jenayah,4
2019-03-01,Pahang,Pahang,Sivil,23
2019-03-01,Pahang,Pahang,Syariah,90
2019-03-01,Pahang,Raub,Sivil,6
2019-03-01,Pahang,Raub,Syariah,13
2019-03-01,Perak,Perak,Jenayah,5
2019-03-01,Perak,Perak,Sivil,160
2019-03-01,Perak,Perak,Syariah,80
2019-03-01,Perak,Taiping,Jenayah,1
2019-03-01,Perak,Taiping,Sivil,25
2019-03-01,Perak,Taiping,Syariah,36
2019-03-01,Perlis,Perlis,Jenayah,4
2019-03-01,Perlis,Perlis,Sivil,22
2019-03-01,Perlis,Perlis,Syariah,24
2019-03-01,Pulau Pinang,Pulau Pinang,Jenayah,2
2019-03-01,Pulau Pinang,Pulau Pinang,Sivil,77
2019-03-01,Pulau Pinang,Pulau Pinang,Syariah,51
2019-03-01,Sabah,Sabah,Jenayah,13
2019-03-01,Sabah,Sabah,Sivil,112
2019-03-01,Sabah,Sabah,Syariah,37
2019-03-01,Sarawak,Miri,Jenayah,1
2019-03-01,Sarawak,Miri,Sivil,48
2019-03-01,Sarawak,Miri,Syariah,18
2019-03-01,Sarawak,Sarawak,Jenayah,5
2019-03-01,Sarawak,Sarawak,Sivil,146
2019-03-01,Sarawak,Sarawak,Syariah,45
2019-03-01,Sarawak,Sibu,Jenayah,3
2019-03-01,Sarawak,Sibu,Sivil,36
2019-03-01,Sarawak,Sibu,Syariah,14
2019-03-01,Selangor,Selangor,Jenayah,7
2019-03-01,Selangor,Selangor,Sivil,115
2019-03-01,Selangor,Selangor,Syariah,60
2019-03-01,Terengganu,Terengganu,Jenayah,16
2019-03-01,Terengganu,Terengganu,Sivil,3
2019-03-01,Terengganu,Terengganu,Syariah,53
2019-03-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,75
2019-03-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,59
2019-03-01,W.P. Labuan,Labuan,Jenayah,1
2019-03-01,W.P. Labuan,Labuan,Sivil,9
2019-03-01,W.P. Labuan,Labuan,Syariah,14
2019-03-01,W.P. Putrajaya,Ibu Pejabat,Jenayah,8
2019-03-01,W.P. Putrajaya,Ibu Pejabat,Sivil,35
2019-03-01,W.P. Putrajaya,Ibu Pejabat,Syariah,15
2019-04-01,Johor,Johor,Jenayah,10
2019-04-01,Johor,Johor,Sivil,189
2019-04-01,Johor,Johor,Syariah,186
2019-04-01,Johor,Muar,Jenayah,2
2019-04-01,Johor,Muar,Sivil,75
2019-04-01,Johor,Muar,Syariah,53
2019-04-01,Kedah,Kedah,Jenayah,4
2019-04-01,Kedah,Kedah,Sivil,53
2019-04-01,Kedah,Kedah,Syariah,100
2019-04-01,Kedah,Langkawi,Jenayah,5
2019-04-01,Kedah,Langkawi,Sivil,7
2019-04-01,Kedah,Langkawi,Syariah,19
2019-04-01,Kelantan,Gua Musang,Jenayah,1
2019-04-01,Kelantan,Gua Musang,Syariah,13
2019-04-01,Kelantan,Kelantan,Jenayah,16
2019-04-01,Kelantan,Kelantan,Sivil,32
2019-04-01,Kelantan,Kelantan,Syariah,178
2019-04-01,Melaka,Melaka,Sivil,24
2019-04-01,Melaka,Melaka,Syariah,44
2019-04-01,Negeri Sembilan,Negeri Sembilan,Sivil,36
2019-04-01,Negeri Sembilan,Negeri Sembilan,Syariah,11
2019-04-01,Pahang,Pahang,Jenayah,3
2019-04-01,Pahang,Pahang,Sivil,31
2019-04-01,Pahang,Pahang,Syariah,98
2019-04-01,Pahang,Raub,Sivil,13
2019-04-01,Pahang,Raub,Syariah,27
2019-04-01,Perak,Perak,Jenayah,14
2019-04-01,Perak,Perak,Sivil,148
2019-04-01,Perak,Perak,Syariah,103
2019-04-01,Perak,Taiping,Sivil,27
2019-04-01,Perak,Taiping,Syariah,13
2019-04-01,Perlis,Perlis,Jenayah,2
2019-04-01,Perlis,Perlis,Sivil,17
2019-04-01,Perlis,Perlis,Syariah,46
2019-04-01,Pulau Pinang,Pulau Pinang,Jenayah,9
2019-04-01,Pulau Pinang,Pulau Pinang,Sivil,85
2019-04-01,Pulau Pinang,Pulau Pinang,Syariah,73
2019-04-01,Sabah,Sabah,Jenayah,6
2019-04-01,Sabah,Sabah,Sivil,91
2019-04-01,Sabah,Sabah,Syariah,19
2019-04-01,Sarawak,Miri,Jenayah,1
2019-04-01,Sarawak,Miri,Sivil,105
2019-04-01,Sarawak,Miri,Syariah,11
2019-04-01,Sarawak,Sarawak,Jenayah,6
2019-04-01,Sarawak,Sarawak,Sivil,106
2019-04-01,Sarawak,Sarawak,Syariah,40
2019-04-01,Sarawak,Sibu,Jenayah,1
2019-04-01,Sarawak,Sibu,Sivil,35
2019-04-01,Sarawak,Sibu,Syariah,17
2019-04-01,Selangor,Selangor,Jenayah,7
2019-04-01,Selangor,Selangor,Sivil,124
2019-04-01,Selangor,Selangor,Syariah,92
2019-04-01,Terengganu,Terengganu,Jenayah,12
2019-04-01,Terengganu,Terengganu,Sivil,6
2019-04-01,Terengganu,Terengganu,Syariah,49
2019-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Jenayah,1
2019-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Sivil,96
2019-04-01,W.P. Kuala Lumpur,Kuala Lumpur,Syariah,87
2019-04-01,W.P. Labuan,Labuan,Sivil,1
2019-04-01,W.P. Labuan,Labuan,Syariah,14
2019-04-01,W.P. Putrajaya,Ibu Pejabat,Jenayah,5
2019-04-01,W.P. Putrajaya,Ibu Pejabat,Sivil,26
2019-04-01,W.P. Putrajaya,Ibu Pejabat,Syariah,21
2019-05-01,Johor,Johor,Jenayah,9
2019-05-01,Johor,Johor,Sivil,155
2019-05-01,Johor,Johor,Syariah,82
2019-05-01,Johor,Muar,Sivil,38
2019-05-01,Johor,Muar,Syariah,31
2019-05-01,Kedah,Kedah,Jenayah,5
2019-05-01,Kedah,Kedah,Sivil,39
2019-05-01,Kedah,Kedah,Syariah,71
2019-05-01,Kedah,Langkawi,Jenayah,5
2019-05-01,Kedah,Langkawi,Sivil,4
2019-05-01,Kedah,Langkawi,Syariah,27
2019-05-01,Kelantan,Gua Musang,Jenayah,1
2019-05-01,Kelantan,Gua Musang,Sivil,1
2019-05-01,Kelantan,Gua Musang,Syariah,12
2019-05-01,Kelantan,Kelantan,Jenayah,13
2019-05-01,Kelantan,Kelantan,Sivil,17
2019-05-01,Kelantan,Kelantan,Syariah,117
2019-05-01,Melaka,Melaka,Sivil,20
2019-05-01,Melaka,Melaka,Syariah,22
2019-05-01,Negeri Sembilan,Negeri Sembilan,Sivil,36
2019-05-01,Negeri Sembilan,Negeri Sembilan,Syariah,20
2019-05-01,Pahang,Pahang,Jenayah,2
2019-05-01,Pahang,Pahang,Sivil,25
2019-05-01,Pahang,Pahang,Syariah,73
2019-05-01,Pahang,Raub,Sivil,1
2019-05-01,Pahang,Raub,Syariah,15
2019-05-01,Perak,Perak,Jenayah,1
2019-05-01,Perak,Perak,Sivil,94
2019-05-01,Perak,Perak,Syariah,69
2019-05-01,Perak,Taiping,Sivil,16
2019-05-01,Perak,Taiping,Syariah,14
2019-05-01,Perlis,Perlis,Jenayah,4
