date,state,parlimen,lf,lf_employed,lf_unemployed,lf_outside,u_rate,p_rate,ep_ratio
2021-01-01,Perlis,P.001 Padang Besar,32.7,31.2,1.5,18.1,4.1,64.4,61.4
2022-01-01,Perlis,P.001 Padang Besar,33.0,31.6,1.5,17.9,4.4,64.9,62.1
2023-01-01,Perlis,P.001 Padang Besar,40.2,38.3,1.9,22.8,4.7,63.8,60.8
2021-01-01,Perlis,P.002 Kangar,41.2,39.7,1.6,22.7,4.0,64.5,62.1
2022-01-01,Perlis,P.002 Kangar,41.4,40.0,1.4,22.5,3.4,64.8,62.6
2023-01-01,Perlis,P.002 Kangar,45.3,44.0,1.3,27.8,2.9,62.0,60.2
2021-01-01,Perlis,P.003 Arau,39.3,37.6,1.7,23.5,4.7,62.6,59.9
2022-01-01,Perlis,P.003 Arau,39.5,37.9,1.6,23.3,4.0,62.9,60.4
2023-01-01,Perlis,P.003 Arau,45.1,42.6,2.5,30.5,5.6,59.7,56.3
2021-01-01,Kedah,P.004 Langkawi,49.4,46.0,3.5,21.6,6.8,69.6,64.8
2022-01-01,Kedah,P.004 Langkawi,50.6,47.7,2.9,21.9,5.7,69.8,65.8
2023-01-01,Kedah,P.004 Langkawi,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2021-01-01,Kedah,P.005 Jerlun,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.005 Jerlun,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.005 Jerlun,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2021-01-01,Kedah,P.006 Kubang Pasu,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.006 Kubang Pasu,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.006 Kubang Pasu,79.0,76.9,2.1,43.2,2.7,64.7,62.9
2021-01-01,Kedah,P.007 Padang Terap,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.007 Padang Terap,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.007 Padang Terap,30.4,29.5,0.9,14.2,3.1,68.1,66.1
2021-01-01,Kedah,P.008 Pokok Sena,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.008 Pokok Sena,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.008 Pokok Sena,59.8,57.7,2.0,29.7,3.4,66.8,64.5
2021-01-01,Kedah,P.009 Alor Setar,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.009 Alor Setar,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.009 Alor Setar,53.3,51.2,2.1,28.2,4.0,65.4,62.8
2021-01-01,Kedah,P.010 Kuala Kedah,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.010 Kuala Kedah,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.010 Kuala Kedah,72.7,69.9,2.8,41.0,3.9,63.9,61.5
2021-01-01,Kedah,P.011 Pendang,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.011 Pendang,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.011 Pendang,41.6,40.1,1.5,22.0,3.6,65.4,63.1
2021-01-01,Kedah,P.012 Jerai,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.012 Jerai,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.012 Jerai,50.4,49.3,1.1,30.6,2.1,62.2,60.9
2021-01-01,Kedah,P.013 Sik,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.013 Sik,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.013 Sik,27.7,27.2,0.5,17.1,1.7,61.9,60.7
2021-01-01,Kedah,P.014 Merbok,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.014 Merbok,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.014 Merbok,93.4,90.7,2.7,59.0,2.9,61.3,59.5
2021-01-01,Kedah,P.015 Sungai Petani,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.015 Sungai Petani,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.015 Sungai Petani,121.8,118.3,3.5,72.0,2.9,62.9,61.0
2021-01-01,Kedah,P.016 Baling,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.016 Baling,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.016 Baling,66.9,65.5,1.4,30.3,2.1,68.8,67.4
2021-01-01,Kedah,P.017 Padang Serai,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.017 Padang Serai,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.017 Padang Serai,123.0,120.3,2.6,61.4,2.1,66.7,65.2
2021-01-01,Kedah,P.018 Kulim-Bandar Baharu,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kedah,P.018 Kulim-Bandar Baharu,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kedah,P.018 Kulim-Bandar Baharu,58.4,57.5,0.9,24.9,1.6,70.1,69.0
2021-01-01,Kelantan,P.019 Tumpat,48.6,45.9,2.7,19.1,5.5,71.7,67.8
2022-01-01,Kelantan,P.019 Tumpat,28.2,27.5,0.7,15.8,2.4,64.1,62.5
2023-01-01,Kelantan,P.019 Tumpat,62.1,60.5,1.6,50.2,2.6,55.3,53.9
2021-01-01,Kelantan,P.020 Pengkalan Chepa,53.3,51.2,2.1,28.2,4.0,65.4,62.8
2022-01-01,Kelantan,P.020 Pengkalan Chepa,72.7,69.9,2.8,41.0,3.9,63.9,61.5
2023-01-01,Kelantan,P.020 Pengkalan Chepa,66.3,63.1,3.2,47.0,4.8,58.5,55.7
2021-01-01,Kelantan,P.021 Kota Bharu,27.7,27.2,0.5,17.1,1.7,61.9,60.7
2022-01-01,Kelantan,P.021 Kota Bharu,27.7,27.2,0.5,17.1,1.7,61.9,60.7
2023-01-01,Kelantan,P.021 Kota Bharu,56.2,53.9,2.3,33.9,4.1,62.4,59.8
2021-01-01,Kelantan,P.022 Pasir Mas,66.9,65.5,1.4,30.3,2.1,68.8,67.4
2022-01-01,Kelantan,P.022 Pasir Mas,123.0,120.3,2.6,61.4,2.1,66.7,65.2
2023-01-01,Kelantan,P.022 Pasir Mas,39.0,37.3,1.7,34.8,4.4,52.8,50.5
2021-01-01,Kelantan,P.023 Rantau Panjang,42.9,40.6,2.2,33.5,5.0,56.1,53.1
2022-01-01,Kelantan,P.023 Rantau Panjang,44.6,42.6,2.0,32.8,4.6,57.6,55.0
2023-01-01,Kelantan,P.023 Rantau Panjang,42.8,40.9,1.9,32.6,4.4,56.8,54.2
2021-01-01,Kelantan,P.024 Kubang Kerian,73.9,70.8,3.1,43.9,5.2,62.7,60.1
2022-01-01,Kelantan,P.024 Kubang Kerian,77.2,74.3,2.9,43.0,3.8,64.2,61.8
2023-01-01,Kelantan,P.024 Kubang Kerian,70.4,67.9,2.6,39.7,3.6,64.0,61.7
2021-01-01,Kelantan,P.025 Bachok,59.6,57.3,2.3,53.7,3.6,52.6,50.6
2022-01-01,Kelantan,P.025 Bachok,61.0,58.9,2.1,54.7,3.5,52.7,50.9
2023-01-01,Kelantan,P.025 Bachok,58.0,56.1,1.9,51.4,3.3,53.0,51.3
2021-01-01,Kelantan,P.026 Ketereh,47.2,45.1,2.2,31.6,5.2,59.9,57.2
2022-01-01,Kelantan,P.026 Ketereh,48.2,46.2,2.0,31.7,4.1,60.3,57.8
2023-01-01,Kelantan,P.026 Ketereh,45.1,43.4,1.8,30.4,3.9,59.8,57.5
2021-01-01,Kelantan,P.027 Tanah Merah,47.1,46.0,1.1,37.2,2.8,55.9,54.6
2022-01-01,Kelantan,P.027 Tanah Merah,48.2,47.3,0.9,37.9,1.8,56.0,54.9
2023-01-01,Kelantan,P.027 Tanah Merah,46.3,45.5,0.8,37.5,1.7,55.2,54.3
2021-01-01,Kelantan,P.028 Pasir Puteh,51.1,49.4,1.8,37.9,3.2,57.4,55.5
2022-01-01,Kelantan,P.028 Pasir Puteh,51.9,50.4,1.6,38.3,3.0,57.6,55.9
2023-01-01,Kelantan,P.028 Pasir Puteh,48.4,46.9,1.4,37.1,3.0,56.6,54.9
2021-01-01,Kelantan,P.029 Machang,43.9,41.3,2.6,33.0,5.3,57.1,53.7
2022-01-01,Kelantan,P.029 Machang,45.0,42.6,2.3,32.8,5.2,57.8,54.8
2023-01-01,Kelantan,P.029 Machang,39.6,37.6,2.0,30.5,5.0,56.5,53.6
2021-01-01,Kelantan,P.030 Jeli,30.5,29.4,1.0,25.0,3.1,55.0,53.0
2022-01-01,Kelantan,P.030 Jeli,31.5,30.6,0.9,24.8,2.7,55.9,54.4
2023-01-01,Kelantan,P.030 Jeli,29.9,29.1,0.8,24.5,2.6,55.0,53.5
2021-01-01,Kelantan,P.031 Kuala Krai,44.5,43.4,1.1,30.7,2.8,59.2,57.7
2022-01-01,Kelantan,P.031 Kuala Krai,45.6,44.7,1.0,30.5,2.1,60.0,58.7
2023-01-01,Kelantan,P.031 Kuala Krai,41.7,40.9,0.8,29.2,1.9,58.8,57.7
2021-01-01,Kelantan,P.032 Gua Musang,45.0,42.9,2.0,34.7,4.2,56.4,53.8
2022-01-01,Kelantan,P.032 Gua Musang,45.8,43.9,1.9,35.2,4.1,56.6,54.2
