state,local_authority,date,female,male
Johor,All,2019-01-01,29.45,70.55
Johor,All,2020-01-01,21.75,78.25
Johor,All,2021-01-01,21.56,78.44
Johor,All,2022-01-01,24.33,75.67
Johor,Majlis Bandaraya Iskandar Puteri,2021-01-01,26.09,73.91
Johor,Majlis Bandaraya Iskandar Puteri,2022-01-01,39.13,60.87
Johor,Majlis Bandaraya Johor Bahru,2021-01-01,16.67,83.33
Johor,Majlis Bandaraya Johor Bahru,2022-01-01,20.83,79.17
Johor,Majlis Bandaraya Pasir Gudang,2021-01-01,20.83,79.17
Johor,Majlis Bandaraya Pasir Gudang,2022-01-01,27.27,72.73
Johor,Majlis Daerah Kota Tinggi,2021-01-01,22.73,77.27
Johor,Majlis Daerah Kota Tinggi,2022-01-01,20.83,79.17
Johor,Majlis Daerah Labis,2021-01-01,29.17,70.83
Johor,Majlis Daerah Labis,2022-01-01,25.0,75.0
Johor,Majlis Daerah Mersing,2021-01-01,31.82,68.18
Johor,Majlis Daerah Mersing,2022-01-01,31.82,68.18
Johor,Majlis Daerah Simpang Renggam,2021-01-01,20.83,79.17
Johor,Majlis Daerah Simpang Renggam,2022-01-01,26.09,73.91
Johor,Majlis Daerah Tangkak,2021-01-01,22.73,77.27
Johor,Majlis Daerah Tangkak,2022-01-01,16.67,83.33
Johor,Majlis Daerah Yong Peng,2021-01-01,8.33,91.67
Johor,Majlis Daerah Yong Peng,2022-01-01,25.0,75.0
Johor,Majlis Perbandaran Batu Pahat,2021-01-01,16.67,83.33
Johor,Majlis Perbandaran Batu Pahat,2022-01-01,20.83,79.17
Johor,Majlis Perbandaran Kluang,2021-01-01,41.67,58.33
Johor,Majlis Perbandaran Kluang,2022-01-01,54.55,45.45
Johor,Majlis Perbandaran Kulai,2021-01-01,8.33,91.67
Johor,Majlis Perbandaran Kulai,2022-01-01,4.17,95.83
Johor,Majlis Perbandaran Muar,2021-01-01,20.83,79.17
Johor,Majlis Perbandaran Muar,2022-01-01,30.43,69.57
Johor,Majlis Perbandaran Pengerang,2021-01-01,15.79,84.21
Johor,Majlis Perbandaran Pengerang,2022-01-01,17.39,82.61
Johor,Majlis Perbandaran Pontian,2021-01-01,26.09,73.91
Johor,Majlis Perbandaran Pontian,2022-01-01,16.67,83.33
Johor,Majlis Perbandaran Segamat,2021-01-01,16.67,83.33
Johor,Majlis Perbandaran Segamat,2022-01-01,16.67,83.33
Kedah,All,2019-01-01,16.79,83.21
Kedah,All,2020-01-01,17.83,82.17
Kedah,All,2021-01-01,19.62,80.38
Kedah,All,2022-01-01,17.27,82.73
Kedah,Majlis Bandaraya Alor Setar,2021-01-01,17.65,82.35
Kedah,Majlis Bandaraya Alor Setar,2022-01-01,0.0,100.0
Kedah,Majlis Daerah Baling,2021-01-01,22.22,77.78
Kedah,Majlis Daerah Baling,2022-01-01,25.0,75.0
Kedah,Majlis Daerah Bandar Baharu,2021-01-01,16.67,83.33
Kedah,Majlis Daerah Bandar Baharu,2022-01-01,16.67,83.33
Kedah,Majlis Daerah Padang Terap,2021-01-01,22.22,77.78
Kedah,Majlis Daerah Padang Terap,2022-01-01,15.0,85.0
Kedah,Majlis Daerah Pendang,2021-01-01,11.76,88.24
Kedah,Majlis Daerah Pendang,2022-01-01,16.0,84.0
Kedah,Majlis Daerah Sik,2021-01-01,38.89,61.11
Kedah,Majlis Daerah Sik,2022-01-01,30.43,69.57
Kedah,Majlis Daerah Yan,2021-01-01,11.76,88.24
Kedah,Majlis Daerah Yan,2022-01-01,11.11,88.89
Kedah,Majlis Perbandaran Kubang Pasu,2021-01-01,16.67,83.33
Kedah,Majlis Perbandaran Kubang Pasu,2022-01-01,26.09,73.91
Kedah,Majlis Perbandaran Kulim,2021-01-01,16.67,83.33
Kedah,Majlis Perbandaran Kulim,2022-01-01,12.0,88.0
Kedah,Majlis Perbandaran Langkawi,2021-01-01,23.53,76.47
Kedah,Majlis Perbandaran Langkawi,2022-01-01,25.0,75.0
Kedah,Majlis Perbandaran Sungai Petani,2021-01-01,22.22,77.78
Kedah,Majlis Perbandaran Sungai Petani,2022-01-01,27.78,72.22
Kelantan,All,2019-01-01,10.49,89.51
Kelantan,All,2020-01-01,12.5,87.5
Kelantan,All,2021-01-01,13.59,86.41
Kelantan,All,2022-01-01,11.81,88.19
Kelantan,Majlis Daerah Bachok,2021-01-01,12.5,87.5
Kelantan,Majlis Daerah Bachok,2022-01-01,17.39,82.61
Kelantan,Majlis Daerah Dabong,2021-01-01,20.83,79.17
Kelantan,Majlis Daerah Dabong,2022-01-01,0.0,100.0
Kelantan,Majlis Daerah Gua Musang,2021-01-01,8.33,91.67
Kelantan,Majlis Daerah Gua Musang,2022-01-01,8.33,91.67
Kelantan,Majlis Daerah Jeli,2021-01-01,16.67,83.33
Kelantan,Majlis Daerah Jeli,2022-01-01,16.67,83.33
Kelantan,Majlis Daerah Ketereh,2021-01-01,12.5,87.5
Kelantan,Majlis Daerah Ketereh,2022-01-01,15.0,85.0
Kelantan,Majlis Daerah Kuala Krai,2021-01-01,29.17,70.83
Kelantan,Majlis Daerah Kuala Krai,2022-01-01,25.0,75.0
Kelantan,Majlis Daerah Machang,2021-01-01,12.5,87.5
Kelantan,Majlis Daerah Machang,2022-01-01,17.39,82.61
Kelantan,Majlis Daerah Pasir Mas,2021-01-01,8.7,91.3
Kelantan,Majlis Daerah Pasir Mas,2022-01-01,8.33,91.67
Kelantan,Majlis Daerah Pasir Puteh,2021-01-01,8.33,91.67
Kelantan,Majlis Daerah Pasir Puteh,2022-01-01,9.09,90.91
Kelantan,Majlis Daerah Tanah Merah,2021-01-01,12.5,87.5
Kelantan,Majlis Daerah Tanah Merah,2022-01-01,0.0,100.0
Kelantan,Majlis Daerah Tumpat,2021-01-01,8.33,91.67
Kelantan,Majlis Daerah Tumpat,2022-01-01,12.5,87.5
Kelantan,Majlis Perbandaran Kota Bharu,2021-01-01,12.5,87.5
Kelantan,Majlis Perbandaran Kota Bharu,2022-01-01,9.09,90.91
Melaka,All,2019-01-01,10.99,89.01
Melaka,All,2020-01-01,10.23,89.77
Melaka,All,2021-01-01,11.82,88.18
Melaka,All,2022-01-01,15.45,84.55
Melaka,Majlis Bandaraya Melaka Bersejarah,2021-01-01,3.57,96.43
Melaka,Majlis Bandaraya Melaka Bersejarah,2022-01-01,17.86,82.14
Melaka,Majlis Perbandaran Alor Gajah,2021-01-01,3.57,96.43
Melaka,Majlis Perbandaran Alor Gajah,2022-01-01,3.85,96.15
Melaka,Majlis Perbandaran Hang Tuah Jaya,2021-01-01,23.08,76.92
Melaka,Majlis Perbandaran Hang Tuah Jaya,2022-01-01,25.0,75.0
Melaka,Majlis Perbandaran Jasin,2021-01-01,17.86,82.14
Melaka,Majlis Perbandaran Jasin,2022-01-01,14.29,85.71
Negeri Sembilan,All,2019-01-01,18.1,81.9
Negeri Sembilan,All,2020-01-01,20.0,80.0
Negeri Sembilan,All,2021-01-01,20.12,79.88
Negeri Sembilan,All,2022-01-01,20.99,79.01
Negeri Sembilan,Majlis Bandaraya Seremban,2021-01-01,16.67,83.33
Negeri Sembilan,Majlis Bandaraya Seremban,2022-01-01,16.67,83.33
Negeri Sembilan,Majlis Daerah Jelebu,2021-01-01,25.0,75.0
Negeri Sembilan,Majlis Daerah Jelebu,2022-01-01,21.74,78.26
Negeri Sembilan,Majlis Daerah Kuala Pilah,2021-01-01,17.39,82.61
Negeri Sembilan,Majlis Daerah Kuala Pilah,2022-01-01,22.73,77.27
Negeri Sembilan,Majlis Daerah Rembau,2021-01-01,26.09,73.91
Negeri Sembilan,Majlis Daerah Rembau,2022-01-01,28.57,71.43
Negeri Sembilan,Majlis Daerah Tampin,2021-01-01,13.64,86.36
Negeri Sembilan,Majlis Daerah Tampin,2022-01-01,16.67,83.33
Negeri Sembilan,Majlis Perbandaran Jempol,2021-01-01,12.5,87.5
Negeri Sembilan,Majlis Perbandaran Jempol,2022-01-01,12.5,87.5
Negeri Sembilan,Majlis Perbandaran Port Dickson,2021-01-01,29.17,70.83
Negeri Sembilan,Majlis Perbandaran Port Dickson,2022-01-01,29.17,70.83
Pahang,All,2020-01-01,20.99,79.01
Pahang,All,2021-01-01,17.41,82.59
Pahang,All,2022-01-01,19.2,80.8
Pahang,Majlis Bandaraya Kuantan,2021-01-01,36.0,64.0
Pahang,Majlis Bandaraya Kuantan,2022-01-01,32.0,68.0
Pahang,Majlis Daerah Bera,2021-01-01,25.0,75.0
Pahang,Majlis Daerah Bera,2022-01-01,27.78,72.22
Pahang,Majlis Daerah Cameron Highlands,2021-01-01,18.18,81.82
Pahang,Majlis Daerah Cameron Highlands,2022-01-01,28.57,71.43
Pahang,Majlis Daerah Jerantut,2021-01-01,24.0,76.0
Pahang,Majlis Daerah Jerantut,2022-01-01,22.22,77.78
Pahang,Majlis Daerah Lipis,2021-01-01,20.0,80.0
Pahang,Majlis Daerah Lipis,2022-01-01,20.0,80.0
Pahang,Majlis Daerah Maran,2021-01-01,12.0,88.0
Pahang,Majlis Daerah Maran,2022-01-01,12.5,87.5
Pahang,Majlis Daerah Pekan,2021-01-01,4.0,96.0
Pahang,Majlis Daerah Pekan,2022-01-01,8.7,91.3
Pahang,Majlis Daerah Raub,2021-01-01,12.0,88.0
Pahang,Majlis Daerah Raub,2022-01-01,13.64,86.36
Pahang,Majlis Daerah Rompin,2021-01-01,4.0,96.0
Pahang,Majlis Daerah Rompin,2022-01-01,4.17,95.83
Pahang,Majlis Perbandaran Bentong,2021-01-01,16.67,83.33
Pahang,Majlis Perbandaran Bentong,2022-01-01,16.67,83.33
Pahang,Majlis Perbandaran Temerloh,2021-01-01,20.0,80.0
Pahang,Majlis Perbandaran Temerloh,2022-01-01,22.73,77.27
Perak,All,2019-01-01,16.84,83.16
Perak,All,2020-01-01,17.98,82.02
Perak,All,2021-01-01,17.38,82.62
Perak,All,2022-01-01,20.06,79.94
Perak,Majlis Bandaraya Ipoh,2021-01-01,8.0,92.0
Perak,Majlis Bandaraya Ipoh,2022-01-01,8.33,91.67
Perak,Majlis Daerah Batu Gajah,2021-01-01,8.0,92.0
Perak,Majlis Daerah Batu Gajah,2022-01-01,8.33,91.67
Perak,Majlis Daerah Gerik,2021-01-01,16.0,84.0
Perak,Majlis Daerah Gerik,2022-01-01,11.76,88.24
Perak,Majlis Daerah Kampar,2021-01-01,28.0,72.0
Perak,Majlis Daerah Kampar,2022-01-01,29.17,70.83
Perak,Majlis Daerah Kerian,2021-01-01,12.0,88.0
Perak,Majlis Daerah Kerian,2022-01-01,22.73,77.27
Perak,Majlis Daerah Lenggong,2021-01-01,20.0,80.0
Perak,Majlis Daerah Lenggong,2022-01-01,41.67,58.33
Perak,Majlis Daerah Pengkalan Hulu,2021-01-01,20.0,80.0
Perak,Majlis Daerah Pengkalan Hulu,2022-01-01,18.75,81.25
Perak,Majlis Daerah Perak Tengah,2021-01-01,12.0,88.0
Perak,Majlis Daerah Perak Tengah,2022-01-01,26.67,73.33
Perak,Majlis Daerah Selama,2021-01-01,20.83,79.17
Perak,Majlis Daerah Selama,2022-01-01,37.5,62.5
Perak,Majlis Daerah Tanjong Malim,2021-01-01,12.0,88.0
Perak,Majlis Daerah Tanjong Malim,2022-01-01,17.39,82.61
Perak,Majlis Daerah Tapah,2021-01-01,36.0,64.0
Perak,Majlis Daerah Tapah,2022-01-01,26.09,73.91
Perak,Majlis Perbandaran Kuala Kangsar,2021-01-01,20.0,80.0
