date,sex,age,abs,rate
2017-01-01,female,all,203741,24.48
2017-01-01,female,< 20,10038,1.99
2017-01-01,female,20-24,59295,57.73
2017-01-01,female,25-29,81555,142.66
2017-01-01,female,30-34,28678,108.07
2017-01-01,female,35-39,11423,71.4
2017-01-01,female,40-44,5477,48.65
2017-01-01,female,45-49,3287,28.72
2017-01-01,female,50-54,1997,13.77
2017-01-01,female,55-59,1083,6.9
2017-01-01,female,60-64,546,3.09
2017-01-01,female,65+,362,0.66
2017-01-01,male,all,203741,23.03
2017-01-01,male,< 20,2835,0.53
2017-01-01,male,20-24,36307,28.07
2017-01-01,male,25-29,85997,93.42
2017-01-01,male,30-34,41256,96.2
2017-01-01,male,35-39,16595,74.57
2017-01-01,male,40-44,7946,67.42
2017-01-01,male,45-49,4391,56.54
2017-01-01,male,50-54,3143,44.59
2017-01-01,male,55-59,2170,35.43
2017-01-01,male,60-64,1389,22.76
2017-01-01,male,65+,1712,8.79
2018-01-01,female,all,206352,24.7
2018-01-01,female,< 20,9673,1.9
2018-01-01,female,20-24,58471,57.2
2018-01-01,female,25-29,81862,141.8
2018-01-01,female,30-34,29965,112.0
2018-01-01,female,35-39,12219,72.7
2018-01-01,female,40-44,5893,52.0
2018-01-01,female,45-49,3714,32.3
2018-01-01,female,50-54,2303,15.5
2018-01-01,female,55-59,1233,7.7
2018-01-01,female,60-64,618,3.3
2018-01-01,female,65+,401,0.7
2018-01-01,male,all,206352,23.3
2018-01-01,male,< 20,2857,0.5
2018-01-01,male,20-24,36607,28.4
2018-01-01,male,25-29,85835,92.0
2018-01-01,male,30-34,42331,97.9
2018-01-01,male,35-39,16833,73.0
2018-01-01,male,40-44,8202,68.7
2018-01-01,male,45-49,4717,60.1
2018-01-01,male,50-54,3185,45.3
2018-01-01,male,55-59,2348,37.4
2018-01-01,male,60-64,1474,23.2
2018-01-01,male,65+,1963,9.6
2019-01-01,female,all,203661,24.4
2019-01-01,female,< 20,9107,1.8
2019-01-01,female,20-24,55276,54.9
